target_date,decision_rule,sample_period,event_count,raw_market_probability_mass,gp_probability_mass,market_normalised_probability_mass,realised_yes_count,gp_binary_brier_mean,market_binary_brier_raw_mean,market_binary_brier_normalised_mean,gp_binary_log_mean,market_binary_log_raw_mean,market_binary_log_normalised_mean,gp_multiclass_brier,market_multiclass_brier,gp_categorical_log,market_categorical_log,binary_brier_raw_difference_gp_minus_market,binary_log_raw_difference_gp_minus_market,categorical_log_difference_gp_minus_market,multiclass_brier_difference_gp_minus_market,binary_brier_normalised_difference_gp_minus_market,binary_log_normalised_difference_gp_minus_market
2026-05-13,event_day_open,weather_plus_market_training,11,1.0514999999999999,0.9999999999999996,1.0,1.0,0.06345389282057673,0.009560704545454544,0.010906190934314601,0.1963611910614338,0.054119899443343125,0.05713105438757653,0.697992821026344,0.11996810027746062,1.330759701799952,0.32597121774712445,0.053893188275122184,0.14224129161809068,1.0047884840528276,0.5780247207488833,0.05254770188626213,0.13923013667385725
2026-05-14,12h_prior,weather_plus_market_training,11,1.096,0.9999999999999998,0.9999999999999999,1.0,0.0646807594914657,0.05464809090909091,0.055563771136157784,0.20771772521034462,0.172607847229873,0.17291340588875653,0.7114883544061228,0.6112014824977356,1.447173601900976,1.1273046780325453,0.010032668582374796,0.03510987798047163,0.3198689238684307,0.10028687190838714,0.009116988355307921,0.03480431932158809
2026-05-14,24h_prior,weather_plus_market_training,11,1.131,0.9999999999999997,0.9999999999999999,1.0,0.06457865738776916,0.07178340909090909,0.07111611012644582,0.20777348825873065,0.21602517018138218,0.2144993108700451,0.7103652312654608,0.782277211390904,1.4486582057123027,1.4701758451005928,-0.0072047517031399305,-0.008251681922651521,-0.0215176393882901,-0.0719119801254432,-0.006537452738676661,-0.006725822611314436
2026-05-14,6h_prior,weather_plus_market_training,11,1.0675000000000001,0.9999999999999997,0.9999999999999999,1.0,0.0636233838706262,0.06381579545454547,0.06384901618901696,0.2045450980609849,0.1904592314561052,0.19014946336939828,0.6998572225768882,0.7023391780791866,1.4199953183135654,1.252762968495368,-0.0001924115839192636,0.014085866604879704,0.16723234981819735,-0.0024819555022983497,-0.0002256323183907616,0.014395634691586612
2026-05-14,event_day_open,weather_plus_market_training,11,1.022,0.9999999999999996,1.0,1.0,0.06311444072457242,0.055054954545454546,0.055184143122780756,0.20133212430415884,0.16408537715233423,0.16412767981520968,0.6942588479702967,0.6070255743505883,1.3877814412398997,1.0296194171811581,0.008059486179117878,0.037246747151824605,0.35816202405874153,0.08723327361970834,0.007930297601791668,0.03720444448894916
2026-05-15,12h_prior,weather_plus_market_training,11,1.035,0.9999999999999997,1.0,1.0,0.08300006422058791,0.09036572727272728,0.0893325610653903,0.24119102394235223,0.25408423275018227,0.25295123278339215,0.9130007064264669,0.9826581717192933,1.669170285006185,1.749199854809259,-0.007365663052139371,-0.012893208807830042,-0.08002956980307419,-0.06965746529282635,-0.006332496844802388,-0.011760208841039926
2026-05-15,24h_prior,weather_plus_market_training,11,1.05,0.9999999999999998,1.0,1.0,0.13173052841143537,0.097433,0.09554838177695321,0.3848526313389346,0.2741157103471146,0.2720614499751225,1.4490358125257892,1.0510321995464853,2.6595364066424385,1.9131203262323224,0.034297528411435366,0.11073692099181998,0.7464160804101161,0.39800361297930387,0.03618214663448216,0.11279118136381211
2026-05-15,6h_prior,weather_plus_market_training,11,1.029,0.9999999999999997,1.0,1.0,0.10430957574043317,0.07226327272727272,0.07197981738351822,0.29376967743629673,0.20576589633033773,0.20539052675037672,1.147405333144765,0.7917779912187004,2.040931957704578,1.3566129098478272,0.03204630301316046,0.088003781105959,0.6843190478567507,0.3556273419260645,0.032329758356914956,0.08837915068592
2026-05-15,event_day_open,weather_plus_market_training,11,1.0234999999999999,0.9999999999999998,1.0,1.0,0.08591227461038708,0.07735970454545454,0.07699585564174181,0.24633023880218288,0.21782519384640056,0.2173974265208992,0.9450350207142579,0.84695441205916,1.7003029007203836,1.450344481759353,0.008552570064932541,0.02850504495578232,0.24995841896103066,0.09808060865509793,0.00891641896864527,0.028932812281283693
2026-05-16,12h_prior,weather_plus_market_training,11,1.0030000000000001,0.9999999999999996,0.9999999999999999,1.0,0.06390524854161404,0.10753686363636362,0.10741531410481688,0.2061036262499025,0.3931084016202991,0.3930145668013541,0.7029577339577544,1.1815684551529857,1.434695398063001,3.197178721257628,-0.04363161509474958,-0.1870047753703966,-1.7624833231946269,-0.4786107211952313,-0.04351006556320283,-0.1869109405514516
2026-05-16,24h_prior,weather_plus_market_training,11,1.0665,0.9999999999999997,0.9999999999999999,1.0,0.07556852991055454,0.10339729545454544,0.10114437592227832,0.24194793446524773,0.34826072814580744,0.3462844737099619,0.8312538290161,1.1125881351450615,1.7485134513905165,2.7236422958620463,-0.0278287655439909,-0.10631279368055971,-0.9751288444715298,-0.2813343061289615,-0.025575846011723774,-0.10433653924471417
2026-05-16,6h_prior,weather_plus_market_training,11,1.04,0.9999999999999998,1.0,1.0,0.07698675528444528,0.10562513636363638,0.10401732282140935,0.24610052479755024,0.34288682610043825,0.3414652197796712,0.8468543081288981,1.1441905510355028,1.7845512431670922,2.6429108989312486,-0.028638381079191103,-0.09678630130288801,-0.8583596557641564,-0.29733624290660476,-0.027030567536964076,-0.09536469498212097
2026-05-16,event_day_open,weather_plus_market_training,11,1.0375,0.9999999999999998,1.0,1.0,0.06840886236216155,0.10512743181818181,0.10348792145581229,0.21633699160161557,0.3168972223906031,0.3153122096650708,0.7524974859837771,1.1383671360139351,1.5146090442185942,2.344411607940306,-0.036718569456020256,-0.10056023078898751,-0.8298025637217119,-0.38586965003015805,-0.035079059093650736,-0.09897521806345522
2026-05-21,12h_prior,weather_plus_market_training,11,1.0855000000000001,0.9999999999999997,1.0,1.0,0.09710668465891113,0.10346829545454547,0.10107300996181916,0.35847790736434254,0.40520945122679064,0.4032842510300695,1.0681735312480225,1.1118031095800107,2.8960179652000555,3.3654550563419816,-0.00636161079563434,-0.0467315438624481,-0.4694370911419261,-0.04362957833198822,-0.003966325302908025,-0.044806343665726944
2026-05-21,6h_prior,weather_plus_market_training,11,1.0805,0.9999999999999997,1.0,1.0,0.07419504115591026,0.09881779545454546,0.09669912461629925,0.2355533994280189,0.3357880392209545,0.33391614671546366,0.8161454527150129,1.0636903707792917,1.687309876077458,2.622080551158578,-0.024622754298635197,-0.10023463979293562,-0.9347706750811198,-0.2475449180642788,-0.022504083460388985,-0.09836274728744476
2026-05-21,event_day_open,weather_plus_market_training,11,1.0105,0.9999999999999997,1.0000000000000002,1.0,0.09337160969179009,0.08593879545454547,0.08575082411967311,0.3204996417181285,0.260639485180692,0.2604531036421696,1.027087706609691,0.9432590653164042,2.4983594318998343,1.8715548052243867,0.007432814237244623,0.05986015653743648,0.6268046266754477,0.08382864129328682,0.007620785572116984,0.06004653807595889
2026-05-22,12h_prior,weather_plus_market_training,11,1.0550000000000002,0.9999999999999998,0.9999999999999999,1.0,0.048571409117574384,0.037646045454545446,0.03896682056067515,0.1577928432353361,0.13248109334267177,0.13380132784320387,0.5342855002933182,0.42863502616742666,1.0223037468474843,0.8409986269592166,0.010925363663028938,0.025311749892664326,0.1813051198882677,0.10565047412589157,0.009604588556899232,0.023991515392132234
2026-05-22,24h_prior,weather_plus_market_training,11,1.0545,0.9999999999999996,1.0,1.0,0.04121112980094513,0.04559029545454545,0.04654461508545509,0.13932919809849137,0.1494525052712995,0.15030521694837426,0.45332242781039644,0.511990765940006,0.8821994454080382,0.95693493281229,-0.004379165653600324,-0.010123307172808127,-0.07473548740425184,-0.05866833812960959,-0.005333485284509963,-0.01097601884988289
2026-05-22,6h_prior,weather_plus_market_training,11,1.0055,0.9999999999999996,0.9999999999999999,1.0,0.04145207031232404,0.02016734090909091,0.020330836697607133,0.13969455700523928,0.08368489276308458,0.08394148220989765,0.45597277343556447,0.22363920367367845,0.8842446402539633,0.491617941406189,0.021284729403233133,0.0560096642421547,0.39262669884777435,0.23233356976188602,0.02112123361471691,0.055753074795341626
2026-05-22,event_day_open,weather_plus_market_training,11,1.0465,0.9999999999999997,1.0,1.0,0.04091578637261992,0.00986834090909091,0.011158911094514244,0.13708186832701913,0.05639985949521345,0.059108455640657136,0.4500736500988191,0.12274802203965669,0.8611691927010541,0.33982232350649494,0.031047445463529007,0.08068200883180568,0.5213468691945591,0.32732562805916243,0.029756875278105673,0.07797341268636199
