sample_period,decision_rule,model,probability_column,bin_index,bin_lower,bin_upper,observations,mean_probability,empirical_frequency,absolute_calibration_gap
weather_plus_market_training,all_rules,gp,gp_event_probability,7,0.7,0.8,5,0.7555956624820623,0.8,0.04440433751793771
weather_plus_market_training,all_rules,gp,gp_event_probability,8,0.8,0.9,4,0.846366245454073,1.0,0.15363375454592698
weather_plus_market_training,all_rules,gp,gp_event_probability,9,0.9,1.0,1,0.9034050336722346,1.0,0.09659496632776543
weather_plus_market_training,all_rules,market_raw,market_probability_raw,0,0.0,0.1,1813,0.013944291230005517,0.015995587424158852,0.002051296194153335
weather_plus_market_training,all_rules,market_raw,market_probability_raw,1,0.1,0.2,234,0.14305128205128206,0.1581196581196581,0.01506837606837605
weather_plus_market_training,all_rules,market_raw,market_probability_raw,2,0.2,0.3,199,0.24492713567839194,0.2613065326633166,0.01637939698492466
weather_plus_market_training,all_rules,market_raw,market_probability_raw,3,0.3,0.4,220,0.35138636363636355,0.2818181818181818,0.06956818181818175
weather_plus_market_training,all_rules,market_raw,market_probability_raw,4,0.4,0.5,97,0.43360824742268045,0.36082474226804123,0.07278350515463922
weather_plus_market_training,all_rules,market_raw,market_probability_raw,5,0.5,0.6,12,0.5459166666666667,0.3333333333333333,0.2125833333333334
weather_plus_market_training,all_rules,market_raw,market_probability_raw,6,0.6,0.7,11,0.6435454545454546,0.6363636363636364,0.007181818181818289
weather_plus_market_training,all_rules,market_raw,market_probability_raw,7,0.7,0.8,5,0.7448,1.0,0.2552
weather_plus_market_training,all_rules,market_raw,market_probability_raw,8,0.8,0.9,5,0.8320000000000001,1.0,0.16799999999999993
weather_plus_market_training,all_rules,market_raw,market_probability_raw,9,0.9,1.0,0,,,
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,0,0.0,0.1,1832,0.014041277395347461,0.015829694323144104,0.0017884169277966426
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,1,0.1,0.2,252,0.14602910624509108,0.1746031746031746,0.028574068358083515
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,2,0.2,0.3,203,0.2502840162633797,0.27586206896551724,0.025578052702137533
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,3,0.3,0.4,214,0.3489354146882437,0.2897196261682243,0.05921578852001941
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,4,0.4,0.5,65,0.4388694288035057,0.4,0.03886942880350569
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,5,0.5,0.6,12,0.5487410907975511,0.25,0.29874109079755107
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,6,0.6,0.7,8,0.6483319556528966,0.75,0.10166804434710341
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,7,0.7,0.8,6,0.7315380795209236,1.0,0.26846192047907635
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,8,0.8,0.9,4,0.8274802272657683,1.0,0.1725197727342317
weather_plus_market_training,all_rules,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
out_of_sample_validation,24h_prior,gp,gp_event_probability,0,0.0,0.1,181,0.023777789710559025,0.0055248618784530384,0.018252927832105987
out_of_sample_validation,24h_prior,gp,gp_event_probability,1,0.1,0.2,61,0.15242703387893222,0.13114754098360656,0.021279492895325658
out_of_sample_validation,24h_prior,gp,gp_event_probability,2,0.2,0.3,53,0.23390443487204285,0.32075471698113206,0.08685028210908921
out_of_sample_validation,24h_prior,gp,gp_event_probability,3,0.3,0.4,1,0.3400920278708316,0.0,0.3400920278708316
out_of_sample_validation,24h_prior,gp,gp_event_probability,4,0.4,0.5,0,,,
out_of_sample_validation,24h_prior,gp,gp_event_probability,5,0.5,0.6,0,,,
out_of_sample_validation,24h_prior,gp,gp_event_probability,6,0.6,0.7,1,0.6611439196848345,1.0,0.33885608031516545
out_of_sample_validation,24h_prior,gp,gp_event_probability,7,0.7,0.8,0,,,
out_of_sample_validation,24h_prior,gp,gp_event_probability,8,0.8,0.9,0,,,
out_of_sample_validation,24h_prior,gp,gp_event_probability,9,0.9,1.0,0,,,
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,0,0.0,0.1,205,0.018465853658536584,0.0,0.018465853658536584
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,1,0.1,0.2,32,0.152296875,0.09375,0.058546875
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,2,0.2,0.3,24,0.25229166666666664,0.16666666666666666,0.08562499999999998
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,3,0.3,0.4,26,0.3351923076923076,0.6923076923076923,0.35711538461538467
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,4,0.4,0.5,9,0.4361111111111111,0.1111111111111111,0.325
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,5,0.5,0.6,1,0.59,1.0,0.41000000000000003
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,6,0.6,0.7,0,,,
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,7,0.7,0.8,0,,,
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,8,0.8,0.9,0,,,
out_of_sample_validation,24h_prior,market_raw,market_probability_raw,9,0.9,1.0,0,,,
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,0,0.0,0.1,206,0.018228106030603927,0.0,0.018228106030603927
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,1,0.1,0.2,32,0.15080547684279771,0.09375,0.057055476842797714
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,2,0.2,0.3,31,0.2591463055527565,0.2903225806451613,0.031176275092404837
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,3,0.3,0.4,20,0.34120017459115515,0.65,0.3087998254088449
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,4,0.4,0.5,7,0.4269431714206827,0.14285714285714285,0.28408602856353987
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,5,0.5,0.6,1,0.5730937348227294,1.0,0.4269062651772706
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,6,0.6,0.7,0,,,
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,7,0.7,0.8,0,,,
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,8,0.8,0.9,0,,,
out_of_sample_validation,24h_prior,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,0,0.0,0.1,186,0.023137400251779853,0.0,0.023137400251779853
out_of_sample_validation,12h_prior,gp,gp_event_probability,1,0.1,0.2,58,0.14797075313861965,0.10344827586206896,0.04452247727655069
out_of_sample_validation,12h_prior,gp,gp_event_probability,2,0.2,0.3,63,0.23246905961764833,0.3333333333333333,0.10086427371568499
out_of_sample_validation,12h_prior,gp,gp_event_probability,3,0.3,0.4,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,4,0.4,0.5,1,0.4685891152171456,1.0,0.5314108847828545
out_of_sample_validation,12h_prior,gp,gp_event_probability,5,0.5,0.6,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,6,0.6,0.7,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,7,0.7,0.8,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,8,0.8,0.9,0,,,
out_of_sample_validation,12h_prior,gp,gp_event_probability,9,0.9,1.0,0,,,
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,0,0.0,0.1,214,0.016549065420560748,0.004672897196261682,0.011876168224299065
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,1,0.1,0.2,31,0.15122580645161293,0.0967741935483871,0.05445161290322584
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,2,0.2,0.3,26,0.24846153846153846,0.11538461538461539,0.13307692307692306
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,3,0.3,0.4,23,0.3358695652173913,0.6086956521739131,0.2728260869565218
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,4,0.4,0.5,13,0.435,0.46153846153846156,0.026538461538461566
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,5,0.5,0.6,0,,,
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,6,0.6,0.7,1,0.615,1.0,0.385
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,7,0.7,0.8,0,,,
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,8,0.8,0.9,0,,,
out_of_sample_validation,12h_prior,market_raw,market_probability_raw,9,0.9,1.0,0,,,
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,0,0.0,0.1,216,0.016937815699819208,0.004629629629629629,0.012308186070189579
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,1,0.1,0.2,31,0.15368895184643658,0.0967741935483871,0.056914758298049484
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,2,0.2,0.3,29,0.2552598078259347,0.20689655172413793,0.04836325610179679
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,3,0.3,0.4,21,0.34372808752782513,0.6666666666666666,0.3229385791388415
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,4,0.4,0.5,10,0.43608966967760543,0.3,0.13608966967760544
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,5,0.5,0.6,1,0.5953533397870281,1.0,0.4046466602129719
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,6,0.6,0.7,0,,,
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,7,0.7,0.8,0,,,
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,8,0.8,0.9,0,,,
out_of_sample_validation,12h_prior,market_normalised,market_probability_normalised,9,0.9,1.0,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,0,0.0,0.1,193,0.023296161588753247,0.010362694300518135,0.012933467288235112
