sample_period,decision_rule,metric,metric_label,primary_metric,dates,mean_rules_per_date,mean_gp_score,mean_market_score,mean_difference_gp_minus_market,median_difference_gp_minus_market,standard_deviation_difference,standard_error_difference,bootstrap_ci_lower,bootstrap_ci_upper,t_ci_lower,t_ci_upper,paired_t_pvalue,gp_lower_score_fraction,market_lower_score_fraction,tie_fraction,bootstrap_interpretation
weather_plus_market_training,6h_prior,multiclass_brier,Multiclass Brier,True,58,1.0,0.726205250336882,0.7063544205525856,0.01985082978429631,0.051712502186896936,0.27784676841271716,0.03648306804187532,-0.05158473293568895,0.09053386787227992,-0.05320525381852262,0.09290691338711524,0.5884874375249776,0.43103448275862066,0.5689655172413793,0.0,interval_includes_zero
weather_plus_market_training,6h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,58,1.0,0.06601865912153472,0.06421403823205324,0.0018046208894814837,0.004701136562445179,0.02525879712842883,0.0033166425492613927,-0.004675299350979827,0.00825589426995459,-0.0048368412562293265,0.008446083035192294,0.5884874375249773,0.43103448275862066,0.5689655172413793,0.0,interval_includes_zero
weather_plus_market_training,6h_prior,binary_log_normalised,"Mean binary log, normalised market",False,58,1.0,0.21089804029652584,0.20469086563154254,0.006207174664983269,0.019386529951414613,0.08278722119722813,0.010870494701776836,-0.015436481330739146,0.02665787895923355,-0.015560615500730741,0.02797496483069728,0.5702365772475111,0.3620689655172414,0.6379310344827587,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,binary_brier_raw,Mean binary Brier,True,63,1.0,0.06378822128543903,0.06594871464646464,-0.002160493361025617,0.0033403507353423553,0.02798908037311425,0.003526292671079011,-0.008888167578541776,0.0047460505007401056,-0.009209451971236113,0.004888465249184878,0.5423279552940337,0.47619047619047616,0.5238095238095238,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,binary_log_raw,Mean binary log,True,63,1.0,0.20427885340179255,0.2066605213897923,-0.002381667987999705,0.014101451506607798,0.08730482394403777,0.010999373924390533,-0.024051960913022183,0.0186633450650213,-0.024369103168056037,0.019605767192056624,0.8292873961649543,0.4603174603174603,0.5396825396825397,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,categorical_log,Categorical log,True,63,1.0,1.427574090039617,1.4343080244237292,-0.006733934384112036,0.14337272853027394,0.7384840548503665,0.09304024553907868,-0.19246311105691666,0.1719298795199937,-0.19271873515452217,0.17925086638629809,0.942535206885115,0.42857142857142855,0.5714285714285714,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,multiclass_brier,Multiclass Brier,True,63,1.0,0.7016704341398293,0.7215026059772446,-0.019832171837415275,0.03300002617055031,0.3012857145115138,0.0379584321035176,-0.09152005454506211,0.05375099726601885,-0.09570999644359235,0.056045652768761806,0.6032045528659046,0.47619047619047616,0.5238095238095238,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,binary_brier_normalised,"Mean binary Brier, normalised market",False,63,1.0,0.06378822128543903,0.06559114599793134,-0.001802924712492297,0.0030000023791409355,0.02738961041013762,0.0034507665548652363,-0.00845227522114502,0.00500533857743971,-0.008700908767599304,0.00509505934261471,0.6032045528659046,0.47619047619047616,0.5238095238095238,0.0,interval_includes_zero
weather_plus_market_training,event_day_open,binary_log_normalised,"Mean binary log, normalised market",False,63,1.0,0.20427885340179255,0.206045527479164,-0.0017666740773714382,0.014161498358075647,0.08671933601099753,0.010925609378368928,-0.023347227411824347,0.019499660631619956,-0.023606656030963683,0.020073307876220806,0.8720676858598924,0.47619047619047616,0.5238095238095238,0.0,interval_includes_zero
weather_plus_market_training,all_rules,binary_brier_raw,Mean binary Brier,True,67,3.5223880597014925,0.0659688868963457,0.0672830816938037,-0.0013141947974580094,0.0021208072417147547,0.020556535643725404,0.0025113805374845154,-0.006167041081933757,0.0034337630895077006,-0.006328327821048924,0.0036999382261329048,0.6025210399561634,0.47761194029850745,0.5223880597014925,0.0,interval_includes_zero
weather_plus_market_training,all_rules,binary_log_raw,Mean binary log,True,67,3.5223880597014925,0.21240951180442538,0.21548248767660216,-0.0030729758721768064,0.017177152943546492,0.07051896657637126,0.008615262963216136,-0.020121197494885893,0.013387609978353372,-0.020273903364451798,0.014127951620098186,0.7224619422528331,0.3880597014925373,0.6119402985074627,0.0,interval_includes_zero
weather_plus_market_training,all_rules,categorical_log,Categorical log,True,67,3.5223880597014925,1.5015222935543944,1.5197312892806765,-0.018208995726282085,0.17267165015536345,0.6265573629759524,0.07654616489212396,-0.17326314369380674,0.12524220260629693,-0.17103834495715337,0.13462035350458917,0.8127091607759424,0.3880597014925373,0.6119402985074627,0.0,interval_includes_zero
weather_plus_market_training,all_rules,multiclass_brier,Multiclass Brier,True,67,3.5223880597014925,0.7256577558598027,0.7383610500427642,-0.012703294182961573,0.022000648744410656,0.22090196463573294,0.026987470276763677,-0.06442088259147365,0.04024761704899405,-0.06658551709508101,0.04117892872915787,0.6393992501911152,0.4925373134328358,0.5074626865671642,0.0,interval_includes_zero
weather_plus_market_training,all_rules,binary_brier_normalised,"Mean binary Brier, normalised market",False,67,3.5223880597014925,0.0659688868963457,0.06712373182206949,-0.0011548449257237799,0.0020000589767646126,0.02008199678506663,0.002453406388796698,-0.005878782057284731,0.0037281389841459607,-0.006053228826825548,0.003743538975377988,0.639399250191115,0.4925373134328358,0.5074626865671642,0.0,interval_includes_zero
weather_plus_market_training,all_rules,binary_log_normalised,"Mean binary log, normalised market",False,67,3.5223880597014925,0.21240951180442538,0.21505887891250897,-0.002649367108083537,0.017233887437316436,0.07023590061161876,0.008580680951586142,-0.019420576952855758,0.01337474284568335,-0.01978124938640229,0.014482515170235214,0.7584769725911278,0.40298507462686567,0.5970149253731343,0.0,interval_includes_zero
out_of_sample_validation,24h_prior,binary_brier_raw,Mean binary Brier,True,27,1.0,0.06886312244922715,0.058715494949494955,0.010147627499732208,0.01202640084576613,0.015428758444597871,0.002969265947083431,0.004232856864905375,0.015594194079903688,0.004044213934342411,0.016251041065122006,0.0020901216413733432,0.2222222222222222,0.7777777777777778,0.0,Market_lower_score
out_of_sample_validation,24h_prior,binary_log_raw,Mean binary log,True,27,1.0,0.2241365469071349,0.18402499049930207,0.04011155640783281,0.03973627101576979,0.04531647068197909,0.008721158848988136,0.021949556122345514,0.05600283663171533,0.02218495765465692,0.0580381551610087,9.679157951375375e-05,0.14814814814814814,0.8518518518518519,0.0,Market_lower_score
out_of_sample_validation,24h_prior,categorical_log,Categorical log,True,27,1.0,1.6044550287580397,1.2296575197893367,0.37479750896870323,0.3321438923775051,0.3912883649994079,0.07530348095439222,0.22607028959199538,0.5129755654625485,0.22000898703466726,0.5295860309027391,3.5692149912887696e-05,0.1111111111111111,0.8888888888888888,0.0,Market_lower_score
out_of_sample_validation,24h_prior,multiclass_brier,Multiclass Brier,True,27,1.0,0.7574943469414988,0.6480742306881874,0.10942011625331126,0.11967471475851432,0.16546261977804086,0.031843296023224194,0.046997010064126155,0.16668259981218841,0.04396528385415448,0.17487494865246805,0.001993897475526474,0.2222222222222222,0.7777777777777778,0.0,Market_lower_score
out_of_sample_validation,24h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,27,1.0,0.06886312244922715,0.05891583915347159,0.00994728329575557,0.010879519523501295,0.01504205634345826,0.0028948450930203814,0.004069081054243892,0.015354603204658531,0.003996843986741317,0.015897722604769824,0.00199389747552647,0.2222222222222222,0.7777777777777778,0.0,Market_lower_score
out_of_sample_validation,24h_prior,binary_log_normalised,"Mean binary log, normalised market",False,27,1.0,0.2241365469071349,0.18408449257575582,0.040052054331379046,0.038742319136001624,0.04505711222910586,0.008671245291460484,0.0225540956233201,0.055975185802013556,0.02222805436508864,0.057876054297669455,9.190745922770105e-05,0.14814814814814814,0.8518518518518519,0.0,Market_lower_score
out_of_sample_validation,12h_prior,binary_brier_raw,Mean binary Brier,True,28,1.0,0.06570010590029737,0.05873688555194805,0.006963220348349328,0.011674052330852766,0.017791423139840487,0.00336226293556699,0.00044118166397199676,0.013317861667617788,6.44266527223972e-05,0.013862014043976259,0.04804260792462086,0.2857142857142857,0.7142857142857143,0.0,Market_lower_score
out_of_sample_validation,12h_prior,binary_log_raw,Mean binary log,True,28,1.0,0.21217039964883194,0.18471691143510852,0.027453488213723454,0.03779753537161713,0.05502149342941408,0.010398084884114575,0.006412144392398602,0.046551093462776603,0.006118380335544817,0.04878859609190209,0.013599088223270031,0.21428571428571427,0.7857142857142857,0.0,Market_lower_score
out_of_sample_validation,12h_prior,categorical_log,Categorical log,True,28,1.0,1.490908718475668,1.2390072765188378,0.25190144195683,0.33279147765205463,0.4804090925637212,0.09078878474984398,0.06458136157335498,0.41512163921700423,0.06561824285294038,0.43818464106071964,0.009907492130698248,0.17857142857142858,0.8214285714285714,0.0,Market_lower_score
out_of_sample_validation,12h_prior,multiclass_brier,Multiclass Brier,True,28,1.0,0.7227011649032712,0.6484397100590663,0.07426145484420499,0.11901931439536192,0.1973603336045563,0.0372975972418857,0.0013478506847964776,0.1442891428664242,-0.002266893368086942,0.15078980305649692,0.056683255988689445,0.2857142857142857,0.7142857142857143,0.0,Market_lower_score
out_of_sample_validation,12h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,28,1.0,0.06570010590029737,0.058949064550824194,0.006751041349473181,0.010819937672305628,0.01794184850950512,0.003390690658353245,8.671545000504583e-05,0.013208836344953618,-0.00020608121528063045,0.013708163914226992,0.05668325598868947,0.2857142857142857,0.7142857142857143,0.0,Market_lower_score
out_of_sample_validation,12h_prior,binary_log_normalised,"Mean binary log, normalised market",False,28,1.0,0.21217039964883194,0.1848083506889431,0.027362048959888828,0.03722415907822602,0.05521360443631838,0.010434390451856502,0.0060476233528274775,0.04613043439519846,0.0059524482098991666,0.04877164970987849,0.014179949182821885,0.21428571428571427,0.7857142857142857,0.0,Market_lower_score
out_of_sample_validation,6h_prior,binary_brier_raw,Mean binary Brier,True,29,1.0,0.06823960784308655,0.05601205485893417,0.012227552984152379,0.013688506771602806,0.016783725794163474,0.0031166596372180946,0.0062331011018010776,0.01828500605745539,0.005843365124729859,0.0186117408435749,0.0005159767004725107,0.2413793103448276,0.7586206896551724,0.0,Market_lower_score
out_of_sample_validation,6h_prior,binary_log_raw,Mean binary log,True,29,1.0,0.2227310884201493,0.1774288946760754,0.045302193744073904,0.05011085888557462,0.045592587830569554,0.008466331015564554,0.029054340186626396,0.06150764748412262,0.02795970082698889,0.06264468666115891,1.0635220408277937e-05,0.13793103448275862,0.8620689655172413,0.0,Market_lower_score
out_of_sample_validation,6h_prior,categorical_log,Categorical log,True,29,1.0,1.592869604721091,1.18735514103559,0.405514463685501,0.42631933386493936,0.37581089483141894,0.06978633120634081,0.2684620393741581,0.5366017343753956,0.26256364444274416,0.5484652829282578,3.0484796730786025e-06,0.13793103448275862,0.8620689655172413,0.0,Market_lower_score
out_of_sample_validation,6h_prior,multiclass_brier,Multiclass Brier,True,29,1.0,0.750635686273952,0.6178301104757641,0.1328055757981879,0.1383868602726428,0.18105418327213796,0.03362091779108959,0.06951756773189988,0.19857132371124828,0.06393624768120922,0.20167490391516663,0.0004803036162917519,0.2413793103448276,0.7586206896551724,0.0,Market_lower_score
out_of_sample_validation,6h_prior,binary_brier_normalised,"Mean binary Brier, normalised market",False,29,1.0,0.06823960784308655,0.056166373679614925,0.01207323416347163,0.01258062366114935,0.016459471206558,0.003056447071917236,0.006085175159958498,0.01808129155400579,0.005812386152837202,0.018334082174106058,0.0004803036162917519,0.2413793103448276,0.7586206896551724,0.0,Market_lower_score
out_of_sample_validation,6h_prior,binary_log_normalised,"Mean binary log, normalised market",False,29,1.0,0.2227310884201493,0.1775533131412372,0.04517777527891207,0.050667995333777444,0.04533135451054921,0.008417821205860262,0.02862124700960633,0.061147477171364345,0.027934650202472457,0.06242090035535168,1.0179617949113985e-05,0.13793103448275862,0.8620689655172413,0.0,Market_lower_score
out_of_sample_validation,event_day_open,binary_brier_raw,Mean binary Brier,True,30,1.0,0.06670221310061748,0.05575073333333333,0.010951479767284155,0.014957991848503462,0.019352521395954118,0.0035332708377218123,0.004029130723237082,0.01759295733140999,0.0037251295162924565,0.018177830018275852,0.004283261653462538,0.2,0.8,0.0,Market_lower_score
out_of_sample_validation,event_day_open,binary_log_raw,Mean binary log,True,30,1.0,0.22261293715521424,0.17737591803746733,0.04523701911774696,0.05061726034655975,0.06309736849523058,0.011519950681351195,0.021936190116226932,0.06659537110146597,0.021676074508340668,0.06879796372715326,0.0004878077790737413,0.13333333333333333,0.8666666666666667,0.0,Market_lower_score
