target_date,decision_rule,decision_rule_order,decision_offset_hours,target_midnight_hkt,decision_time_hkt,decision_time_utc,selected_run_init_utc,selected_cycle_utc,selection_tier,selected_candidate_rank,run_age_hours_at_decision,issued_before_decision,hourly_rows,unique_local_hours,nonmissing_temperature_rows,hours_00_to_23,complete_local_day,forecast_daily_max_c,forecast_daily_min_c,forecast_daily_mean_c,support_available,cache_path,raw_source_origin,selection_rule,unsupported_reason
2024-03-21,12h_prior,2,-12,2024-03-21T00:00:00+08:00,2024-03-20T12:00:00+08:00,2024-03-20T04:00:00+00:00,2024-03-19T12:00:00+00:00,12,core,1,16.000000,True,24,24,24,True,True,20.6000000000,15.8000000000,18.3666666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240319_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-21,6h_prior,3,-6,2024-03-21T00:00:00+08:00,2024-03-20T18:00:00+08:00,2024-03-20T10:00:00+00:00,2024-03-20T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,21.1000000000,16.0000000000,18.5041666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240320_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-21,event_day_open,4,0,2024-03-21T00:00:00+08:00,2024-03-21T00:00:00+08:00,2024-03-20T16:00:00+00:00,2024-03-20T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,21.1000000000,16.0000000000,18.5041666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240320_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-22,24h_prior,1,-24,2024-03-22T00:00:00+08:00,2024-03-21T00:00:00+08:00,2024-03-20T16:00:00+00:00,2024-03-20T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,24.8000000000,18.1000000000,21.2208333333,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240320_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-22,12h_prior,2,-12,2024-03-22T00:00:00+08:00,2024-03-21T12:00:00+08:00,2024-03-21T04:00:00+00:00,2024-03-20T12:00:00+00:00,12,core,1,16.000000,True,24,24,24,True,True,24.7000000000,18.4000000000,21.3083333333,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240320_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-22,6h_prior,3,-6,2024-03-22T00:00:00+08:00,2024-03-21T18:00:00+08:00,2024-03-21T10:00:00+00:00,2024-03-21T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,25.4000000000,18.5000000000,21.6000000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240321_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-22,event_day_open,4,0,2024-03-22T00:00:00+08:00,2024-03-22T00:00:00+08:00,2024-03-21T16:00:00+00:00,2024-03-21T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,25.4000000000,18.5000000000,21.6000000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240321_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-23,24h_prior,1,-24,2024-03-23T00:00:00+08:00,2024-03-22T00:00:00+08:00,2024-03-21T16:00:00+00:00,2024-03-21T00:00:00+00:00,0,core,1,16.000000,True,24,24,24,True,True,25.5000000000,20.6000000000,22.8791666667,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240321_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-23,12h_prior,2,-12,2024-03-23T00:00:00+08:00,2024-03-22T12:00:00+08:00,2024-03-22T04:00:00+00:00,2024-03-21T12:00:00+00:00,12,core,1,16.000000,True,24,24,24,True,True,25.6000000000,20.6000000000,22.9625000000,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240321_12.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
2024-03-23,6h_prior,3,-6,2024-03-23T00:00:00+08:00,2024-03-22T18:00:00+08:00,2024-03-22T10:00:00+00:00,2024-03-22T00:00:00+00:00,0,core,1,10.000000,True,24,24,24,True,True,26.8000000000,20.4000000000,23.1333333333,True,data/raw/ecmwf_final_v85/2024/03/ecmwf_ifs_20240322_00.json.gz,certified_v2_raw_archive,latest eligible complete 00/12 UTC core run after the six-hour availability allowance; 06/18 UTC repair only if no valid core path exists,
