source,role,rows,columns,best_date_column,distinct_dates,start_date,end_date,datetime_columns,temperature_columns,decision_rule_columns,all_columns
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_single_run_hourly_forecasts.csv,hourly_forecasts,48480,14,forecast_valid_date_hkt,88,2026-03-14,2026-06-09,forecast_valid_time_local; run_init_utc; run_init_utc_str; forecast_valid_date_hkt; forecast_valid_hour_hkt; lead_hours_from_run_init,temperature_2m,,forecast_valid_time_local; temperature_2m; relative_humidity_2m; dew_point_2m; cloud_cover; wind_speed_10m; wind_direction_10m; precipitation; run_init_utc; run_init_utc_str; model; forecast_valid_date_hkt; forecast_valid_hour_hkt; lead_hours_from_run_init
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_single_run_hourly_forecasts.csv,hourly_forecasts,48480,14,forecast_valid_date_hkt,88,2026-03-14,2026-06-09,forecast_valid_time_local; run_init_utc; run_init_utc_str; forecast_valid_date_hkt; forecast_valid_hour_hkt; lead_hours_from_run_init,temperature_2m,,forecast_valid_time_local; temperature_2m; relative_humidity_2m; dew_point_2m; cloud_cover; wind_speed_10m; wind_direction_10m; precipitation; run_init_utc; run_init_utc_str; model; forecast_valid_date_hkt; forecast_valid_hour_hkt; lead_hours_from_run_init
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/21c_integrity_checks.csv,integrity_checks,30,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18r_june_2026_market_weather_common_support/18r_june_2026_integrity_checks.csv,integrity_checks,24,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18uB_model_specific_freeze_support/18uB_integrity_checks.csv,integrity_checks,20,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/21a_simple_edge_integrity_checks.csv,integrity_checks,19,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/21b_full_event_book_integrity_checks.csv,integrity_checks,19,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18yB_thesis_output_freeze/18yB_integrity_checks.csv,integrity_checks,19,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20a_integrity_checks.csv,integrity_checks,18,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20e_locked_holdout_integrity_checks.csv,integrity_checks,16,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_integrity_checks.csv,integrity_checks,16,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18uA_chronological_partition_and_folds/18uA_integrity_checks.csv,integrity_checks,16,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18p_june_2026_clob_market_price_recovery/18p_june_2026_integrity_checks.csv,integrity_checks,16,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20c_integrity_checks.csv,integrity_checks,15,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19c_integrity_checks.csv,integrity_checks,14,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20b_integrity_checks.csv,integrity_checks,14,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18yA_final_empirical_synthesis/18yA_integrity_checks.csv,integrity_checks,14,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tB_admissible_historical_information_sets/18tB_integrity_checks.csv,integrity_checks,14,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18q_june_2026_ecmwf_single_run_forecasts/18q_june_2026_integrity_checks.csv,integrity_checks,14,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20d_integrity_checks.csv,integrity_checks,13,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wD_holdout_external_probability_evaluation/18wD_integrity_checks.csv,integrity_checks,13,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_forecast_integrity_checks.csv,integrity_checks,12,3,,0,,,,,,check; passed; detail
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_forecast_integrity_checks.csv,integrity_checks,12,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19b_common_support_integrity_checks.csv,integrity_checks,11,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vC_common_support_scoring_and_selection/18vC_integrity_checks.csv,integrity_checks,11,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vD_selected_models_blind_predictions/18vD_integrity_checks.csv,integrity_checks,11,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18l_clob_recovery_integrity_checks.csv,integrity_checks,10,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/21d_integrity_checks.csv,integrity_checks,10,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/releases/hko_empirical_release_v1/21e_release_integrity_checks.csv,integrity_checks,10,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/releases/hko_empirical_release_v1/21e_release_integrity_summary.csv,integrity_checks,10,6,,0,,,,,,step; integrity_file; checks_passed; checks_total; all_checks_passed; file_present
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wC_blind_calibrated_probability_release/18wC_integrity_checks.csv,integrity_checks,10,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tA_hko_publication_availability/18tA_integrity_checks.csv,integrity_checks,10,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vA_residual_model_design_and_features/18vA_integrity_checks.csv,integrity_checks,10,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18m_market_only_integrity_checks.csv,integrity_checks,9,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18k_hko_contract_event_integrity_checks.csv,integrity_checks,9,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18sA_canonical_source_adapters/18sA_integrity_checks.csv,integrity_checks,9,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xA_development_trading_selection/18xA_integrity_checks.csv,integrity_checks,9,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vB2_tree_temporal_oof/18vB2_integrity_checks.csv,integrity_checks,9,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xC_controlled_unblinding_trading_simulation/18xC_integrity_checks.csv,integrity_checks,8,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wA_contract_probability_mapping/18wA_integrity_checks.csv,integrity_checks,8,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18vB1_baseline_gp_temporal_oof/18vB1_integrity_checks.csv,integrity_checks,8,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18wB_development_probability_calibration/18wB_integrity_checks.csv,integrity_checks,8,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/21d_pipeline_integrity_summary.csv,integrity_checks,7,5,,0,,,,,,step; integrity_file; checks_passed; checks_total; all_checks_passed
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18i_hko_empirical_integrity_checks.csv,integrity_checks,6,3,,0,,,,,,check; passed; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xB_blind_trading_signal_release/18xB_integrity_checks.csv,integrity_checks,6,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18xD_trading_robustness_and_figures/18xD_integrity_checks.csv,integrity_checks,6,4,,0,,,,,,check; passed; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/aifs_ens_historical_metadata_integrity.csv,integrity_checks,2,15,,0,,,issue_valid_lead_verified; finite_values_verified,,,case_id; metadata_present; exactly_one_message; field_verified; member_verified; request_provenance_verified; embedded_mars_identity_status; archive_identity_verified; surface_level_verified; issue_valid_lead_verified; version_label_verified; generating_process_verified; grib_edition_verified; finite_values_verified; metadata_integrity_verified
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/robustness_checks/hong_kong_integrity_checks.csv,integrity_checks,2,5,,0,,,,,,check_name; rows_checked; passed; observed_labels; observed_thresholds
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19a_hko_ecmwf_forecast_issues.csv,issues,57,10,event_date,16,2026-03-16,2026-04-02,run_init_utc; selected_run_init_utc,,decision_rule,issue_type; run_init_utc; model; status_code; error; request_url; event_date; decision_rule; selected_run_init_utc; decision_cutoff_utc
git:archive/17j-plus-18n-18y-20260726:data/processed/19a_hko_ecmwf_forecast_issues.csv,issues,57,10,event_date,16,2026-03-16,2026-04-02,run_init_utc; selected_run_init_utc,,decision_rule,issue_type; run_init_utc; model; status_code; error; request_url; event_date; decision_rule; selected_run_init_utc; decision_cutoff_utc
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18l_clob_recovery_issues.csv,issues,291,8,event_date,13,2026-03-16,2026-05-21,,,decision_rule,issue_type; event_date; market_slug; group_item_title; selected_yes_token_id; decision_rule; decision_cutoff_utc; detail
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19c_issues.csv,issues,9,10,first_event_date,4,2026-03-16,2026-03-22,,,decision_rule,issue_type; decision_rule; n_warmup_date_rules; first_event_date; last_warmup_event_date; event_date; detail; n_contracts_common; expected_n_contracts; n_yes
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/19b_common_support_issues.csv,issues,5,7,event_date,4,2026-04-14,2026-04-18,,,decision_rule,issue_type; event_date; decision_rule; detail; n_contracts_common; expected_n_contracts; n_yes
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18q_june_2026_ecmwf_single_run_forecasts/18q_june_2026_weather_issues.csv,issues,2,7,event_date,1,2026-06-24,2026-06-24,selected_run_initialisation_utc,,decision_rule,issue_level; issue_code; event_date; decision_rule; selected_run_initialisation_utc; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/20a_issues.csv,issues,11,5,,0,,,,,,issue_type; feature; detail; n_rows; share
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18o_june_2026_hko_realised_outcomes/18o_june_2026_outcome_issues.csv,issues,1,6,,0,,,,,,event_date; market_id; issue_level; issue_code; detail; blocking
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e0_hko_historical_seed_rows_from_local_artifacts.csv,other_weather_source,164771,14,event_date,49459,1884-01-01,2026-05-31,,,,source_file; source_row; event_date; threshold_k; combined_text; event_slug; market_id; market_slug; market_question; market_title; outcome_label_text; yes_token_id; question; clobtokenids
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18d_hko_daily_extract_source_discovery_results.csv,other_weather_source,50496,6,event_date,49459,1884-01-01,2026-05-31,,hko_tmax_c,,event_date; hko_tmax_c; parse_route; source_name; source_route; url
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/17k_hko_daily_max_latest_parsed.csv,other_weather_source,49459,2,date,49459,1884-01-01,2026-05-31,,hko_tmax_c,,date; hko_tmax_c
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/hko_daily_max_temperature_targets.csv,other_weather_source,49459,2,date,49459,1884-01-01,2026-05-31,,hko_tmax_c,,date; hko_tmax_c
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18e_hko_daily_max_targets_to_20260531.csv,other_weather_source,49459,5,event_date,49459,1884-01-01,2026-05-31,,hko_tmax_c,,event_date; hko_tmax_c; hko_source_name; hko_source_url; hko_parse_route
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/baseline_classifier/hko_historical_threshold_training_dataset.csv,other_weather_source,59950,15,date,5995,2010-01-01,2026-05-31,,official_daily_max_temp_c,,city; date; year; month; day; day_of_year; day_of_year_sin; day_of_year_cos; month_sin; month_cos; threshold_c; official_daily_max_temp_c; realised_exceeds_threshold; sample_split; baseline_classifier_probability
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18d_hko_current_year_maxt_all_parsed_debug.csv,other_weather_source,397,5,event_date,151,2026-01-01,2026-05-31,,hko_tmax_c,,event_date; hko_tmax_c; source_name; url; parse_route
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_support_audit_panel.csv,other_weather_source,4532,34,event_date,103,2026-03-16,2026-06-30,,hko_daily_max_c,decision_rule; decision_rule_order,event_date; market_id; event_type; lower_bound_c; upper_bound_c; bound_reference_c; hko_daily_max_c; y_event_int; condition_id; event_id; event_slug; market_slug; question; canonical_label; selected_yes_token_id; no_token_id; bound_reconstruction_applied; bound_reference_source; source_lower_bound_column; source_upper_bound_column; y_no_int; contract_event_type; sample_block; final_modelling_split; outcome_history_admissibility_status; source_block; decision_rule; decision_rule_order; decision_cutoff_hkt; decision_cutoff_utc; market_price_ready; weather_path_ready; common_support; support_exclusion_reason
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/canonical_contract_definitions.csv,other_weather_source,1133,12,event_date,103,2026-03-16,2026-06-30,metadata_retrieved_utc,,,event_date; event_id; event_index; contract_id; token_id; event_label; lower_bound_c; upper_bound_c; lower_closed; upper_closed; settlement_source; metadata_retrieved_utc
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/certified_event_books.csv,other_weather_source,1133,16,event_date,103,2026-03-16,2026-06-30,metadata_retrieved_utc,hko_daily_max_c,,event_date; event_id; event_index; contract_id; token_id; event_label; lower_bound_c; upper_bound_c; lower_closed; upper_closed; settlement_source; metadata_retrieved_utc; hko_daily_max_c; realised_yes; certification_status; certification_reason
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/manual/18w_outcome_free_contract_definitions/18w_outcome_free_contract_definition_panel.csv,other_weather_source,1133,21,event_date,103,2026-03-16,2026-06-30,,,,event_date; market_id; event_type; contract_event_type; lower_bound_c; upper_bound_c; bound_reference_c; condition_id; event_id; event_slug; market_slug; question; canonical_label; selected_yes_token_id; no_token_id; bound_reconstruction_applied; bound_reference_source; source_lower_bound_column; source_upper_bound_column; sample_block; source_block
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_certified_contract_outcome_panel.csv,other_weather_source,1133,26,event_date,103,2026-03-16,2026-06-30,,hko_daily_max_c,,event_date; market_id; event_type; lower_bound_c; upper_bound_c; bound_reference_c; hko_daily_max_c; y_event_int; condition_id; event_id; event_slug; market_slug; question; canonical_label; selected_yes_token_id; no_token_id; bound_reconstruction_applied; bound_reference_source; source_lower_bound_column; source_upper_bound_column; y_no_int; contract_event_type; sample_block; final_modelling_split; outcome_history_admissibility_status; source_block
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18sA_canonical_source_adapters/18sA_canonical_contract_outcome_panel.csv,other_weather_source,1133,26,event_date,103,2026-03-16,2026-06-30,,hko_daily_max_c,,event_date; market_id; event_type; lower_bound_c; upper_bound_c; bound_reference_c; hko_daily_max_c; y_event_int; condition_id; event_id; event_slug; market_slug; question; canonical_label; selected_yes_token_id; no_token_id; bound_reconstruction_applied; bound_reference_source; source_lower_bound_column; source_upper_bound_column; y_no_int; contract_event_type; sample_block; final_modelling_split; outcome_history_admissibility_status; source_block
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tB_admissible_historical_information_sets/18tB_decision_inventory.csv,other_weather_source,412,12,event_date,103,2026-03-16,2026-06-30,,,decision_rule; decision_rule_order,event_date; sample_block; decision_rule; decision_rule_order; decision_cutoff_hkt; decision_cutoff_utc; candidate_contract_rows; weather_ready_contract_rows; current_prediction_eligible; current_outcome_included_in_information_set; market_information_used_for_residual_history; final_modelling_split
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18tB_admissible_historical_information_sets/18tB_information_set_summary.csv,other_weather_source,412,32,current_event_date,103,2026-03-16,2026-06-30,,,current_decision_rule; current_decision_rule_order,current_event_date; current_sample_block; current_decision_rule; current_decision_rule_order; current_decision_cutoff_hkt; current_decision_cutoff_utc; candidate_contract_rows; weather_ready_contract_rows; current_prediction_eligible; current_outcome_included_in_information_set; market_information_used_for_residual_history; final_modelling_split; n_admissible_all_rule_residuals; n_distinct_all_rule_history_dates; earliest_all_rule_history_date; latest_all_rule_history_date; latest_all_rule_hko_availability_utc; n_admissible_same_rule_residuals; n_distinct_same_rule_history_dates; earliest_same_rule_history_date; latest_same_rule_history_date; latest_same_rule_hko_availability_utc; mean_same_rule_residual_c; sample_sd_same_rule_residual_c; same_rule_history_at_least_1; same_rule_history_at_least_8; same_rule_history_at_least_14; same_rule_history_at_least_16; same_rule_history_at_least_20; same_rule_history_at_least_30; model_fit_eligibility_not_final; minimum_history_threshold_selected
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/processed/18uA_chronological_partition_and_folds/18uA_date_rule_assignment.csv,other_weather_source,412,30,event_date,103,2026-03-16,2026-06-30,,,decision_rule; decision_rule_order,event_date; sample_block; decision_rule; decision_rule_order; decision_cutoff_hkt; decision_cutoff_utc; candidate_contract_rows; weather_ready_contract_rows; current_prediction_eligible; current_outcome_included_in_information_set; market_information_used_for_residual_history; final_modelling_split; n_admissible_same_rule_residuals; n_distinct_same_rule_history_dates; earliest_same_rule_history_date; latest_same_rule_history_date; latest_same_rule_hko_availability_utc; current_label_availability_source; current_label_available_utc; evaluation_block; minimum_same_rule_history; history_threshold_satisfied; model_ready; planned_contract_cells; final_modelling_split_assigned; model_specification_selected; market_information_required_for_split; probability_bridge_required_for_split; development_fold; row_role
local:/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/interim/hko_daily_max.csv,other_weather_source,103,6,event_date,103,2026-03-16,2026-06-30,source_retrieved_utc,hko_daily_max_c,,event_date; hko_daily_max_c; source_reference; source_retrieved_utc; outcome_admissible_utc; availability_basis
