declaring_manifest,hash_group,declared_path,verifiable_repository_path,exists,expected_sha256,actual_sha256,hash_matches
data/manifests/10_categorical_evaluation_manifest.json,input_hashes,data/processed/certified_event_books.csv,True,True,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,True
data/manifests/10_categorical_evaluation_manifest.json,input_hashes,outputs/diagnostics/09_locked_regularised_event_probability_panel.csv,True,True,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,True
data/manifests/10_categorical_evaluation_manifest.json,output_hashes,outputs/diagnostics/10_locked_categorical_date_score_panel.csv,True,True,d5f6689ba66a64af3e495a175aa9c6648d86acdcb63380d616ce1dc0b16c7c5e,d5f6689ba66a64af3e495a175aa9c6648d86acdcb63380d616ce1dc0b16c7c5e,True
data/manifests/10_categorical_evaluation_manifest.json,output_hashes,outputs/diagnostics/10_locked_categorical_integrity_checks.csv,True,True,ea1a4f008ec25ff19f4ffa06437c6b6fcebadf0116c57893cf2698b931bcfc72,ea1a4f008ec25ff19f4ffa06437c6b6fcebadf0116c57893cf2698b931bcfc72,True
data/manifests/10_categorical_evaluation_manifest.json,output_hashes,outputs/diagnostics/10_locked_categorical_score_panel.csv,True,True,91caa4c7a7752dd799123b8fe4e6b97e8541c7c2cbea107f213dfa45ca98a925,91caa4c7a7752dd799123b8fe4e6b97e8541c7c2cbea107f213dfa45ca98a925,True
data/manifests/10_categorical_evaluation_manifest.json,output_hashes,outputs/final_tables/10_locked_categorical_block_summary.csv,True,True,67dc118543a17b3658b6d62343803d51aedcd118c41eb452eb11f271a2be29a3,67dc118543a17b3658b6d62343803d51aedcd118c41eb452eb11f271a2be29a3,True
data/manifests/11_market_comparison_manifest.json,input_hashes,config/market_comparison_spec.yaml,True,True,585e35beee4a8274c7dcf84ced8adb25e5805e7d0800e58af3e5bef5e7db09e6,585e35beee4a8274c7dcf84ced8adb25e5805e7d0800e58af3e5bef5e7db09e6,True
data/manifests/11_market_comparison_manifest.json,input_hashes,data/manifests/10_categorical_evaluation_manifest.json,True,True,c2c50429ad6f873ccc7a56a8d3a9577b6b51e4de08183a801db475a4c34e16a6,c2c50429ad6f873ccc7a56a8d3a9577b6b51e4de08183a801db475a4c34e16a6,True
data/manifests/11_market_comparison_manifest.json,input_hashes,data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,True,True,b77537cb82a0f58db812cd53bd7b13380df4c8c9606ccb6b3a0f8c2b002cde89,b77537cb82a0f58db812cd53bd7b13380df4c8c9606ccb6b3a0f8c2b002cde89,True
data/manifests/11_market_comparison_manifest.json,input_hashes,outputs/diagnostics/10_locked_event_probability_outcome_panel.csv,True,True,f0d9a9f8be85be03a509780c0ccf6b4664ba1ee7503acdab91caa8f3d95a3639,f0d9a9f8be85be03a509780c0ccf6b4664ba1ee7503acdab91caa8f3d95a3639,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_common_support_book_score_panel.csv,True,True,398c2f500b8dbe0504d932598d783ab01413ece1b99526a31d5dbbab6103b9f5,398c2f500b8dbe0504d932598d783ab01413ece1b99526a31d5dbbab6103b9f5,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_common_support_date_score_panel.csv,True,True,f5727469d5776dd42a81701566968fc666f31912587fcec9b95e6ac779f5ab8d,f5727469d5776dd42a81701566968fc666f31912587fcec9b95e6ac779f5ab8d,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_common_support_integrity_checks.csv,True,True,fb0fe496ad76eca1bb79d74475056b8296e9961a837033ccdd4b9899d52024a1,fb0fe496ad76eca1bb79d74475056b8296e9961a837033ccdd4b9899d52024a1,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_common_support_missing_books.csv,True,True,cac932aff89291c801f5450ff0aa487e5f30e8520199783d44c13a2351536b63,cac932aff89291c801f5450ff0aa487e5f30e8520199783d44c13a2351536b63,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_common_support_probability_panel.csv,True,True,2f6ba5ef9fb6d5680d49c5e276add0ac853731f324a6b9d0b86d6a9a8c2ebd8e,2f6ba5ef9fb6d5680d49c5e276add0ac853731f324a6b9d0b86d6a9a8c2ebd8e,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/diagnostics/11_market_source_certification.csv,True,True,aa0ea20b83f8234881870366fb457d7acab2240a2d66044f018942ddf371abaa,aa0ea20b83f8234881870366fb457d7acab2240a2d66044f018942ddf371abaa,True
data/manifests/11_market_comparison_manifest.json,output_hashes,outputs/final_tables/11_common_support_block_summary.csv,True,True,8841ecdb9acb259045db1a6f0dd00f1750672967fc79c2bfc02f55af0fe62a82,8841ecdb9acb259045db1a6f0dd00f1750672967fc79c2bfc02f55af0fe62a82,True
data/manifests/12_trading_strategy_manifest.json,input_hashes,config/trading_strategy_spec.yaml,True,True,46985cb32630f5de3e14615ba35adbd89d96548cba7ab95be090dfb1efd06611,46985cb32630f5de3e14615ba35adbd89d96548cba7ab95be090dfb1efd06611,True
data/manifests/12_trading_strategy_manifest.json,input_hashes,data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,True,True,b77537cb82a0f58db812cd53bd7b13380df4c8c9606ccb6b3a0f8c2b002cde89,b77537cb82a0f58db812cd53bd7b13380df4c8c9606ccb6b3a0f8c2b002cde89,True
data/manifests/12_trading_strategy_manifest.json,input_hashes,data/processed/certified_event_books.csv,True,True,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1,True
