target_date,decision_rule,chronology_block,event_rows,unique_events,outcome_rows,realised_winners,model_probability_sum,complete_book
2026-04-26,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-26,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-27,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-27,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-27,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-27,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-28,12h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-28,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-28,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-28,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-29,12h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-29,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-04-29,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-04-29,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-01,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-01,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-01,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-01,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-02,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-02,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-02,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-02,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-03,12h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-03,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-03,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-03,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-04,12h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-04,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-04,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-04,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-05,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-05,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-05,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-05,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-07,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-07,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-07,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-07,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-08,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-08,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-08,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-08,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-09,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-09,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-09,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-09,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-10,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-10,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-10,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-10,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-11,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-11,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-11,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-11,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-12,12h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-12,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-12,6h_prior,development_validation,11,11,11,1,1.0,True
2026-05-12,event_day_open,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-13,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-13,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-13,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-13,event_day_open,development_validation,11,11,11,1,1.0,True
2026-05-14,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-14,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-14,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-14,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-15,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-15,24h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-15,6h_prior,development_validation,11,11,11,1,0.9999999999999998,True
2026-05-15,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-16,12h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-16,24h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-16,6h_prior,development_validation,11,11,11,1,0.9999999999999999,True
2026-05-16,event_day_open,development_validation,11,11,11,1,0.9999999999999999,True
