stage,source_path,metric,numeric_value,text_value
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,input_hashes.config/continuous_calibration_spec.yaml,,49b70d75da9012c7ac9bbc5bad1176a9010f3330964ae72ded48d8dd3f1f3c37
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,input_hashes.data/manifests/04_model_selection_manifest.json,,788f5af92e4f999bbb07dbb54f1cf5d393d5c15b08c9684d868659eb80735343
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,input_hashes.outputs/diagnostics/04_oof_model_predictions.csv,,2bfa19ca11f3dde6c323fee1ef987e40257eba451e10662be9a51540e62d12aa
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,interval_width_used_for_selection,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,market_data_accessed,0,False
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,maximum_predictive_median_change_c,0,0.0
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,output_hashes.outputs/diagnostics/05_calibration_candidate_summary.csv,,b792d358dadb2d970d0b0fd1ff93f96703176a2262ebd31070f6d942be8f0061
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,output_hashes.outputs/diagnostics/05_selected_oof_calibrated_predictions.csv,,f6de4d1c9194d733a574bdc5265ebef5948212baaa44cc240b7eccfb69abdae5
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,positive_raw_80_interval_width_share,1,1.0
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,primary_score,,99-quantile date-grouped mean CRPS
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_family,,empirical_residual
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_mean_date_crps,0.73640852605,0.7364085260499732
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_model,,pooled_empirical_residual
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_model_fit_warning_count,0,0
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_model_non_ok_fit_records,0,0
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_relative_crps_change_vs_identity,0.0224400328289,0.02244003282893836
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_scale,1.25,1.25
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selected_within_one_standard_error,1,True
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,selection_rule,,paired one-standard-error preference for scale closest to one
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,status,,DEVELOPMENT_CONTINUOUS_CALIBRATION_COMPLETE
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,strict_crps_winner_mean_date_crps,0.733091547049,0.7330915470494416
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,strict_crps_winner_scale,1.5,1.5
05_continuous_calibration,data/manifests/05_continuous_calibration_manifest.json,transformation,,median_preserving_dispersion_scaling
08_event_probability,data/manifests/08_event_probability_manifest.json,all_particles_assigned_exactly_once,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,boundary_convention,,left closed and right open
08_event_probability,data/manifests/08_event_probability_manifest.json,categorical_scores_calculated,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,continuous_calibration_reselected,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,created_utc,,2026-07-27T01:56:31.817762+00:00
08_event_probability,data/manifests/08_event_probability_manifest.json,event_book_source,,data/processed/certified_event_books.csv
08_event_probability,data/manifests/08_event_probability_manifest.json,event_book_source_sha256,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
08_event_probability,data/manifests/08_event_probability_manifest.json,event_count_per_prediction,11,11
08_event_probability,data/manifests/08_event_probability_manifest.json,input_hashes.config/event_probability_construction_spec.yaml,,f8a56184906a9c938348381a32c6540b9cc01a3f1dec5a1a874684b083ee0c19
08_event_probability,data/manifests/08_event_probability_manifest.json,input_hashes.data/manifests/06_locked_prediction_manifest.json,,d2176272ebf305328b51be131bd3c426c2bafd24b6eac995df136779688490a4
08_event_probability,data/manifests/08_event_probability_manifest.json,input_hashes.data/manifests/07_continuous_evaluation_manifest.json,,4069e38d850da42789991bcbb9686ad2030213eea05f4bf03a5ff8f02282e8b8
08_event_probability,data/manifests/08_event_probability_manifest.json,input_hashes.outputs/diagnostics/06_locked_calibrated_predictions.csv,,d7a6e178708d14f2f81f7147c37490bfc76ec7eebe8d37e71eb2c988dd8b9a60
08_event_probability,data/manifests/08_event_probability_manifest.json,lower_tail_unbounded,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,market_contract_definitions_accessed,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,market_prices_accessed,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,mean_occupied_events_per_probability_book,6.61006289308,6.610062893081761
08_event_probability,data/manifests/08_event_probability_manifest.json,mean_probability_entropy,1.58887371683,1.5888737168281544
08_event_probability,data/manifests/08_event_probability_manifest.json,model_refitted,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,model_reselected,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,next_stage,,development-only uniform probability mixing selection
08_event_probability,data/manifests/08_event_probability_manifest.json,output_hashes.outputs/diagnostics/08_event_probability_book_summary.csv,,24149f9ac4a2225af088416321db320ac6e62db2d3ab2893e2384057230060de
08_event_probability,data/manifests/08_event_probability_manifest.json,output_hashes.outputs/diagnostics/08_event_probability_integrity_checks.csv,,aa22e5df171232c240911a82f97bceb3f3ab1bb0abb6024216a0ac1162a4b942
08_event_probability,data/manifests/08_event_probability_manifest.json,output_hashes.outputs/diagnostics/08_locked_event_probability_panel.csv,,8815e44a074e3631a9f3d3d50d932243271170adc4e2ff60e32aca1a897d0fb6
08_event_probability,data/manifests/08_event_probability_manifest.json,prediction_dates,40,40
08_event_probability,data/manifests/08_event_probability_manifest.json,prediction_rows,159,159
08_event_probability,data/manifests/08_event_probability_manifest.json,probability_books_sum_to_one,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,probability_construction_locked,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,probability_regularisation_applied,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,probability_resolution,0.010101010101,0.010101010101010102
08_event_probability,data/manifests/08_event_probability_manifest.json,probability_rows,1749,1749
08_event_probability,data/manifests/08_event_probability_manifest.json,quantile_particle_count,99,99
08_event_probability,data/manifests/08_event_probability_manifest.json,quantile_particle_interpretation,,equally weighted deterministic quantile particles
08_event_probability,data/manifests/08_event_probability_manifest.json,quantile_particles_are_independent_draws,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,realised_outcomes_accessed,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,selected_dispersion_scale,1.25,1.25
08_event_probability,data/manifests/08_event_probability_manifest.json,selected_family,,empirical_residual
08_event_probability,data/manifests/08_event_probability_manifest.json,selected_model,,pooled_empirical_residual
08_event_probability,data/manifests/08_event_probability_manifest.json,settlement_certification_status,,REAL_EVENT_BOOKS_CERTIFIED
08_event_probability,data/manifests/08_event_probability_manifest.json,status,,LOCKED_EVENT_PROBABILITY_CONSTRUCTION_COMPLETE
08_event_probability,data/manifests/08_event_probability_manifest.json,trading_returns_calculated,0,False
08_event_probability,data/manifests/08_event_probability_manifest.json,upper_tail_unbounded,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,zero_probabilities_retained,1,True
08_event_probability,data/manifests/08_event_probability_manifest.json,zero_probability_event_share,0.399085191538,0.39908519153802174
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,candidate_lambda_count,101,101
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,candidate_lambda_increment,0.01,0.01
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,candidate_lambda_maximum,1,1.0
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,candidate_lambda_minimum,0,0.0
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,continuous_calibration_reselected,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,created_utc,,2026-07-27T04:07:36.352125+00:00
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,decision_rules_aggregated_within_date,1,True
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,development_date_rule_rows,152,152
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,development_dates,38,38
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,development_probability_rows,1672,1672
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,development_source,,outputs/diagnostics/05_selected_oof_calibrated_predictions.csv
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,development_source_is_calibrated_oof,1,True
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,external_test_outcomes_used_for_selection,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,external_test_scores_calculated,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,holdout_outcomes_used_for_selection,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,holdout_scores_calculated,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.config/probability_regularisation_spec.yaml,,f921bda091fc6f32a9fa706c4fe273ce5e488610d427a8b5ccc83adad77584d4
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.data/manifests/04_model_selection_manifest.json,,788f5af92e4f999bbb07dbb54f1cf5d393d5c15b08c9684d868659eb80735343
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.data/manifests/05_continuous_calibration_manifest.json,,1ac21b4dbfe7f364048f33e72b20ff3267310ec52d0c35039293f5330dec4f6b
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.data/manifests/08_event_probability_manifest.json,,4948c0e1183a7882085ed2588a7217c11672623b98091622efd5484394d72ab3
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.data/processed/02_chronological_design_panel.csv,,da654f47c3c12caaa031f832c61308df32f96f0caa411923f21ab95852ea5653
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.data/processed/certified_event_books.csv,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.outputs/diagnostics/05_selected_oof_calibrated_predictions.csv,,f6de4d1c9194d733a574bdc5265ebef5948212baaa44cc240b7eccfb69abdae5
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,input_hashes.outputs/diagnostics/08_locked_event_probability_panel.csv,,8815e44a074e3631a9f3d3d50d932243271170adc4e2ff60e32aca1a897d0fb6
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,locked_blocks,,"[""holdout"", ""external_test""]"
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,locked_continuous_dispersion_scale,1.25,1.25
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,locked_dates,40,40
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,locked_prediction_books,159,159
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,locked_probability_rows,1749,1749
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,market_prices_accessed,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,model_refitted,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,model_reselected,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,next_stage,,locked holdout and external categorical evaluation
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,one_standard_error_threshold,1.71965466807,1.7196546680730092
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,output_hashes.outputs/diagnostics/09_locked_regularised_event_probability_panel.csv,,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,output_hashes.outputs/diagnostics/09_probability_calibration_integrity_checks.csv,,210f097671285ed9af4c7c2f72fa0c97e4051ef65e585f41da016e411bb94a4c
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,output_hashes.outputs/diagnostics/09_probability_mixing_grid_scores.csv,,4c188b4fd7285027bb0e41bd7abe9e314e001c0454a9eba313a03f9e297fbaf4
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,primary_selection_score,,settlement-date mean categorical log score
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,probability_calibration_locked,1,True
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,secondary_selection_score,,settlement-date mean multiclass Brier score
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selected_family,,empirical_residual
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selected_mean_date_brier_score,0.753551435407,0.7535514354066986
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selected_mean_date_log_score,1.59141741366,1.5914174136586134
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selected_model,,pooled_empirical_residual
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selected_uniform_mixing_lambda,0.01,0.01
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,selection_rule,,smallest lambda within one standard error of the best settlement-date mean log score
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,status,,PROBABILITY_CALIBRATION_LOCKED
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,strict_winner_lambda,0.02,0.02
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,strict_winner_mean_date_log_score,1.59036886621,1.5903688662077229
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,strict_winner_standard_error,0.129285801865,0.1292858018652862
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,trading_returns_calculated,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,uncalibrated_notebook04_source_used,0,False
09_probability_calibration,data/manifests/09_probability_calibration_manifest.json,uncertainty_unit,,settlement_date
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,continuous_calibration_reselected,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,created_utc,,2026-07-27T05:34:18.786140+00:00
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,decision_rules_averaged_within_date,1,True
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,evaluation_dates,40,40
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,external_test_dates,30,30
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,external_test_probability_books,119,119
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,holdout_dates,10,10
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,holdout_probability_books,40,40
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,input_hashes.config/categorical_evaluation_spec.yaml,,3b1cccc16964f02da11f7e81d28cac8abceec0ded30f114df20f4666505cc357
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,input_hashes.data/manifests/09_probability_calibration_manifest.json,,cfe6dbdedfdd675774201c70669adb0b6170702947aedce01eedf139b5592645
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,input_hashes.data/processed/certified_event_books.csv,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,input_hashes.outputs/diagnostics/09_locked_regularised_event_probability_panel.csv,,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,locked_continuous_dispersion_scale,1.25,1.25
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,locked_uniform_mixing_lambda,0.01,0.01
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,market_prices_accessed,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,model_reselected,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,next_stage,,common-support comparison with market probabilities
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,output_hashes.outputs/diagnostics/10_locked_categorical_date_score_panel.csv,,d5f6689ba66a64af3e495a175aa9c6648d86acdcb63380d616ce1dc0b16c7c5e
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,output_hashes.outputs/diagnostics/10_locked_categorical_integrity_checks.csv,,ea1a4f008ec25ff19f4ffa06437c6b6fcebadf0116c57893cf2698b931bcfc72
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,output_hashes.outputs/diagnostics/10_locked_categorical_score_panel.csv,,91caa4c7a7752dd799123b8fe4e6b97e8541c7c2cbea107f213dfa45ca98a925
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,output_hashes.outputs/final_tables/10_locked_categorical_block_summary.csv,,67dc118543a17b3658b6d62343803d51aedcd118c41eb452eb11f271a2be29a3
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,primary_join,,target_date plus normalised source_event_label to certified event_label
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,primary_score,,categorical_log_score
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,probabilities_clipped_for_log_score,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,probability_books,159,159
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,probability_calibration_reselected,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,probability_calibration_status,,PROBABILITY_CALIBRATION_LOCKED
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,probability_rows,1749,1749
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,raw_and_regularised_probabilities_evaluated,1,True
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,realised_hko_outcomes_accessed,1,True
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,secondary_score,,multiclass_brier_score
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,selected_family,,empirical_residual
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,selected_model,,pooled_empirical_residual
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,status,,LOCKED_CATEGORICAL_EVALUATION_COMPLETE
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,structural_join_verification,,event_order equals event_index plus one
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,trading_returns_calculated,0,False
10_categorical_evaluation,data/manifests/10_categorical_evaluation_manifest.json,uncertainty_unit,,settlement_date
11_market_comparison,data/manifests/11_market_comparison_manifest.json,canonical_alias_equivalent,0,False
11_market_comparison,data/manifests/11_market_comparison_manifest.json,canonical_market_source,,data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv
11_market_comparison,data/manifests/11_market_comparison_manifest.json,canonical_source_precedence,1,True
11_market_comparison,data/manifests/11_market_comparison_manifest.json,common_support_dates,40,40
11_market_comparison,data/manifests/11_market_comparison_manifest.json,common_support_probability_books,154,154
11_market_comparison,data/manifests/11_market_comparison_manifest.json,common_support_probability_rows,1694,1694
11_market_comparison,data/manifests/11_market_comparison_manifest.json,continuous_calibration_reselected,0,False
11_market_comparison,data/manifests/11_market_comparison_manifest.json,corroborating_source_role,,diagnostic only
11_market_comparison,data/manifests/11_market_comparison_manifest.json,event_count_per_book,11,11
11_market_comparison,data/manifests/11_market_comparison_manifest.json,exact_alias_equivalence_required,0,False
11_market_comparison,data/manifests/11_market_comparison_manifest.json,input_hashes.config/market_comparison_spec.yaml,,585e35beee4a8274c7dcf84ced8adb25e5805e7d0800e58af3e5bef5e7db09e6
11_market_comparison,data/manifests/11_market_comparison_manifest.json,input_hashes.data/manifests/10_categorical_evaluation_manifest.json,,c2c50429ad6f873ccc7a56a8d3a9577b6b51e4de08183a801db475a4c34e16a6
11_market_comparison,data/manifests/11_market_comparison_manifest.json,input_hashes.data/processed/18sA_canonical_source_adapters/18sA_canonical_market_panel.csv,,b77537cb82a0f58db812cd53bd7b13380df4c8c9606ccb6b3a0f8c2b002cde89
11_market_comparison,data/manifests/11_market_comparison_manifest.json,input_hashes.outputs/diagnostics/10_locked_event_probability_outcome_panel.csv,,f0d9a9f8be85be03a509780c0ccf6b4664ba1ee7503acdab91caa8f3d95a3639
11_market_comparison,data/manifests/11_market_comparison_manifest.json,integrity_checks_passed,1,True
11_market_comparison,data/manifests/11_market_comparison_manifest.json,locked_continuous_dispersion_scale,1.25,1.25
11_market_comparison,data/manifests/11_market_comparison_manifest.json,locked_uniform_mixing_lambda,0.01,0.01
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_only_books,1,1
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_price_column,,p_market
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_prices_used_for_model_selection,0,False
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_probabilities_normalised_for_scoring,1,True
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_probability_books_available,155,155
11_market_comparison,data/manifests/11_market_comparison_manifest.json,market_source_certified,1,True
11_market_comparison,data/manifests/11_market_comparison_manifest.json,model_only_books,5,5
11_market_comparison,data/manifests/11_market_comparison_manifest.json,model_probability_books_available,159,159
11_market_comparison,data/manifests/11_market_comparison_manifest.json,model_probability_column,,regularised_event_probability
11_market_comparison,data/manifests/11_market_comparison_manifest.json,model_reselected,0,False
11_market_comparison,data/manifests/11_market_comparison_manifest.json,model_source,,outputs/diagnostics/10_locked_event_probability_outcome_panel.csv
11_market_comparison,data/manifests/11_market_comparison_manifest.json,outcomes_used_for_evaluation,1,True
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_common_support_book_score_panel.csv,,398c2f500b8dbe0504d932598d783ab01413ece1b99526a31d5dbbab6103b9f5
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_common_support_date_score_panel.csv,,f5727469d5776dd42a81701566968fc666f31912587fcec9b95e6ac779f5ab8d
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_common_support_integrity_checks.csv,,fb0fe496ad76eca1bb79d74475056b8296e9961a837033ccdd4b9899d52024a1
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_common_support_missing_books.csv,,cac932aff89291c801f5450ff0aa487e5f30e8520199783d44c13a2351536b63
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_common_support_probability_panel.csv,,2f6ba5ef9fb6d5680d49c5e276add0ac853731f324a6b9d0b86d6a9a8c2ebd8e
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/diagnostics/11_market_source_certification.csv,,aa0ea20b83f8234881870366fb457d7acab2240a2d66044f018942ddf371abaa
11_market_comparison,data/manifests/11_market_comparison_manifest.json,output_hashes.outputs/final_tables/11_common_support_block_summary.csv,,8841ecdb9acb259045db1a6f0dd00f1750672967fc79c2bfc02f55af0fe62a82
