target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-06-02,external_test,24h_prior,2.099999999999998,0.36038031833486206,1,1.7396196816651357,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-03,external_test,24h_prior,3.1999999999999957,0.8870217324762778,1,2.312978267523718,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-04,external_test,24h_prior,1.0,0.47868839914294214,1,0.5213116008570579,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-05,external_test,24h_prior,0.7000000000000028,0.6376530456075885,1,0.06234695439241433,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-06,external_test,24h_prior,0.10000000000000142,1.1924510254055742,1,-1.0924510254055728,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-07,external_test,24h_prior,3.8000000000000007,1.3881580961126376,1,2.411841903887363,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-08,external_test,24h_prior,2.799999999999997,0.6278045607591057,1,2.1721954392408915,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-09,external_test,24h_prior,2.1999999999999993,0.3856328435873886,1,1.8143671564126107,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-10,external_test,24h_prior,0.7999999999999972,1.772375267829811,1,-0.9723752678298139,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-11,external_test,24h_prior,1.8000000000000007,0.309370217324764,1,1.4906297826752368,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-12,external_test,24h_prior,3.0,0.7456075910621359,1,2.254392408937864,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-13,external_test,24h_prior,1.0,0.4786883991429475,1,0.5213116008570525,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-14,external_test,24h_prior,0.8999999999999986,0.5266681971227454,1,0.3733318028772532,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-15,external_test,24h_prior,1.5,0.3185873890419316,1,1.1814126109580685,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-16,external_test,24h_prior,0.7000000000000028,0.6376530456075881,1,0.06234695439241478,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-17,external_test,24h_prior,1.8999999999999986,0.32098637894092596,1,1.5790136210590726,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-18,external_test,24h_prior,2.8999999999999986,0.6843702173247644,1,2.2156297826752342,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-19,external_test,24h_prior,1.6000000000000014,0.30735001530456063,1,1.2926499846954407,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-20,external_test,24h_prior,1.3999999999999986,0.3387894092439586,1,1.06121059075604,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
