target_date,decision_rule,split,total_variation_market_matern,expected_rank_market_minus_matern,modal_disagreement,realised_event_probability_market,realised_event_probability_matern,realised_event_probability_market_minus_matern,categorical_log_matern_minus_market,multiclass_brier_winner_component_matern_minus_market,multiclass_brier_nonwinner_component_matern_minus_market,multiclass_brier_total_matern_minus_market
2026-04-17,event_day_open,development,0.39726901738068354,0.861908583936815,1,0.21863117870722434,0.27515517007258516,-0.05652399136536082,-0.2299489987364074,-0.08513720741595865,-0.21160909980262865,-0.2967463072185873
2026-04-18,12h_prior,development,0.17043065670804608,-0.37433655427336276,0,0.26748005631159083,0.19029629138389406,0.07718376492769677,0.3404627218611085,0.11903462784540575,-0.0007637458388109475,0.1182708820065948
2026-04-18,6h_prior,development,0.4641927023732165,-1.2054882058340528,1,0.35460992907801414,0.11098280229166164,0.2436271267863525,1.1616431390326951,0.37382323417650076,0.09248939783753282,0.4663126320140336
2026-04-18,event_day_open,development,0.2554056416405243,-0.5254277639694873,0,0.35079051383399207,0.20016541690522946,0.1506250969287626,0.5610451093818873,0.21826240338645336,0.0030852169521106004,0.22134762033856398
2026-04-19,12h_prior,development,0.3420669446037532,0.9831230181872952,1,0.149561629706034,0.08780585804623035,0.06175577165980366,0.5325803279603276,0.10885273094651737,-0.08892059395332287,0.019932136993194502
2026-04-19,24h_prior,development,0.2053809741450796,0.4613476990588179,1,0.15037593984962405,0.12167069311411266,0.02870524673551139,0.2118202658589925,0.04960132774823345,-0.06431181584441592,-0.014710488096182472
2026-04-19,6h_prior,development,0.37210089009760033,0.8371330480949428,1,0.13222331047992164,0.09689498811916654,0.0353283223607551,0.3108644438932431,0.06256227960985394,-0.1442904692331097,-0.08172818962325576
2026-04-19,event_day_open,development,0.3020912885304786,-0.01191480917593779,0,0.13056092843326886,0.19073881632438017,-0.06017788789111131,-0.3790650360772121,-0.10102063576275422,-0.16949941657441944,-0.2705200523371737
2026-04-20,12h_prior,development,0.2444639963600909,0.33698619224300863,0,0.4020356234096692,0.2502595701077756,0.1517760533018936,0.47404204048681287,0.20454931654391428,-0.008651296608539416,0.19589801993537487
2026-04-20,24h_prior,development,0.1750226840678832,0.3608117735350529,1,0.3632589517384535,0.23675713732137368,0.12650181441707983,0.4280810669186259,0.17710050488865126,0.006885701820211784,0.18398620670886304
