target_date,split,binary_brier,binary_log,categorical_log,multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier,model,model_minus_market_binary_brier,model_minus_market_binary_log,model_minus_market_categorical_log,model_minus_market_multiclass_brier
2026-04-02,development,0.12121212121212122,3.3492160214446307,18.420680743952364,1.3333333333333333,0.07529277272727274,0.2310682396280009,1.6191459255331881,0.8239786230429192,raw,0.04591934848484848,3.1181477818166297,16.801534818419174,0.509354710290414
2026-04-03,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.06958479545454546,0.21599289197098692,1.4875216383211347,0.7614230126592763,raw,0.11223338636363636,4.807831140195459,26.143499477607413,1.2385769873407237
2026-04-04,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.057241392045454545,0.18746542353539386,1.2774209195885189,0.6396250688126635,raw,0.12457678977272728,4.836358608631052,26.35360019634003,1.3603749311873365
2026-04-05,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.08401829545454545,0.2525770645722726,1.783741935884716,0.901946796054289,raw,0.09779988636363637,4.771246967594173,25.84727918004383,1.0980532039457112
2026-04-06,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.057767715909090904,0.184684913403897,1.2340810122272752,0.6511723071054556,raw,0.12405046590909091,4.8391391187625485,26.396940103701272,1.3488276928945444
2026-04-07,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.05664402840909091,0.18243572618046142,1.2253104472400138,0.6338934703502924,raw,0.1251741534090909,4.841388305985984,26.405710668688535,1.3661065296497075
2026-04-08,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.05660990340909092,0.18381371006194963,1.2470089838392444,0.6285804058974441,raw,0.1252082784090909,4.840010322104496,26.384012132089303,1.371419594102556
2026-04-09,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.04311013068181818,0.14150888298062672,0.8937778420433696,0.4864782284381203,raw,0.13870805113636364,4.882315149185819,26.737243273885177,1.5135217715618796
2026-04-10,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.06673272159090908,0.19745624966370878,1.2926688355982954,0.7369583837309194,raw,0.11508546022727274,4.826367782502737,26.338352280330252,1.2630416162690805
2026-04-11,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.09931001704545454,0.314269471533469,2.3715708650276355,1.1000581731304317,raw,0.08250816477272728,4.709554560632977,25.259450250900912,0.8999418268695683
2026-04-12,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.04994586931818182,0.1607162352861693,1.0495719667743826,0.5607872730532467,raw,0.1318723125,4.863107796880277,26.581449149154164,1.4392127269467534
2026-04-13,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.060131573863636364,0.1859413721236452,1.2237836841447247,0.6634584711569583,raw,0.12168660795454546,4.8378826600428,26.407237431783823,1.3365415288430418
2026-04-14,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,0.040653121212121224,0.13770492304618245,0.8713890766474344,0.4507348614788989,raw,0.14116506060606057,4.886119109120263,26.75963203928111,1.5492651385211011
2026-04-15,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.05969230113636363,0.17750479962668275,1.145426732880822,0.6579435434144516,raw,0.12212588068181819,4.846319232539763,26.485594383047726,1.3420564565855484
2026-04-16,development,0.18181818181818182,5.023824032166446,27.631021115928547,2.0,0.08511763636363635,0.24014402176866073,1.5968094888859212,0.8764757132285352,raw,0.09670054545454547,4.783680010397785,26.034211627042627,1.1235242867714648
2026-04-17,development,0.1818181818181818,5.023824032166446,27.631021115928547,2.0,0.06251943939393939,0.18375676576761804,1.1763462022529312,0.6849460934618278,raw,0.1192987424242424,4.840067266398828,26.454674913675618,1.3150539065381723
