scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,24h_prior,all_exact_support,raw,market,binary_brier,82,0.10619343348115301,0.12032329545454545,0.06097560975609756,0.9390243902439024
decision_rule,24h_prior,all_exact_support,raw,market,binary_log,82,4.513122895511105,4.8357324040836795,0.06097560975609756,0.9390243902439024
decision_rule,24h_prior,all_exact_support,raw,market,categorical_log,82,24.532555647215272,26.382467139976523,0.06097560975609756,0.9390243902439024
decision_rule,24h_prior,all_exact_support,raw,market,multiclass_brier,82,1.166985021241651,1.326229171545081,0.06097560975609756,0.9390243902439024
decision_rule,12h_prior,development,raw,market,binary_brier,60,0.09197364393939393,0.11769293181818181,0.13333333333333333,0.8666666666666667
decision_rule,12h_prior,development,raw,market,binary_log,60,4.142860012152168,4.823468421273876,0.13333333333333333,0.8666666666666667
decision_rule,12h_prior,development,raw,market,categorical_log,60,22.46170553191812,26.27837482105432,0.13333333333333333,0.8666666666666667
decision_rule,12h_prior,development,raw,market,multiclass_brier,60,1.0127529691874118,1.2896203417533068,0.13333333333333333,0.8666666666666667
decision_rule,12h_prior,june_external,raw,market,binary_brier,28,0.11009428327922077,0.12353332954545454,0.07142857142857142,0.9285714285714286
decision_rule,12h_prior,june_external,raw,market,binary_log,28,4.480262547005234,4.846706721267072,0.07142857142857142,0.9285714285714286
decision_rule,12h_prior,june_external,raw,market,categorical_log,28,24.418369473986242,26.480075097109854,0.07142857142857142,0.9285714285714286
decision_rule,12h_prior,june_external,raw,market,multiclass_brier,28,1.2087031470837908,1.3561060622895007,0.07142857142857142,0.9285714285714286
decision_rule,12h_prior,all_exact_support,raw,market,binary_brier,88,0.09773930191115703,0.1202294090909091,0.11363636363636363,0.8863636363636364
decision_rule,12h_prior,all_exact_support,raw,market,binary_log,88,4.250215364150872,4.833440717412309,0.11363636363636363,0.8863636363636364
decision_rule,12h_prior,all_exact_support,raw,market,categorical_log,88,23.084280422576157,26.372821105031676,0.11363636363636363,0.8863636363636364
decision_rule,12h_prior,all_exact_support,raw,market,multiclass_brier,88,1.0751007530635324,1.3197311827376383,0.11363636363636363,0.8863636363636364
decision_rule,6h_prior,development,raw,market,binary_brier,58,0.09249787539184953,0.12026703409090908,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,development,raw,market,binary_log,58,4.1260231618221175,4.8378360676523435,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,development,raw,market,categorical_log,58,22.39047215993091,26.40792283646198,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,development,raw,market,multiclass_brier,58,1.0177835104818973,1.321793560736321,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,june_external,raw,market,binary_brier,29,0.10699734952978057,0.12740781818181818,0.10344827586206896,0.896551724137931
decision_rule,6h_prior,june_external,raw,market,binary_log,29,4.326689203128428,4.852085306703454,0.10344827586206896,0.896551724137931
decision_rule,6h_prior,june_external,raw,market,categorical_log,29,23.58528448014173,26.52818495614425,0.10344827586206896,0.896551724137931
decision_rule,6h_prior,june_external,raw,market,multiclass_brier,29,1.175273337800098,1.394278120418676,0.10344827586206896,0.896551724137931
decision_rule,6h_prior,all_exact_support,raw,market,binary_brier,87,0.09733103343782654,0.1250085909090909,0.12643678160919541,0.8735632183908046
decision_rule,6h_prior,all_exact_support,raw,market,binary_log,87,4.192911842257554,4.846582668116623,0.12643678160919541,0.8735632183908046
decision_rule,6h_prior,all_exact_support,raw,market,categorical_log,87,22.788742933334518,26.462117653633417,0.12643678160919541,0.8735632183908046
decision_rule,6h_prior,all_exact_support,raw,market,multiclass_brier,87,1.0702801195879639,1.377876031048205,0.12643678160919541,0.8735632183908046
