scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,6h_prior,all_exact_support,matern,market,binary_log,87,0.019126341760105046,0.03445379290848877,0.28735632183908044,0.7126436781609196
decision_rule,6h_prior,all_exact_support,matern,market,categorical_log,87,0.1713797145885352,0.30985243445304467,0.28735632183908044,0.7126436781609196
decision_rule,6h_prior,all_exact_support,matern,market,multiclass_brier,87,0.05750241178892685,0.09638906733825392,0.367816091954023,0.632183908045977
decision_rule,event_day_open,development,matern,market,binary_brier,63,-0.002160493361025616,0.0033403507353423553,0.47619047619047616,0.5238095238095238
decision_rule,event_day_open,development,matern,market,binary_log,63,-0.0023816679879997103,0.014101451506607798,0.4603174603174603,0.5396825396825397
decision_rule,event_day_open,development,matern,market,categorical_log,63,-0.006733934384112404,0.14337272853027372,0.42857142857142855,0.5714285714285714
decision_rule,event_day_open,development,matern,market,multiclass_brier,63,-0.019832171837415317,0.03300002617055031,0.47619047619047616,0.5238095238095238
decision_rule,event_day_open,june_external,matern,market,binary_brier,30,0.010951479767284151,0.014957991848503459,0.2,0.8
decision_rule,event_day_open,june_external,matern,market,binary_log,30,0.045237019117746934,0.05061726034655975,0.13333333333333333,0.8666666666666667
decision_rule,event_day_open,june_external,matern,market,categorical_log,30,0.4139707550619429,0.418240362479793,0.13333333333333333,0.8666666666666667
decision_rule,event_day_open,june_external,matern,market,multiclass_brier,30,0.12048583403963363,0.15700172808386503,0.2,0.8
decision_rule,event_day_open,all_exact_support,matern,market,binary_brier,93,0.0020691753900420507,0.007858148047787089,0.3870967741935484,0.6129032258064516
decision_rule,event_day_open,all_exact_support,matern,market,binary_log,93,0.012979198820305664,0.03442845619650883,0.3548387096774194,0.6451612903225806
decision_rule,event_day_open,all_exact_support,matern,market,categorical_log,93,0.12897725575977642,0.31699042817239337,0.3333333333333333,0.6666666666666666
decision_rule,event_day_open,all_exact_support,matern,market,multiclass_brier,93,0.025431701026148862,0.08382864129328682,0.3870967741935484,0.6129032258064516
