scope_type,scope_value,split,model,benchmark,metric,dates,point_model_minus_market,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_rules,june_external,static,market,binary_log,30,0.038991437932030325,circular_moving_block,5.0,0.023007911148249547,0.05535600590489685,10000,20264004,settlement_date
overall,all_rules,june_external,static,market,categorical_log,30,0.36095380324090753,circular_moving_block,5.0,0.21862013076024361,0.5042494639295062,10000,20264004,settlement_date
overall,all_rules,june_external,static,market,multiclass_brier,30,0.10248691035014203,circular_moving_block,5.0,0.04728852558645328,0.16446030600231315,10000,20264004,settlement_date
overall,all_rules,june_external,static,market,binary_brier,30,0.009394532514078728,circular_moving_block,7.0,0.005173812722752751,0.014900226118484516,10000,20264104,settlement_date
overall,all_rules,june_external,static,market,binary_log,30,0.038991437932030325,circular_moving_block,7.0,0.02444392097647702,0.05491023398420396,10000,20264104,settlement_date
overall,all_rules,june_external,static,market,categorical_log,30,0.36095380324090753,circular_moving_block,7.0,0.22766767751178152,0.4982291812211956,10000,20264104,settlement_date
overall,all_rules,june_external,static,market,multiclass_brier,30,0.10248691035014203,circular_moving_block,7.0,0.05658855391751632,0.16245039635559094,10000,20264104,settlement_date
overall,all_rules,development,matern,market,binary_brier,67,-0.0013141947974580096,ordinary_date,,-0.006209480506108217,0.003595766186401844,10000,20264804,settlement_date
overall,all_rules,development,matern,market,binary_log,67,-0.003072975872176805,ordinary_date,,-0.0201673664383196,0.013253159247554781,10000,20264804,settlement_date
overall,all_rules,development,matern,market,categorical_log,67,-0.0182089957262825,ordinary_date,,-0.16976039422407208,0.12678415003052512,10000,20264804,settlement_date
overall,all_rules,development,matern,market,multiclass_brier,67,-0.012703294182961586,ordinary_date,,-0.06538265942397341,0.04022917697836739,10000,20264804,settlement_date
overall,all_rules,development,matern,market,binary_brier,67,-0.0013141947974580096,circular_moving_block,3.0,-0.006459228442870209,0.00360031863668713,10000,20264904,settlement_date
overall,all_rules,development,matern,market,binary_log,67,-0.003072975872176805,circular_moving_block,3.0,-0.022841203374668474,0.01487627405412214,10000,20264904,settlement_date
overall,all_rules,development,matern,market,categorical_log,67,-0.0182089957262825,circular_moving_block,3.0,-0.19727121671392883,0.14133113429605268,10000,20264904,settlement_date
overall,all_rules,development,matern,market,multiclass_brier,67,-0.012703294182961586,circular_moving_block,3.0,-0.06916895426501678,0.0407154817640137,10000,20264904,settlement_date
