transition,split,metric,dates,mean,median,q10,q90
24h_to_12h,all_exact_support,event_sign_alignment_fraction,77,0.5419126328217237,0.5454545454545454,0.2727272727272727,0.8181818181818182
24h_to_12h,all_exact_support,realised_probability_change_market,77,0.0156710515981659,0.02133814376025872,-0.04728758756178264,0.09080307432573566
24h_to_12h,all_exact_support,realised_probability_change_matern,77,0.008129736001612958,0.00442837507170149,-0.04792249050044696,0.0912076723408382
24h_to_12h,all_exact_support,market_movement_towards_updated_matern,77,-0.009315976082329314,-0.009150486782065759,-0.08910089801799688,0.052887065221518446
12h_to_6h,development,market_update_total_variation,57,0.14870514970311058,0.13175429270765088,0.05495154991375517,0.2573948472427106
12h_to_6h,development,matern_update_total_variation,57,0.10553690050831743,0.07105822044647912,0.024384204822328028,0.23444710289397855
12h_to_6h,development,update_cosine_similarity,57,-0.04795920561777957,-0.04533102718181145,-0.6814502707437061,0.6381288060448069
12h_to_6h,development,event_sign_alignment_fraction,57,0.5311004784688995,0.5454545454545454,0.2727272727272727,0.7636363636363636
12h_to_6h,development,realised_probability_change_market,57,0.023903998989599398,0.013532477947072977,-0.08853106219631997,0.12626830622250812
12h_to_6h,development,realised_probability_change_matern,57,0.008815243669950757,0.005868249044268498,-0.056361493385473534,0.07974495488224087
12h_to_6h,development,market_movement_towards_updated_matern,57,-0.054241821889450544,-0.05000375562936177,-0.16090125702753166,0.05121470726871092
12h_to_6h,june_external,market_update_total_variation,27,0.11779263641542474,0.11654831493271742,0.04707712982811818,0.19458549054681004
12h_to_6h,june_external,matern_update_total_variation,27,0.12057752744773388,0.10466837812140356,0.029891499396531837,0.265163237697364
12h_to_6h,june_external,update_cosine_similarity,27,0.0647230959709749,0.06541799804650067,-0.5895699839133175,0.7270418370825923
12h_to_6h,june_external,event_sign_alignment_fraction,27,0.5925925925925926,0.6363636363636364,0.36363636363636365,0.8181818181818182
12h_to_6h,june_external,realised_probability_change_market,27,0.0345041983731717,0.0344861622395255,-0.03552677540468517,0.09976181381128245
12h_to_6h,june_external,realised_probability_change_matern,27,-0.0005946490056650585,-0.0006363942791605126,-0.053408817307782096,0.036705339405051336
12h_to_6h,june_external,market_movement_towards_updated_matern,27,-0.014861216745967512,-0.011602729716952032,-0.0896442892577513,0.06834004194939848
12h_to_6h,all_exact_support,market_update_total_variation,84,0.13876898471778296,0.12137447543767191,0.05122821767320437,0.22583947932485926
12h_to_6h,all_exact_support,matern_update_total_variation,84,0.11037138773884413,0.07208028257649957,0.026903164826829203,0.24051153844311926
12h_to_6h,all_exact_support,update_cosine_similarity,84,-0.011739894392822778,-0.017466880599676392,-0.6584139171426865,0.7118518023515128
12h_to_6h,all_exact_support,event_sign_alignment_fraction,84,0.5508658008658008,0.5454545454545454,0.2727272727272727,0.8181818181818182
12h_to_6h,all_exact_support,realised_probability_change_market,84,0.027311205934319068,0.02201484037499865,-0.08187915171003328,0.12074994513441559
12h_to_6h,all_exact_support,realised_probability_change_matern,84,0.0057906353099313876,0.003915725431271347,-0.05448225939536869,0.06442286838460885
12h_to_6h,all_exact_support,market_movement_towards_updated_matern,84,-0.04158377023618814,-0.0412929553633523,-0.15586113927665754,0.05506865443324039
6h_to_open,development,market_update_total_variation,56,0.1112567835512818,0.10261162904888213,0.03087755619552641,0.18569087976883364
6h_to_open,development,matern_update_total_variation,56,0.12297530476679673,0.10101287284587224,0.034840875057266234,0.25544971552576234
6h_to_open,development,update_cosine_similarity,56,0.012164909271714217,0.13963944629835762,-0.7505372123469325,0.5629404856386249
6h_to_open,development,event_sign_alignment_fraction,56,0.5649350649350648,0.5454545454545454,0.2727272727272727,0.8181818181818182
6h_to_open,development,realised_probability_change_market,56,0.02251128926691472,0.011650471123202222,-0.030390628189967656,0.09678851608493735
6h_to_open,development,realised_probability_change_matern,56,0.018543250875128505,0.022441318329957355,-0.0653287430798403,0.0806539956962676
6h_to_open,development,market_movement_towards_updated_matern,56,-0.03522506992213771,-0.021652307462718207,-0.13824048388660132,0.03836799327047877
6h_to_open,june_external,market_update_total_variation,29,0.0926391071514438,0.08289798873788967,0.049557577641755265,0.15026597466996092
6h_to_open,june_external,matern_update_total_variation,29,0.15171024930816787,0.1070401565334889,0.05263886335855917,0.344055653221496
