scope_type,scope_value,split,metric,dates,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed
decision_rule,24h_prior,development,total_variation_market_matern,55,0.2507444097260465,circular_moving_block,5.0,0.22088115967669236,0.2822705173628993,10000,20464004
decision_rule,24h_prior,development,expected_rank_market_minus_matern,55,0.378587695537658,circular_moving_block,5.0,0.22088589151809634,0.5422682034572931,10000,20464004
decision_rule,24h_prior,development,modal_disagreement,55,0.6363636363636364,circular_moving_block,5.0,0.509090909090909,0.7636363636363637,10000,20464004
decision_rule,24h_prior,development,realised_event_probability_market_minus_matern,55,0.014234417035642535,circular_moving_block,5.0,-0.014340830196064256,0.042644954226909004,10000,20464004
decision_rule,24h_prior,development,categorical_log_matern_minus_market,55,0.011153015313076718,circular_moving_block,5.0,-0.12639645516731157,0.14654682258350457,10000,20464004
decision_rule,24h_prior,development,multiclass_brier_winner_component_matern_minus_market,55,0.023320424596022085,circular_moving_block,5.0,-0.01754954267933668,0.0636418042365107,10000,20464004
decision_rule,24h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,55,-0.03311136177747872,circular_moving_block,5.0,-0.04372246460489745,-0.021946635164178583,10000,20464004
decision_rule,24h_prior,development,multiclass_brier_total_matern_minus_market,55,-0.009790937181456643,circular_moving_block,5.0,-0.05296810448270897,0.03181241295663177,10000,20464004
decision_rule,24h_prior,development,total_variation_market_matern,55,0.2507444097260465,circular_moving_block,7.0,0.22085490206882685,0.2796323455807321,10000,20464104
decision_rule,24h_prior,development,expected_rank_market_minus_matern,55,0.378587695537658,circular_moving_block,7.0,0.21430536001859352,0.5470961751519431,10000,20464104
decision_rule,24h_prior,development,modal_disagreement,55,0.6363636363636364,circular_moving_block,7.0,0.5272727272727272,0.7454545454545455,10000,20464104
decision_rule,24h_prior,development,realised_event_probability_market_minus_matern,55,0.014234417035642535,circular_moving_block,7.0,-0.015614451584857223,0.043946672317559915,10000,20464104
