event_date,raw_target_available,raw_market_id,raw_event_rank,raw_group_item_title,raw_probability_gap,raw_trade,raw_gross_pnl,raw_net_pnl,static_target_available,static_market_id,static_event_rank,static_group_item_title,static_probability_gap,static_trade,static_gross_pnl,static_net_pnl,selected_gp_target_available,selected_gp_market_id,selected_gp_event_rank,selected_gp_group_item_title,selected_gp_probability_gap,selected_gp_trade,selected_gp_gross_pnl,selected_gp_net_pnl
2026-08-14,True,3533870,3,29°C,0.9400000000,True,-0.0600000000,-0.0700000000,True,3533870,3,29°C,0.0811863778,False,0.0000000000,0.0000000000,True,3533870,3,29°C,0.0754766147,False,0.0000000000,0.0000000000
2026-08-15,True,3558118,3,30°C,0.8850000000,True,-0.1150000000,-0.1250000000,True,3558118,3,30°C,0.0450675003,False,0.0000000000,0.0000000000,True,3558117,2,29°C,0.0415704592,False,0.0000000000,0.0000000000
2026-08-16,True,3577376,4,31°C,0.8850000000,True,-0.1150000000,-0.1250000000,True,3577376,4,31°C,0.0636591004,False,0.0000000000,0.0000000000,True,3577375,3,30°C,0.0618199764,False,0.0000000000,0.0000000000
2026-08-18,True,3624120,2,28°C,0.9960000000,True,-0.0040000000,-0.0140000000,True,3624121,3,29°C,0.1820635633,True,-0.0500000000,-0.0600000000,True,3624121,3,29°C,0.1731319383,True,-0.0500000000,-0.0600000000
2026-08-19,True,3655312,2,28°C,0.9935000000,True,-0.0065000000,-0.0165000000,True,3655313,3,29°C,0.1770635633,True,-0.0550000000,-0.0650000000,True,3655313,3,29°C,0.1681454357,True,-0.0550000000,-0.0650000000
2026-08-20,True,3688964,1,28°C,0.9955000000,True,-0.0045000000,-0.0145000000,True,3688965,2,29°C,0.1921632786,True,0.9550000000,0.9450000000,True,3688965,2,29°C,0.1834343423,True,0.9550000000,0.9450000000
2026-08-21,True,3715078,4,28°C,0.9050000000,True,-0.0950000000,-0.1050000000,True,3715077,3,27°C,0.0480285308,False,0.0000000000,0.0000000000,True,3715077,3,27°C,0.0467141152,False,0.0000000000,0.0000000000
2026-08-22,True,3736489,5,30°C,0.7950000000,True,-0.2050000000,-0.2150000000,True,3736492,8,33°C,0.0768722896,False,0.0000000000,0.0000000000,True,3736492,8,33°C,0.0821186277,False,0.0000000000,0.0000000000
2026-08-23,True,3756854,4,29°C,0.9350000000,True,-0.0650000000,-0.0750000000,True,3756854,4,29°C,0.0856248394,False,0.0000000000,0.0000000000,True,3756854,4,29°C,0.0795199192,False,0.0000000000,0.0000000000
2026-08-24,True,3774048,5,29°C,0.8250000000,True,-0.1750000000,-0.1850000000,True,3774051,8,32°C,0.0518722896,False,0.0000000000,0.0000000000,True,3774051,8,32°C,0.0578269057,False,0.0000000000,0.0000000000
2026-08-25,True,3795037,5,30°C,0.7550000000,True,-0.2450000000,-0.2550000000,True,3795040,8,33°C,0.1283108725,False,0.0000000000,0.0000000000,True,3795040,8,33°C,0.1304774523,False,0.0000000000,0.0000000000
2026-08-26,True,3831610,5,29°C,0.8650000000,True,0.8650000000,0.8550000000,True,3831609,4,28°C,0.0748098646,False,0.0000000000,0.0000000000,True,3831609,4,28°C,0.0710706007,False,0.0000000000,0.0000000000
2026-08-27,True,3867633,5,29°C,0.8900000000,True,0.8900000000,0.8800000000,True,3867633,5,29°C,0.0863178341,False,0.0000000000,0.0000000000,True,3867632,4,28°C,0.0811429590,False,0.0000000000,0.0000000000
2026-08-28,True,3897551,6,31°C,0.7700000000,True,-0.2300000000,-0.2400000000,True,3897555,10,35°C or higher,0.0511085703,False,0.0000000000,0.0000000000,True,3897555,10,35°C or higher,0.0601488833,False,0.0000000000,0.0000000000
2026-08-29,True,3926415,3,32°C,0.7150000000,True,0.7150000000,0.7050000000,True,3926418,6,35°C,0.0547557527,False,0.0000000000,0.0000000000,True,3926418,6,35°C,0.0590495129,False,0.0000000000,0.0000000000
2026-08-30,True,3945551,3,29°C,0.8100000000,True,-0.1900000000,-0.2000000000,True,3945550,2,28°C,0.0535785876,False,0.0000000000,0.0000000000,True,3945550,2,28°C,0.0496853703,False,0.0000000000,0.0000000000
2026-08-31,True,3967471,5,29°C,0.7050000000,True,0.7050000000,0.6950000000,True,3967474,8,32°C,0.0597557527,False,0.0000000000,0.0000000000,True,3967474,8,32°C,0.0666989028,False,0.0000000000,0.0000000000
