threshold,eligible_dates,trade_count,trade_rate,total_net_pnl,mean_daily_pnl,sample_sd_daily_pnl,se_mean_daily_pnl,sample_sharpe,threshold_eligible,decision_rule
0.1600000000,90,9,0.1000000000,1.8810000000,0.0209000000,0.1755200651,0.0185014394,0.1190747051,False,24h_prior
0.1700000000,90,6,0.0666666667,1.0545000000,0.0117166667,0.1467517021,0.0154689876,0.0798400734,False,24h_prior
0.1800000000,90,5,0.0555555556,0.1320000000,0.0014666667,0.1100492688,0.0116002115,0.0133273640,False,24h_prior
0.1900000000,90,4,0.0444444444,0.1775000000,0.0019722222,0.1099355368,0.0115882231,0.0179398062,False,24h_prior
0.2000000000,90,2,0.0222222222,-0.6750000000,-0.0075000000,0.0541079342,0.0057034770,-0.1386118342,False,24h_prior
0.2100000000,90,1,0.0111111111,-0.2000000000,-0.0022222222,0.0210818511,0.0022222222,-0.1054092553,False,24h_prior
0.2200000000,90,1,0.0111111111,-0.2000000000,-0.0022222222,0.0210818511,0.0022222222,-0.1054092553,False,24h_prior
0.2300000000,90,1,0.0111111111,-0.2000000000,-0.0022222222,0.0210818511,0.0022222222,-0.1054092553,False,24h_prior
0.2400000000,90,1,0.0111111111,-0.2000000000,-0.0022222222,0.0210818511,0.0022222222,-0.1054092553,False,24h_prior
0.2500000000,90,1,0.0111111111,-0.2000000000,-0.0022222222,0.0210818511,0.0022222222,-0.1054092553,False,24h_prior
0.0000000000,98,98,1.0000000000,3.0785000000,0.0314132653,0.2881132190,0.0291038301,0.1090309755,True,12h_prior
0.0100000000,98,98,1.0000000000,3.0785000000,0.0314132653,0.2881132190,0.0291038301,0.1090309755,True,12h_prior
0.0200000000,98,97,0.9897959184,2.8385000000,0.0289642857,0.2873409130,0.0290258154,0.1008011195,True,12h_prior
0.0300000000,98,96,0.9795918367,2.8700000000,0.0292857143,0.2872901924,0.0290206919,0.1019377447,True,12h_prior
0.0400000000,98,94,0.9591836735,3.1350000000,0.0319897959,0.2862681226,0.0289174473,0.1117476708,True,12h_prior
0.0500000000,98,91,0.9285714286,2.9600000000,0.0302040816,0.2834681098,0.0286346032,0.1065519563,True,12h_prior
0.0600000000,98,83,0.8469387755,2.7075000000,0.0276275510,0.2646737859,0.0267360898,0.1043834051,True,12h_prior
0.0700000000,98,79,0.8061224490,2.9500000000,0.0301020408,0.2639882647,0.0266668417,0.1140279506,True,12h_prior
0.0800000000,98,74,0.7551020408,3.3300000000,0.0339795918,0.2628221530,0.0265490467,0.1292873962,True,12h_prior
0.0900000000,98,62,0.6326530612,3.9890000000,0.0407040816,0.2607970321,0.0263444786,0.1560757088,True,12h_prior
0.1000000000,98,50,0.5102040816,3.8640000000,0.0394285714,0.2418148734,0.0244269910,0.1630527142,True,12h_prior
0.1100000000,98,46,0.4693877551,3.2095000000,0.0327500000,0.2259107712,0.0228204340,0.1449687406,True,12h_prior
0.1200000000,98,40,0.4081632653,1.4090000000,0.0143775510,0.1891960346,0.0191116856,0.0759928772,True,12h_prior
0.1300000000,98,35,0.3571428571,0.9650000000,0.0098469388,0.1702939758,0.0172022893,0.0578231774,True,12h_prior
0.1400000000,98,27,0.2755102041,1.5250000000,0.0155612245,0.1684689586,0.0170179347,0.0923684969,True,12h_prior
0.1500000000,98,23,0.2346938776,0.8115000000,0.0082806122,0.1373909139,0.0138785781,0.0602704503,True,12h_prior
0.1600000000,98,17,0.1734693878,1.1350000000,0.0115816327,0.1364505442,0.0137835864,0.0848778781,True,12h_prior
0.1700000000,98,12,0.1224489796,1.4525000000,0.0148214286,0.1353152152,0.0136689009,0.1095326091,True,12h_prior
0.1800000000,98,7,0.0714285714,1.7215000000,0.0175663265,0.1343187975,0.0135682475,0.1307808501,False,12h_prior
0.1900000000,98,6,0.0612244898,0.7865000000,0.0080255102,0.0963098889,0.0097287679,0.0833300743,False,12h_prior
0.2000000000,98,3,0.0306122449,-0.0970000000,-0.0009897959,0.0056509189,0.0005708290,-0.1751566311,False,12h_prior
0.2100000000,98,1,0.0102040816,-0.0295000000,-0.0003010204,0.0029799500,0.0003010204,-0.1010152545,False,12h_prior
0.2200000000,98,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,False,12h_prior
0.2300000000,98,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,False,12h_prior
0.2400000000,98,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,False,12h_prior
0.2500000000,98,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,False,12h_prior
0.0000000000,100,100,1.0000000000,3.3325000000,0.0333250000,0.3021141531,0.0302114153,0.1103059875,True,6h_prior
0.0100000000,100,100,1.0000000000,3.3325000000,0.0333250000,0.3021141531,0.0302114153,0.1103059875,True,6h_prior
0.0200000000,100,100,1.0000000000,3.3325000000,0.0333250000,0.3021141531,0.0302114153,0.1103059875,True,6h_prior
0.0300000000,100,98,0.9800000000,3.4170000000,0.0341700000,0.3019568102,0.0301956810,0.1131618789,True,6h_prior
0.0400000000,100,96,0.9600000000,3.5625000000,0.0356250000,0.3015923764,0.0301592376,0.1181230124,True,6h_prior
0.0500000000,100,92,0.9200000000,1.8995000000,0.0189950000,0.2738459024,0.0273845902,0.0693638277,True,6h_prior
0.0600000000,100,90,0.9000000000,1.9945000000,0.0199450000,0.2736855445,0.0273685544,0.0728756063,True,6h_prior
0.0700000000,100,85,0.8500000000,2.4045000000,0.0240450000,0.2725149620,0.0272514962,0.0882336875,True,6h_prior
0.0800000000,100,81,0.8100000000,1.8295000000,0.0182950000,0.2601436384,0.0260143638,0.0703265323,True,6h_prior
0.0900000000,100,76,0.7600000000,2.4240000000,0.0242400000,0.2573248005,0.0257324800,0.0942000148,True,6h_prior
0.1000000000,100,71,0.7100000000,0.7710000000,0.0077100000,0.2246599021,0.0224659902,0.0343185407,True,6h_prior
0.1100000000,100,62,0.6200000000,0.4275000000,0.0042750000,0.2038403313,0.0203840331,0.0209722971,True,6h_prior
0.1200000000,100,51,0.5100000000,0.7940000000,0.0079400000,0.2010986401,0.0201098640,0.0394831114,True,6h_prior
0.1300000000,100,42,0.4200000000,0.4490000000,0.0044900000,0.1743225702,0.0174322570,0.0257568483,True,6h_prior
0.1400000000,100,35,0.3500000000,1.0650000000,0.0106500000,0.1721780776,0.0172178078,0.0618545645,True,6h_prior
0.1500000000,100,33,0.3300000000,1.2750000000,0.0127500000,0.1713322648,0.0171332265,0.0744168065,True,6h_prior
0.1600000000,100,28,0.2800000000,0.6790000000,0.0067900000,0.1454013634,0.0145401363,0.0466983242,True,6h_prior
0.1700000000,100,24,0.2400000000,1.0030000000,0.0100300000,0.1441873224,0.0144187322,0.0695622877,True,6h_prior
0.1800000000,100,18,0.1800000000,1.4035000000,0.0140350000,0.1428316494,0.0142831649,0.0982625353,True,6h_prior
0.1900000000,100,12,0.1200000000,0.7260000000,0.0072600000,0.1089361429,0.0108936143,0.0666445480,True,6h_prior
0.2000000000,100,8,0.0800000000,-0.0485000000,-0.0004850000,0.0590897475,0.0059089747,-0.0082078537,False,6h_prior
0.2100000000,100,7,0.0700000000,0.0115000000,0.0001150000,0.0587831512,0.0058783151,0.0019563429,False,6h_prior
0.2200000000,100,6,0.0600000000,0.0515000000,0.0005150000,0.0586433517,0.0058643352,0.0087818991,False,6h_prior
0.2300000000,100,5,0.0500000000,0.0870000000,0.0008700000,0.0585304729,0.0058530473,0.0148640521,False,6h_prior
0.2400000000,100,5,0.0500000000,0.0870000000,0.0008700000,0.0585304729,0.0058530473,0.0148640521,False,6h_prior
0.2500000000,100,5,0.0500000000,0.0870000000,0.0008700000,0.0585304729,0.0058530473,0.0148640521,False,6h_prior
0.0000000000,101,101,1.0000000000,3.7670000000,0.0372970297,0.2838097354,0.0282401242,0.1314156107,True,event_day_open
0.0100000000,101,101,1.0000000000,3.7670000000,0.0372970297,0.2838097354,0.0282401242,0.1314156107,True,event_day_open
0.0200000000,101,100,0.9900990099,3.8090000000,0.0377128713,0.2837231428,0.0282315079,0.1329213786,True,event_day_open
0.0300000000,101,100,0.9900990099,3.8090000000,0.0377128713,0.2837231428,0.0282315079,0.1329213786,True,event_day_open
0.0400000000,101,99,0.9801980198,3.9490000000,0.0390990099,0.2831877206,0.0281782314,0.1380674622,True,event_day_open
0.0500000000,101,95,0.9405940594,3.7550000000,0.0371782178,0.2801358205,0.0278745560,0.1327149729,True,event_day_open
0.0600000000,101,94,0.9306930693,2.8240000000,0.0279603960,0.2653580758,0.0264041154,0.1053685513,True,event_day_open
0.0700000000,101,90,0.8910891089,2.1945000000,0.0217277228,0.2542347195,0.0252973001,0.0854632397,True,event_day_open
0.0800000000,101,84,0.8316831683,0.6085000000,0.0060247525,0.2194732373,0.0218384033,0.0274509665,True,event_day_open
0.0900000000,101,79,0.7821782178,1.0185000000,0.0100841584,0.2182231206,0.0217140121,0.0462103117,True,event_day_open
0.1000000000,101,73,0.7227722772,0.5525000000,0.0054702970,0.1996364924,0.0198645734,0.0274012880,True,event_day_open
0.1100000000,101,65,0.6435643564,0.0985000000,0.0009752475,0.1804416440,0.0179546146,0.0054047808,True,event_day_open
0.1200000000,101,57,0.5643564356,-0.4000000000,-0.0039603960,0.1517630997,0.0151009928,-0.0260959090,True,event_day_open
0.1300000000,101,48,0.4752475248,-1.0275000000,-0.0101732673,0.1185424910,0.0117954187,-0.0858195845,True,event_day_open
0.1400000000,101,43,0.4257425743,-0.7670000000,-0.0075940594,0.1180308162,0.0117445052,-0.0643396331,True,event_day_open
0.1500000000,101,41,0.4059405941,-0.6990000000,-0.0069207921,0.1179716223,0.0117386152,-0.0586648886,True,event_day_open
0.1600000000,101,37,0.3663366337,-0.3845000000,-0.0038069307,0.1169176627,0.0116337423,-0.0325607834,True,event_day_open
0.1700000000,101,29,0.2871287129,0.0040000000,0.0000396040,0.1160470311,0.0115471112,0.0003412751,True,event_day_open
0.1800000000,101,24,0.2376237624,0.1915000000,0.0018960396,0.1156791104,0.0115105017,0.0163905099,True,event_day_open
0.1900000000,101,18,0.1782178218,0.6195000000,0.0061336634,0.1141522862,0.0113585770,0.0537322866,True,event_day_open
0.2000000000,101,15,0.1485148515,0.7645000000,0.0075693069,0.1137370878,0.0113172632,0.0665509121,True,event_day_open
0.2100000000,101,14,0.1386138614,0.8040000000,0.0079603960,0.1136414907,0.0113077510,0.0700483247,True,event_day_open
0.2200000000,101,8,0.0792079208,1.0120000000,0.0100198020,0.1131237137,0.0112562302,0.0885738423,False,event_day_open
0.2300000000,101,8,0.0792079208,1.0120000000,0.0100198020,0.1131237137,0.0112562302,0.0885738423,False,event_day_open
0.2400000000,101,7,0.0693069307,1.0280000000,0.0101782178,0.1130981119,0.0112536828,0.0899945865,False,event_day_open
0.2500000000,101,6,0.0594059406,1.0430000000,0.0103267327,0.1130745647,0.0112513397,0.0913267515,False,event_day_open
