estimand,estimand_label,chronology_block,decision_rule,settlement_dates,mean_effect,standard_error,median_effect,positive_effect_share,minimum_effect,maximum_effect
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,6h_prior,29,-0.3340603903989712,0.07731257345487826,-0.2820798757868248,0.1724137931034483,-1.2362566817687297,0.4852560358360418
model_minus_market_log_score_improvement,Market minus model categorical log score,external_test,event_day_open,30,-0.40796321411820313,0.15123836439295357,-0.3355069417946948,0.26666666666666666,-4.052901273141993,0.7525459662708598
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,24h_prior,10,-0.006625576402332217,0.04829871899116091,0.04048742387987292,0.7,-0.32040490535736155,0.17742866079671787
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,12h_prior,10,0.03430511865997943,0.06494134968792832,-0.037153426664771755,0.5,-0.17069374080335176,0.4308292412663275
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,6h_prior,10,0.0032666094649446364,0.09560265601071362,-0.1429900583393775,0.4,-0.26620956064196655,0.5407308596165737
model_minus_market_brier_improvement,Market minus model multiclass Brier score,holdout,event_day_open,10,-0.027823585657557083,0.0821870760134618,-0.10045439435001208,0.3,-0.2897428870512525,0.5090350628759478
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,24h_prior,27,-0.07309815988420304,0.03466903697777912,-0.11649134953348306,0.25925925925925924,-0.3846474242498946,0.3276140397411924
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,12h_prior,28,-0.029879770460414307,0.03680195064089614,-0.07946514601022886,0.32142857142857145,-0.37105001981462726,0.4593206973644651
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,6h_prior,29,-0.11224010895997252,0.03552189525677884,-0.0765786388387733,0.3103448275862069,-0.44926369015599776,0.2854949588905358
model_minus_market_brier_improvement,Market minus model multiclass Brier score,external_test,event_day_open,30,-0.09114573235708373,0.03766424019073058,-0.1466267384991487,0.3,-0.41814951187842947,0.4198251235670545
trading_net_payoff,Locked strategy net payoff,holdout,24h_prior,10,0.05645,0.0769649433183706,0.0,0.2,-0.325,0.61
trading_net_payoff,Locked strategy net payoff,external_test,24h_prior,30,-0.019366666666666664,0.04753676697630359,-0.09499999999999995,0.1,-0.24,0.86
