stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,probability_books,119,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,raw_zero_probability_books,1,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,standard_error_date_brier_difference,0.000239026053558,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,standard_error_date_regularised_brier_score,0.0299566052127,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,0,external_test,,,standard_error_date_regularised_log_score,0.0984316671196,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,dates,10,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,mean_date_brier_difference_regularised_minus_raw,0.0010899107234,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,mean_date_raw_brier_score,0.583215998368,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,mean_date_regularised_brier_score,0.584305909091,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,mean_date_regularised_log_score,1.14071367168,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,probability_books,40,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,raw_zero_probability_books,0,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,standard_error_date_brier_difference,0.000365707389113,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,standard_error_date_regularised_brier_score,0.079240612851,
10_categorical_block_summary,final_table,outputs/final_tables/10_locked_categorical_block_summary.csv,1,holdout,,,standard_error_date_regularised_log_score,0.146419955679,
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,continuous_calibration_reselected,0,False
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,evaluation_dates,40,40
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,external_test_dates,30,30
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,external_test_probability_books,119,119
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,holdout_dates,10,10
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,holdout_probability_books,40,40
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,input_hashes.data/processed/certified_event_books.csv,,58b51e288df864ce359da7c2fb863b935358227c88a192d362a1daca7c489ab1
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,locked_continuous_dispersion_scale,1.25,1.25
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,locked_uniform_mixing_lambda,0.01,0.01
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,model_reselected,0,False
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,probabilities_clipped_for_log_score,0,False
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,probability_books,159,159
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,probability_calibration_reselected,0,False
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,probability_rows,1749,1749
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,selected_family,,empirical_residual
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,selected_model,,pooled_empirical_residual
10_categorical_evaluation,manifest,data/manifests/10_categorical_evaluation_manifest.json,,,,,trading_returns_calculated,0,False
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,common_support_dates,40,40
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,common_support_probability_books,154,154
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,common_support_probability_rows,1694,1694
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,continuous_calibration_reselected,0,False
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,locked_continuous_dispersion_scale,1.25,1.25
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,locked_uniform_mixing_lambda,0.01,0.01
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,market_only_books,1,1
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,market_probability_books_available,155,155
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,model_only_books,5,5
