strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score,dates,total_net_pnl,mean_daily_net_pnl,daily_pnl_sd,sharpe,opportunity_annualised_sharpe,probabilistic_sharpe_vs_zero,maximum_drawdown,expected_shortfall_5pct,positive_date_fraction,active_dates,position_count,mean_positions_per_active_date,total_entry_cash,return_on_entry_cash,profit_factor_date_level,gross_pnl_before_cost,break_even_cost_per_position,threshold_distance,top_k_distance
S040526,matern,24h_prior,none,short_only,1,one_share,edge,0.09,robust_0.10c,includes_synthetic_short_yes,1,97,5.919999999999999,0.061030927835051534,0.3931191627443751,0.15524790857050325,2.9660071286433376,0.920502242664146,3.94,-0.6880000000000001,0.5670103092783505,75,75,1.0,49.08,0.12061939690301547,1.4559106661532535,6.669999999999999,0.08893333333333332,0.11000000000000001,0
S041066,matern,24h_prior,none,short_only,2,one_share,edge,0.09,robust_0.10c,includes_synthetic_short_yes,2,97,3.4699999999999993,0.03577319587628865,0.41355883058808973,0.0865008633122847,1.6525966731559925,0.7986847352510804,3.8400000000000003,-0.6614285714285714,0.44329896907216493,75,109,1.4533333333333334,73.53,0.04719162246702025,1.2317195325542567,4.56,0.041834862385321095,0.11000000000000001,1
S041606,matern,24h_prior,none,short_only,3,one_share,edge,0.09,robust_0.10c,includes_synthetic_short_yes,2,97,3.1749999999999994,0.03273195876288659,0.41403755152421257,0.07905553165984379,1.5103538116605346,0.7785105897468626,3.8400000000000003,-0.6614285714285714,0.4329896907216495,75,112,1.4933333333333334,75.825,0.041872733267392014,1.2112441783100467,4.295,0.038348214285714284,0.11000000000000001,2
S042146,matern,24h_prior,none,short_only,5,one_share,edge,0.09,robust_0.10c,includes_synthetic_short_yes,2,97,3.1749999999999994,0.03273195876288659,0.41403755152421257,0.07905553165984379,1.5103538116605346,0.7785105897468626,3.8400000000000003,-0.6614285714285714,0.4329896907216495,75,112,1.4933333333333334,75.825,0.041872733267392014,1.2112441783100467,4.295,0.038348214285714284,0.11000000000000001,4
S042686,matern,24h_prior,none,short_only,11,one_share,edge,0.09,robust_0.10c,includes_synthetic_short_yes,2,97,3.1749999999999994,0.03273195876288659,0.41403755152421257,0.07905553165984379,1.5103538116605346,0.7785105897468626,3.8400000000000003,-0.6614285714285714,0.4329896907216495,75,112,1.4933333333333334,75.825,0.041872733267392014,1.2112441783100467,4.295,0.038348214285714284,0.11000000000000001,10
S040523,matern,24h_prior,none,short_only,1,one_share,edge,0.08,robust_0.10c,includes_synthetic_short_yes,1,97,5.469999999999999,0.05639175257731958,0.40093623653220073,0.1406501768587099,2.687117855880353,0.9009931291681071,3.6949999999999985,-0.6891666666666666,0.5773195876288659,77,77,1.0,50.529999999999994,0.10825252325351276,1.3998538011695905,6.239999999999998,0.08103896103896102,0.12000000000000001,0
S041063,matern,24h_prior,none,short_only,2,one_share,edge,0.08,robust_0.10c,includes_synthetic_short_yes,2,97,3.609999999999999,0.03721649484536081,0.4257542137882129,0.08741309807417146,1.6700248938107245,0.8027217293792799,4.299999999999999,-0.6625000000000001,0.4329896907216495,77,120,1.5584415584415585,81.39,0.04435434328541588,1.23155869146889,4.809999999999999,0.040083333333333325,0.12000000000000001,1
S041603,matern,24h_prior,none,short_only,3,one_share,edge,0.08,robust_0.10c,includes_synthetic_short_yes,2,97,3.3149999999999995,0.03417525773195876,0.42622964297208377,0.08018038701779616,1.5318441430994554,0.7831098768331751,4.299999999999999,-0.6625000000000001,0.422680412371134,77,123,1.5974025974025974,83.685,0.03961283384119017,1.211888782358581,4.545,0.03695121951219512,0.12000000000000001,2
S042143,matern,24h_prior,none,short_only,5,one_share,edge,0.08,robust_0.10c,includes_synthetic_short_yes,2,97,3.3149999999999995,0.03417525773195876,0.42622964297208377,0.08018038701779616,1.5318441430994554,0.7831098768331751,4.299999999999999,-0.6625000000000001,0.422680412371134,77,123,1.5974025974025974,83.685,0.03961283384119017,1.211888782358581,4.545,0.03695121951219512,0.12000000000000001,4
S042683,matern,24h_prior,none,short_only,11,one_share,edge,0.08,robust_0.10c,includes_synthetic_short_yes,2,97,3.3149999999999995,0.03417525773195876,0.42622964297208377,0.08018038701779616,1.5318441430994554,0.7831098768331751,4.299999999999999,-0.6625000000000001,0.422680412371134,77,123,1.5974025974025974,83.685,0.03961283384119017,1.211888782358581,4.545,0.03695121951219512,0.12000000000000001,10
S040520,matern,24h_prior,none,short_only,1,one_share,edge,0.07,robust_0.10c,includes_synthetic_short_yes,1,97,5.469999999999999,0.05639175257731958,0.40093623653220073,0.1406501768587099,2.687117855880353,0.9009931291681071,3.6949999999999985,-0.6891666666666666,0.5773195876288659,77,77,1.0,50.529999999999994,0.10825252325351276,1.3998538011695905,6.239999999999998,0.08103896103896102,0.13,0
S041060,matern,24h_prior,none,short_only,2,one_share,edge,0.07,robust_0.10c,includes_synthetic_short_yes,2,97,1.504999999999999,0.015515463917525762,0.42558200623288767,0.036457048677559376,0.6965109370077729,0.63966122131606,4.995,-0.662,0.3917525773195876,77,127,1.6493506493506493,86.495,0.01739984970229492,1.0903903903903902,2.774999999999999,0.021850393700787393,0.13,1
S041600,matern,24h_prior,none,short_only,3,one_share,edge,0.07,robust_0.10c,includes_synthetic_short_yes,2,97,0.7749999999999992,0.007989690721649477,0.4265948383919005,0.018728990607967875,0.3578168631514903,0.5728984140552562,5.705,-0.662,0.3711340206185567,77,133,1.7272727272727273,91.22500000000001,0.00849547821320909,1.045939537640782,2.1049999999999995,0.01582706766917293,0.13,2
S042140,matern,24h_prior,none,short_only,5,one_share,edge,0.07,robust_0.10c,includes_synthetic_short_yes,2,97,0.7749999999999992,0.007989690721649477,0.4265948383919005,0.018728990607967875,0.3578168631514903,0.5728984140552562,5.705,-0.662,0.3711340206185567,77,133,1.7272727272727273,91.22500000000001,0.00849547821320909,1.045939537640782,2.1049999999999995,0.01582706766917293,0.13,4
S042680,matern,24h_prior,none,short_only,11,one_share,edge,0.07,robust_0.10c,includes_synthetic_short_yes,2,97,0.7749999999999992,0.007989690721649477,0.4265948383919005,0.018728990607967875,0.3578168631514903,0.5728984140552562,5.705,-0.662,0.3711340206185567,77,133,1.7272727272727273,91.22500000000001,0.00849547821320909,1.045939537640782,2.1049999999999995,0.01582706766917293,0.13,10
S040517,matern,24h_prior,none,short_only,1,one_share,edge,0.06,robust_0.10c,includes_synthetic_short_yes,1,97,5.319999999999999,0.05484536082474226,0.4100295045330627,0.1337595471018594,2.555472559220018,0.8904329241071139,4.419999999999999,-0.7020000000000001,0.5979381443298969,80,80,1.0,52.68,0.10098709187547456,1.3693162096494271,6.119999999999999,0.07649999999999998,0.14,0
