strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score
S000091,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.01,none,observed_yes_long_only,1
S000092,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.02,none,observed_yes_long_only,1
S000093,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.03,none,observed_yes_long_only,1
S000094,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.04,none,observed_yes_long_only,1
S000095,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.05,none,observed_yes_long_only,1
S000096,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.06,none,observed_yes_long_only,1
S000097,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.07,none,observed_yes_long_only,1
S000098,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.08,none,observed_yes_long_only,1
S000099,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.09,none,observed_yes_long_only,1
S000100,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.1,none,observed_yes_long_only,1
S000101,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.12,none,observed_yes_long_only,1
S000102,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.15,none,observed_yes_long_only,1
S000103,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.18,none,observed_yes_long_only,1
S000104,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.2,none,observed_yes_long_only,1
S000105,raw,24h_prior,none,long_only,1,edge_weighted,edge,0.25,none,observed_yes_long_only,1
S000106,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.01,none,observed_yes_long_only,2
S000107,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.02,none,observed_yes_long_only,2
S000108,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.03,none,observed_yes_long_only,2
S000109,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.04,none,observed_yes_long_only,2
S000110,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.05,none,observed_yes_long_only,2
S000111,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.06,none,observed_yes_long_only,2
S000112,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.07,none,observed_yes_long_only,2
S000113,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.08,none,observed_yes_long_only,2
S000114,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.09,none,observed_yes_long_only,2
S000115,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.1,none,observed_yes_long_only,2
S000116,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.12,none,observed_yes_long_only,2
S000117,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.15,none,observed_yes_long_only,2
S000118,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.18,none,observed_yes_long_only,2
S000119,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.2,none,observed_yes_long_only,2
S000120,raw,24h_prior,none,long_only,1,edge_weighted,roi,0.25,none,observed_yes_long_only,2
S000121,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.01,none,observed_yes_long_only,2
S000122,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.02,none,observed_yes_long_only,2
S000123,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.03,none,observed_yes_long_only,2
S000124,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.04,none,observed_yes_long_only,2
S000125,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.05,none,observed_yes_long_only,2
S000126,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.06,none,observed_yes_long_only,2
S000127,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.07,none,observed_yes_long_only,2
S000128,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.08,none,observed_yes_long_only,2
S000129,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.09,none,observed_yes_long_only,2
S000130,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.1,none,observed_yes_long_only,2
S000131,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.12,none,observed_yes_long_only,2
S000132,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.15,none,observed_yes_long_only,2
S000133,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.18,none,observed_yes_long_only,2
S000134,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.2,none,observed_yes_long_only,2
S000135,raw,24h_prior,none,long_only,1,edge_weighted,logit_gap,0.25,none,observed_yes_long_only,2
S000136,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.01,none,observed_yes_long_only,1
S000137,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.02,none,observed_yes_long_only,1
S000138,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.03,none,observed_yes_long_only,1
S000139,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.04,none,observed_yes_long_only,1
S000140,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.05,none,observed_yes_long_only,1
S000141,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.06,none,observed_yes_long_only,1
S000142,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.07,none,observed_yes_long_only,1
S000143,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.08,none,observed_yes_long_only,1
S000144,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.09,none,observed_yes_long_only,1
S000145,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.1,none,observed_yes_long_only,1
S000146,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.12,none,observed_yes_long_only,1
S000147,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.15,none,observed_yes_long_only,1
S000148,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.18,none,observed_yes_long_only,1
S000149,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.2,none,observed_yes_long_only,1
S000150,raw,24h_prior,none,long_only,1,quarter_kelly,edge,0.25,none,observed_yes_long_only,1
S000151,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.01,none,observed_yes_long_only,2
S000152,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.02,none,observed_yes_long_only,2
S000153,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.03,none,observed_yes_long_only,2
S000154,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.04,none,observed_yes_long_only,2
S000155,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.05,none,observed_yes_long_only,2
S000156,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.06,none,observed_yes_long_only,2
S000157,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.07,none,observed_yes_long_only,2
S000158,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.08,none,observed_yes_long_only,2
S000159,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.09,none,observed_yes_long_only,2
S000160,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.1,none,observed_yes_long_only,2
S000161,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.12,none,observed_yes_long_only,2
S000162,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.15,none,observed_yes_long_only,2
S000163,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.18,none,observed_yes_long_only,2
S000164,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.2,none,observed_yes_long_only,2
S000165,raw,24h_prior,none,long_only,1,quarter_kelly,roi,0.25,none,observed_yes_long_only,2
S000166,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.01,none,observed_yes_long_only,2
S000167,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.02,none,observed_yes_long_only,2
S000168,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.03,none,observed_yes_long_only,2
S000169,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.04,none,observed_yes_long_only,2
S000170,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.05,none,observed_yes_long_only,2
S000171,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.06,none,observed_yes_long_only,2
S000172,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.07,none,observed_yes_long_only,2
S000173,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.08,none,observed_yes_long_only,2
S000174,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.09,none,observed_yes_long_only,2
S000175,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.1,none,observed_yes_long_only,2
S000176,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.12,none,observed_yes_long_only,2
S000177,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.15,none,observed_yes_long_only,2
S000178,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.18,none,observed_yes_long_only,2
S000179,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.2,none,observed_yes_long_only,2
S000180,raw,24h_prior,none,long_only,1,quarter_kelly,logit_gap,0.25,none,observed_yes_long_only,2
S000181,raw,24h_prior,none,long_only,2,one_share,edge,0.01,none,observed_yes_long_only,1
S000182,raw,24h_prior,none,long_only,2,one_share,edge,0.02,none,observed_yes_long_only,1
S000183,raw,24h_prior,none,long_only,2,one_share,edge,0.03,none,observed_yes_long_only,1
S000184,raw,24h_prior,none,long_only,2,one_share,edge,0.04,none,observed_yes_long_only,1
S000185,raw,24h_prior,none,long_only,2,one_share,edge,0.05,none,observed_yes_long_only,1
S000186,raw,24h_prior,none,long_only,2,one_share,edge,0.06,none,observed_yes_long_only,1
S000187,raw,24h_prior,none,long_only,2,one_share,edge,0.07,none,observed_yes_long_only,1
S000188,raw,24h_prior,none,long_only,2,one_share,edge,0.08,none,observed_yes_long_only,1
S000189,raw,24h_prior,none,long_only,2,one_share,edge,0.09,none,observed_yes_long_only,1
S000190,raw,24h_prior,none,long_only,2,one_share,edge,0.1,none,observed_yes_long_only,1
S000191,raw,24h_prior,none,long_only,2,one_share,edge,0.12,none,observed_yes_long_only,1
S000192,raw,24h_prior,none,long_only,2,one_share,edge,0.15,none,observed_yes_long_only,1
S000193,raw,24h_prior,none,long_only,2,one_share,edge,0.18,none,observed_yes_long_only,1
S000194,raw,24h_prior,none,long_only,2,one_share,edge,0.2,none,observed_yes_long_only,1
S000195,raw,24h_prior,none,long_only,2,one_share,edge,0.25,none,observed_yes_long_only,1
S000196,raw,24h_prior,none,long_only,2,one_share,roi,0.01,none,observed_yes_long_only,2
S000197,raw,24h_prior,none,long_only,2,one_share,roi,0.02,none,observed_yes_long_only,2
S000198,raw,24h_prior,none,long_only,2,one_share,roi,0.03,none,observed_yes_long_only,2
S000199,raw,24h_prior,none,long_only,2,one_share,roi,0.04,none,observed_yes_long_only,2
S000200,raw,24h_prior,none,long_only,2,one_share,roi,0.05,none,observed_yes_long_only,2
S000201,raw,24h_prior,none,long_only,2,one_share,roi,0.06,none,observed_yes_long_only,2
S000202,raw,24h_prior,none,long_only,2,one_share,roi,0.07,none,observed_yes_long_only,2
S000203,raw,24h_prior,none,long_only,2,one_share,roi,0.08,none,observed_yes_long_only,2
S000204,raw,24h_prior,none,long_only,2,one_share,roi,0.09,none,observed_yes_long_only,2
S000205,raw,24h_prior,none,long_only,2,one_share,roi,0.1,none,observed_yes_long_only,2
S000206,raw,24h_prior,none,long_only,2,one_share,roi,0.12,none,observed_yes_long_only,2
S000207,raw,24h_prior,none,long_only,2,one_share,roi,0.15,none,observed_yes_long_only,2
S000208,raw,24h_prior,none,long_only,2,one_share,roi,0.18,none,observed_yes_long_only,2
S000209,raw,24h_prior,none,long_only,2,one_share,roi,0.2,none,observed_yes_long_only,2
S000210,raw,24h_prior,none,long_only,2,one_share,roi,0.25,none,observed_yes_long_only,2
S000211,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.01,none,observed_yes_long_only,2
S000212,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.02,none,observed_yes_long_only,2
S000213,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.03,none,observed_yes_long_only,2
S000214,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.04,none,observed_yes_long_only,2
S000215,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.05,none,observed_yes_long_only,2
S000216,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.06,none,observed_yes_long_only,2
S000217,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.07,none,observed_yes_long_only,2
S000218,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.08,none,observed_yes_long_only,2
S000219,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.09,none,observed_yes_long_only,2
S000220,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.1,none,observed_yes_long_only,2
S000221,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.12,none,observed_yes_long_only,2
S000222,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.15,none,observed_yes_long_only,2
S000223,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.18,none,observed_yes_long_only,2
S000224,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.2,none,observed_yes_long_only,2
S000225,raw,24h_prior,none,long_only,2,one_share,logit_gap,0.25,none,observed_yes_long_only,2
S000226,raw,24h_prior,none,long_only,2,equal_budget,edge,0.01,none,observed_yes_long_only,1
S000227,raw,24h_prior,none,long_only,2,equal_budget,edge,0.02,none,observed_yes_long_only,1
S000228,raw,24h_prior,none,long_only,2,equal_budget,edge,0.03,none,observed_yes_long_only,1
S000229,raw,24h_prior,none,long_only,2,equal_budget,edge,0.04,none,observed_yes_long_only,1
S000230,raw,24h_prior,none,long_only,2,equal_budget,edge,0.05,none,observed_yes_long_only,1
S000231,raw,24h_prior,none,long_only,2,equal_budget,edge,0.06,none,observed_yes_long_only,1
S000232,raw,24h_prior,none,long_only,2,equal_budget,edge,0.07,none,observed_yes_long_only,1
S000233,raw,24h_prior,none,long_only,2,equal_budget,edge,0.08,none,observed_yes_long_only,1
S000234,raw,24h_prior,none,long_only,2,equal_budget,edge,0.09,none,observed_yes_long_only,1
S000235,raw,24h_prior,none,long_only,2,equal_budget,edge,0.1,none,observed_yes_long_only,1
S000236,raw,24h_prior,none,long_only,2,equal_budget,edge,0.12,none,observed_yes_long_only,1
S000237,raw,24h_prior,none,long_only,2,equal_budget,edge,0.15,none,observed_yes_long_only,1
S000238,raw,24h_prior,none,long_only,2,equal_budget,edge,0.18,none,observed_yes_long_only,1
S000239,raw,24h_prior,none,long_only,2,equal_budget,edge,0.2,none,observed_yes_long_only,1
S000240,raw,24h_prior,none,long_only,2,equal_budget,edge,0.25,none,observed_yes_long_only,1
S000241,raw,24h_prior,none,long_only,2,equal_budget,roi,0.01,none,observed_yes_long_only,2
S000242,raw,24h_prior,none,long_only,2,equal_budget,roi,0.02,none,observed_yes_long_only,2
S000243,raw,24h_prior,none,long_only,2,equal_budget,roi,0.03,none,observed_yes_long_only,2
S000244,raw,24h_prior,none,long_only,2,equal_budget,roi,0.04,none,observed_yes_long_only,2
S000245,raw,24h_prior,none,long_only,2,equal_budget,roi,0.05,none,observed_yes_long_only,2
S000246,raw,24h_prior,none,long_only,2,equal_budget,roi,0.06,none,observed_yes_long_only,2
S000247,raw,24h_prior,none,long_only,2,equal_budget,roi,0.07,none,observed_yes_long_only,2
S000248,raw,24h_prior,none,long_only,2,equal_budget,roi,0.08,none,observed_yes_long_only,2
S000249,raw,24h_prior,none,long_only,2,equal_budget,roi,0.09,none,observed_yes_long_only,2
S000250,raw,24h_prior,none,long_only,2,equal_budget,roi,0.1,none,observed_yes_long_only,2
S000251,raw,24h_prior,none,long_only,2,equal_budget,roi,0.12,none,observed_yes_long_only,2
S000252,raw,24h_prior,none,long_only,2,equal_budget,roi,0.15,none,observed_yes_long_only,2
S000253,raw,24h_prior,none,long_only,2,equal_budget,roi,0.18,none,observed_yes_long_only,2
S000254,raw,24h_prior,none,long_only,2,equal_budget,roi,0.2,none,observed_yes_long_only,2
S000255,raw,24h_prior,none,long_only,2,equal_budget,roi,0.25,none,observed_yes_long_only,2
S000256,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.01,none,observed_yes_long_only,2
S000257,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.02,none,observed_yes_long_only,2
S000258,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.03,none,observed_yes_long_only,2
S000259,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.04,none,observed_yes_long_only,2
S000260,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.05,none,observed_yes_long_only,2
S000261,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.06,none,observed_yes_long_only,2
S000262,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.07,none,observed_yes_long_only,2
S000263,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.08,none,observed_yes_long_only,2
S000264,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.09,none,observed_yes_long_only,2
S000265,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.1,none,observed_yes_long_only,2
S000266,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.12,none,observed_yes_long_only,2
S000267,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.15,none,observed_yes_long_only,2
S000268,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.18,none,observed_yes_long_only,2
S000269,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.2,none,observed_yes_long_only,2
S000270,raw,24h_prior,none,long_only,2,equal_budget,logit_gap,0.25,none,observed_yes_long_only,2
S000271,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.01,none,observed_yes_long_only,2
S000272,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.02,none,observed_yes_long_only,2
S000273,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.03,none,observed_yes_long_only,2
S000274,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.04,none,observed_yes_long_only,2
S000275,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.05,none,observed_yes_long_only,2
S000276,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.06,none,observed_yes_long_only,2
S000277,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.07,none,observed_yes_long_only,2
S000278,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.08,none,observed_yes_long_only,2
S000279,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.09,none,observed_yes_long_only,2
S000280,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.1,none,observed_yes_long_only,2
S000281,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.12,none,observed_yes_long_only,2
S000282,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.15,none,observed_yes_long_only,2
S000283,raw,24h_prior,none,long_only,2,edge_weighted,edge,0.18,none,observed_yes_long_only,2
