empirical_period,strategy,model,metric,bootstrap_method,observed,ci95_lower,ci95_upper
external_validation,taec11,rbf,sortino,mbb,-0.41676913602095994,-0.5834964769302008,-0.08122363098297829
external_validation,taec11,rbf,empirical_var95_loss,mbb,0.4465,0.321,0.6285
external_validation,taec11,rbf,empirical_expected_shortfall95_loss,mbb,0.560125,0.39529250000000005,0.6285
external_validation,taec11,rbf,maximum_drawdown,mbb,6.033499999999998,2.6114999999999995,9.0735
external_validation,taec11,rbf,roi_on_entry_capital,mbb,-0.04247149091932986,-0.06350077973874758,-0.006315216246556465
external_validation,taec11,rbf,total_net_pnl,ordinary,-6.0335,-10.0511625,-1.8574125000000021
external_validation,taec11,rbf,mean_daily_pnl,ordinary,-0.09890983606557377,-0.1647731557377049,-0.030449385245901673
external_validation,taec11,rbf,daily_pnl_sd,ordinary,0.262252351565509,0.2111932325682501,0.30892469050180343
external_validation,taec11,rbf,nonannualised_sharpe,ordinary,-0.377155192222811,-0.6939666854604767,-0.11268951614415113
external_validation,taec11,rbf,sortino,ordinary,-0.41676913602095994,-0.6137163622265162,-0.15491066112040405
external_validation,taec11,rbf,empirical_var95_loss,ordinary,0.4465,0.365,0.6285
external_validation,taec11,rbf,empirical_expected_shortfall95_loss,ordinary,0.560125,0.40925,0.69075
external_validation,taec11,rbf,maximum_drawdown,ordinary,6.033499999999998,2.9298625000000005,10.273525000000001
external_validation,taec11,rbf,roi_on_entry_capital,ordinary,-0.04247149091932986,-0.07199650332094422,-0.013089727901795906
external_validation,taec11,matern32,total_net_pnl,mbb,-5.3549999999999995,-8.3775,-0.4294125000000018
external_validation,taec11,matern32,mean_daily_pnl,mbb,-0.08778688524590163,-0.13733606557377048,-0.0070395491803278976
external_validation,taec11,matern32,daily_pnl_sd,mbb,0.2545865841420883,0.20394046364845822,0.3075989578020247
external_validation,taec11,matern32,nonannualised_sharpe,mbb,-0.3448213327569003,-0.612062362087355,-0.026149494989956036
external_validation,taec11,matern32,sortino,mbb,-0.39304761853417486,-0.5716284563796171,-0.03830431032473441
external_validation,taec11,matern32,empirical_var95_loss,mbb,0.4085,0.321,0.5085000000000001
external_validation,taec11,matern32,empirical_expected_shortfall95_loss,mbb,0.498,0.3891625,0.5984999999999999
external_validation,taec11,matern32,maximum_drawdown,mbb,5.3549999999999995,2.3179624999999997,8.651737499999998
external_validation,taec11,matern32,roi_on_entry_capital,mbb,-0.03817460515481922,-0.0609238923093233,-0.00286430688335341
external_validation,taec11,matern32,total_net_pnl,ordinary,-5.3549999999999995,-9.1351,-1.3654125000000013
external_validation,taec11,matern32,mean_daily_pnl,ordinary,-0.08778688524590163,-0.149755737704918,-0.022383811475409857
external_validation,taec11,matern32,daily_pnl_sd,ordinary,0.2545865841420883,0.20837709729022405,0.2972877076848728
external_validation,taec11,matern32,nonannualised_sharpe,ordinary,-0.3448213327569003,-0.6523509458792736,-0.0839562373184729
external_validation,taec11,matern32,sortino,ordinary,-0.39304761853417486,-0.5946154801486119,-0.11841306095921159
external_validation,taec11,matern32,empirical_var95_loss,ordinary,0.4085,0.365,0.5085000000000001
external_validation,taec11,matern32,empirical_expected_shortfall95_loss,ordinary,0.498,0.395665625,0.5984999999999999
external_validation,taec11,matern32,maximum_drawdown,ordinary,5.3549999999999995,2.4974625,9.3630125
external_validation,taec11,matern32,roi_on_entry_capital,ordinary,-0.03817460515481922,-0.06615004464869685,-0.009472861317244879
