sample_period,decision_rule,selected_primary_decision_rule,frozen_threshold,transaction_cost_per_share,dates,trade_count,total_net_pnl,mean_date_net_pnl,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,bootstrap_total_ci_lower,bootstrap_total_ci_upper,bootstrap_probability_total_positive
weather_plus_market_training,6h_prior,False,0.12,0.0,58,34,1.5704999999999998,0.02707758620689655,-0.02495711206896551,0.09204418103448275,-1.4475124999999998,5.3385625,0.8105
weather_plus_market_training,6h_prior,False,0.12,0.005,58,34,1.4005,0.024146551724137932,-0.028293534482758623,0.08830258620689656,-1.641025,5.12155,0.7862
weather_plus_market_training,6h_prior,False,0.12,0.01,58,34,1.2305,0.02121551724137931,-0.030224999999999995,0.08604612068965511,-1.7530499999999998,4.990674999999997,0.75
weather_plus_market_training,6h_prior,False,0.12,0.02,58,34,0.8904999999999998,0.015353448275862066,-0.03701874999999999,0.08116767241379304,-2.1470874999999996,4.707724999999996,0.6763
out_of_sample_validation,6h_prior,False,0.12,0.0,29,8,-0.4485,-0.01546551724137931,-0.025810775862068966,-0.006379310344827586,-0.7485124999999999,-0.185,0.0
out_of_sample_validation,6h_prior,False,0.12,0.005,29,8,-0.48850000000000005,-0.0168448275862069,-0.028034482758620687,-0.007169827586206934,-0.813,-0.20792500000000108,0.0
out_of_sample_validation,6h_prior,False,0.12,0.01,29,8,-0.5285000000000001,-0.018224137931034487,-0.030413793103448276,-0.007722844827586226,-0.882,-0.22396250000000056,0.0
out_of_sample_validation,6h_prior,False,0.12,0.02,29,8,-0.6085,-0.020982758620689657,-0.03403448275862069,-0.008724137931034482,-0.9870000000000001,-0.253,0.0
weather_plus_market_training,event_day_open,True,0.12,0.0,63,42,4.914999999999999,0.078015873015873,0.007325000000000002,0.15698214285714274,0.4614750000000001,9.889874999999993,0.9868
weather_plus_market_training,event_day_open,True,0.12,0.005,63,42,4.704999999999999,0.07468253968253967,0.0041420634920634955,0.1563345238095238,0.26095000000000024,9.849075000000001,0.982
weather_plus_market_training,event_day_open,True,0.12,0.01,63,42,4.494999999999999,0.07134920634920634,0.0008148809523809754,0.1507222222222222,0.05133750000000145,9.495499999999998,0.9769
weather_plus_market_training,event_day_open,True,0.12,0.02,63,42,4.075,0.06468253968253969,-0.004857936507936499,0.14606547619047616,-0.30604999999999943,9.202124999999999,0.9637
out_of_sample_validation,event_day_open,True,0.12,0.0,30,16,0.18349999999999989,0.006116666666666663,-0.03486666666666667,0.07640041666666665,-1.046,2.2920125,0.5818
out_of_sample_validation,event_day_open,True,0.12,0.005,30,16,0.10349999999999998,0.0034499999999999995,-0.037599999999999995,0.07423333333333332,-1.128,2.2269999999999994,0.5465
out_of_sample_validation,event_day_open,True,0.12,0.01,30,16,0.023499999999999917,0.0007833333333333305,-0.04093416666666666,0.07261666666666665,-1.2280249999999997,2.1784999999999997,0.4705
out_of_sample_validation,event_day_open,True,0.12,0.02,30,16,-0.13650000000000012,-0.004550000000000004,-0.047300833333333334,0.06580041666666665,-1.419025,1.9740124999999997,0.3565
