empirical_period,strategy,model,cost_per_position,positions,gross_pre_cost_pnl,total_cost,net_pnl,is_frozen_baseline_cost
external_validation,taec11,matern32,0.015,383,2.3049999999999997,5.745,-3.4400000000000004,False
external_validation,taec11,matern32,0.02,383,2.3049999999999997,7.66,-5.355,True
external_validation,taec11,matern32,0.025,383,2.3049999999999997,9.575000000000001,-7.270000000000001,False
external_validation,taec11,matern32,0.03,383,2.3049999999999997,11.49,-9.185,False
external_validation,taec11,matern32,0.04,383,2.3049999999999997,15.32,-13.015,False
external_validation,taec11,matern32,0.05,383,2.3049999999999997,19.150000000000002,-16.845000000000002,False
external_validation,taec11,raw,0.0,365,1.0390000000000004,0.0,1.0390000000000004,False
external_validation,taec11,raw,0.0025,365,1.0390000000000004,0.9125,0.1265000000000004,False
external_validation,taec11,raw,0.005,365,1.0390000000000004,1.825,-0.7859999999999996,False
external_validation,taec11,raw,0.0075,365,1.0390000000000004,2.7375,-1.6984999999999995,False
external_validation,taec11,raw,0.01,365,1.0390000000000004,3.65,-2.6109999999999998,False
external_validation,taec11,raw,0.015,365,1.0390000000000004,5.475,-4.435999999999999,False
external_validation,taec11,raw,0.02,365,1.0390000000000004,7.3,-6.260999999999999,True
external_validation,taec11,raw,0.025,365,1.0390000000000004,9.125,-8.086,False
external_validation,taec11,raw,0.03,365,1.0390000000000004,10.95,-9.911,False
external_validation,taec11,raw,0.04,365,1.0390000000000004,14.6,-13.561,False
external_validation,taec11,raw,0.05,365,1.0390000000000004,18.25,-17.211,False
external_validation,taec11,rbf,0.0,387,1.7065000000000001,0.0,1.7065000000000001,False
external_validation,taec11,rbf,0.0025,387,1.7065000000000001,0.9675,0.7390000000000001,False
external_validation,taec11,rbf,0.005,387,1.7065000000000001,1.935,-0.22849999999999993,False
external_validation,taec11,rbf,0.0075,387,1.7065000000000001,2.9025,-1.1959999999999997,False
external_validation,taec11,rbf,0.01,387,1.7065000000000001,3.87,-2.1635,False
external_validation,taec11,rbf,0.015,387,1.7065000000000001,5.805,-4.0985,False
external_validation,taec11,rbf,0.02,387,1.7065000000000001,7.74,-6.0335,True
external_validation,taec11,rbf,0.025,387,1.7065000000000001,9.675,-7.968500000000001,False
external_validation,taec11,rbf,0.03,387,1.7065000000000001,11.61,-9.9035,False
external_validation,taec11,rbf,0.04,387,1.7065000000000001,15.48,-13.7735,False
external_validation,taec11,rbf,0.05,387,1.7065000000000001,19.35,-17.643500000000003,False
external_validation,taec11,static,0.0,380,2.2505,0.0,2.2505,False
external_validation,taec11,static,0.0025,380,2.2505,0.9500000000000001,1.3005,False
external_validation,taec11,static,0.005,380,2.2505,1.9000000000000001,0.35050000000000003,False
external_validation,taec11,static,0.0075,380,2.2505,2.85,-0.5994999999999999,False
external_validation,taec11,static,0.01,380,2.2505,3.8000000000000003,-1.5495,False
external_validation,taec11,static,0.015,380,2.2505,5.7,-3.4495,False
external_validation,taec11,static,0.02,380,2.2505,7.6000000000000005,-5.349500000000001,True
external_validation,taec11,static,0.025,380,2.2505,9.5,-7.249499999999999,False
external_validation,taec11,static,0.03,380,2.2505,11.4,-9.1495,False
external_validation,taec11,static,0.04,380,2.2505,15.200000000000001,-12.9495,False
external_validation,taec11,static,0.05,380,2.2505,19.0,-16.7495,False
market_development,taec11,matern32,0.0,515,5.003500000000001,0.0,5.003500000000001,False
market_development,taec11,matern32,0.0025,515,5.003500000000001,1.2875,3.7160000000000006,False
market_development,taec11,matern32,0.005,515,5.003500000000001,2.575,2.4285000000000005,False
market_development,taec11,matern32,0.0075,515,5.003500000000001,3.8625,1.141000000000001,False
market_development,taec11,matern32,0.01,515,5.003500000000001,5.15,-0.14649999999999963,False
market_development,taec11,matern32,0.015,515,5.003500000000001,7.725,-2.721499999999999,False
market_development,taec11,matern32,0.02,515,5.003500000000001,10.3,-5.2965,True
market_development,taec11,matern32,0.025,515,5.003500000000001,12.875,-7.871499999999999,False
market_development,taec11,matern32,0.03,515,5.003500000000001,15.45,-10.446499999999999,False
market_development,taec11,matern32,0.04,515,5.003500000000001,20.6,-15.5965,False
market_development,taec11,matern32,0.05,515,5.003500000000001,25.75,-20.746499999999997,False
market_development,taec11,raw,0.0,500,-1.6639999999999988,0.0,-1.6639999999999988,False
market_development,taec11,raw,0.0025,500,-1.6639999999999988,1.25,-2.913999999999999,False
market_development,taec11,raw,0.005,500,-1.6639999999999988,2.5,-4.163999999999999,False
market_development,taec11,raw,0.0075,500,-1.6639999999999988,3.75,-5.413999999999999,False
market_development,taec11,raw,0.01,500,-1.6639999999999988,5.0,-6.663999999999999,False
market_development,taec11,raw,0.015,500,-1.6639999999999988,7.5,-9.163999999999998,False
market_development,taec11,raw,0.02,500,-1.6639999999999988,10.0,-11.663999999999998,True
market_development,taec11,raw,0.025,500,-1.6639999999999988,12.5,-14.163999999999998,False
market_development,taec11,raw,0.03,500,-1.6639999999999988,15.0,-16.663999999999998,False
market_development,taec11,raw,0.04,500,-1.6639999999999988,20.0,-21.663999999999998,False
market_development,taec11,raw,0.05,500,-1.6639999999999988,25.0,-26.663999999999998,False
market_development,taec11,rbf,0.0,514,4.972000000000001,0.0,4.972000000000001,False
market_development,taec11,rbf,0.0025,514,4.972000000000001,1.285,3.687000000000001,False
market_development,taec11,rbf,0.005,514,4.972000000000001,2.57,2.4020000000000015,False
market_development,taec11,rbf,0.0075,514,4.972000000000001,3.855,1.1170000000000013,False
market_development,taec11,rbf,0.01,514,4.972000000000001,5.14,-0.16799999999999837,False
market_development,taec11,rbf,0.015,514,4.972000000000001,7.71,-2.7379999999999987,False
market_development,taec11,rbf,0.02,514,4.972000000000001,10.28,-5.307999999999998,True
market_development,taec11,rbf,0.025,514,4.972000000000001,12.850000000000001,-7.878,False
market_development,taec11,rbf,0.03,514,4.972000000000001,15.42,-10.447999999999999,False
market_development,taec11,rbf,0.04,514,4.972000000000001,20.56,-15.587999999999997,False
market_development,taec11,rbf,0.05,514,4.972000000000001,25.700000000000003,-20.728,False
market_development,taec11,static,0.0,502,5.824000000000001,0.0,5.824000000000001,False
market_development,taec11,static,0.0025,502,5.824000000000001,1.2550000000000001,4.569000000000001,False
market_development,taec11,static,0.005,502,5.824000000000001,2.5100000000000002,3.3140000000000005,False
market_development,taec11,static,0.0075,502,5.824000000000001,3.7649999999999997,2.059000000000001,False
market_development,taec11,static,0.01,502,5.824000000000001,5.0200000000000005,0.8040000000000003,False
market_development,taec11,static,0.015,502,5.824000000000001,7.529999999999999,-1.7059999999999986,False
market_development,taec11,static,0.02,502,5.824000000000001,10.040000000000001,-4.216,True
market_development,taec11,static,0.025,502,5.824000000000001,12.55,-6.726,False
market_development,taec11,static,0.03,502,5.824000000000001,15.059999999999999,-9.235999999999997,False
market_development,taec11,static,0.04,502,5.824000000000001,20.080000000000002,-14.256,False
market_development,taec11,static,0.05,502,5.824000000000001,25.1,-19.276,False
