phase,relative_path,format,recommended_placement,rationale,sha256
19,outputs/v2_completion/phase19_figures/phase19_central_coverage_errors.png,png,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",455b1e52eb720ff2a53b1bc104478a6b93a5217f8e3aba28be3f18ca3b0738ff
19,outputs/v2_completion/phase19_figures/phase19_pit_histogram.pdf,pdf,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",d6cf31d887367b05f3c3cb013df91e71ac2bd9e173f2239a90a9a88ae1e4a5a0
19,outputs/v2_completion/phase19_figures/phase19_pit_histogram.png,png,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",d09477c97ecda5eaa6a258e8c97ee9c6997be266799a93358cbcc066073da332
19,outputs/v2_completion/phase19_figures/phase19_quantile_calibration.pdf,pdf,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",d7271453fb1cf403f5013c9b62a14036e2b5a827bdae7452a40a240c6e7c8e32
19,outputs/v2_completion/phase19_figures/phase19_quantile_calibration.png,png,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",28658216b041c0a7d1ba36efc3eaa9c980969f4a9da7f2f4343cbd2f1c374324
19,outputs/v2_completion/phase19_figures/phase19_squared_standardised_residual_acf.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,65bb27156f5df7d4171865259be39598aadfd5d407720246801e58b13b5577c0
19,outputs/v2_completion/phase19_figures/phase19_squared_standardised_residual_acf.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,723c51d9cefd35cc2813beb43aed081c1c802091e6151aca0d8b3c81a79ca789
19,outputs/v2_completion/phase19_figures/phase19_standardised_residual_acf.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,884439678a9d2afd7362862541aefeaa4b7af8ad718cbae1180dbeeac1a82f85
19,outputs/v2_completion/phase19_figures/phase19_standardised_residual_acf.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,bb590d2e0cb0e155f331fca169918835a8875f273d73c1e6d7775c81d4d0f05f
19,outputs/v2_completion/phase19_figures/phase19_variance_by_sharpness_quartile.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,56ae993c0b4791920d25553e7099b45783a081a5c288120ef82a3ae02f45cce3
19,outputs/v2_completion/phase19_figures/phase19_variance_by_sharpness_quartile.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,555465cfa66638a9b5ccbb0919b7b35a0537ad511ac31ef561cd7583b77a9f6d
20,outputs/v2_completion/phase20_figures/phase20_june_score_comparison.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,3376216932650de0240d8efb66c0346b5f9d0b7546de946b274c33dabf2b1a20
20,outputs/v2_completion/phase20_figures/phase20_june_score_comparison.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,1f57a3370c5acbb7feb16178e96ca8c8e557c6ad388ec589e42f44e72ffcdd3e
20,outputs/v2_completion/phase20_figures/phase20_rank_discrepancy_event_day_open.pdf,pdf,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",7eb1279e079ed8de1170b30574f562292e1109b10a2f32888343a3f3fb6c06a8
20,outputs/v2_completion/phase20_figures/phase20_rank_discrepancy_event_day_open.png,png,MAIN_TEXT_CANDIDATE,"Potentially central to the model-comparison, calibration or model-market argument; retain only if legible and non-duplicative.",8704edefe2d62d858dca350a0a2c5417b1fceef216b797868ead6a6523f12dd3
20,outputs/v2_completion/phase20_figures/phase20_total_variation_by_rule.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,c4571d391eb24a24e73e986c1d731bcb345bd387910c9c0d62b1abf70686a613
20,outputs/v2_completion/phase20_figures/phase20_total_variation_by_rule.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,22698e99e99aa3e9adcaff5799f8776ed9e85e8b2a3f44df3d0aee7aced19996
20,outputs/v2_completion/phase20_figures/phase20_weight_bootstrap.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,c9b0cf635b4febbf116036274ab18d2cfec4fd61cfd0583c48919631f27f4c52
20,outputs/v2_completion/phase20_figures/phase20_weight_bootstrap.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,7053166cd5052f14dd9aac8d6207e93f23a93f7d45ae5bb5d5e096c8f187c51e
20,outputs/v2_completion/phase20_figures/phase20_weight_objective.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,f37424ad4eeea07c8e836b11eda40130396eb4cf8cd3594338eba50544a95359
20,outputs/v2_completion/phase20_figures/phase20_weight_objective.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,c0d8ba1401dfd80d291823eba0519f52b96ab951d26bf737a93c2eed6d423d03
21,outputs/v2_completion/phase21_figures/phase21_replay_artifact_counts.pdf,pdf,REVIEW,Inspect for duplication and thesis relevance before inclusion.,1c9c53bbdecf14f77f90476c5376292837ffd245f3c0705a59943853fb3c05c8
21,outputs/v2_completion/phase21_figures/phase21_replay_artifact_counts.png,png,REVIEW,Inspect for duplication and thesis relevance before inclusion.,bd09e997fe46dec21d59ad38441a5b8c7db8cf04f3edb111a3729975c21fece0
