empirical_period,strategy,model,temperature_shift_c,baseline_positions,shifted_positions,shared_positions,added_positions,removed_positions,position_set_jaccard
market_development,fixed_settlement,rbf,-0.25,15,20,11,9,4,0.4583333333333333
market_development,fixed_settlement,rbf,0.0,15,15,15,0,0,1.0
market_development,fixed_settlement,rbf,0.25,15,16,9,7,6,0.4090909090909091
market_development,fixed_settlement,rbf,0.5,15,17,7,10,8,0.28
market_development,fixed_settlement,rbf,1.0,15,34,5,29,10,0.11363636363636363
market_development,fixed_settlement,static,-1.0,14,49,3,46,11,0.05
market_development,fixed_settlement,static,-0.5,14,27,6,21,8,0.17142857142857143
market_development,fixed_settlement,static,-0.25,14,21,10,11,4,0.4
market_development,fixed_settlement,static,0.0,14,14,14,0,0,1.0
market_development,fixed_settlement,static,0.25,14,18,11,7,3,0.5238095238095238
market_development,fixed_settlement,static,0.5,14,24,10,14,4,0.35714285714285715
market_development,fixed_settlement,static,1.0,14,43,8,35,6,0.16326530612244897
market_development,taec11,matern32,-1.0,515,635,430,205,85,0.5972222222222222
market_development,taec11,matern32,-0.5,515,573,455,118,60,0.7187993680884676
market_development,taec11,matern32,-0.25,515,538,480,58,35,0.837696335078534
market_development,taec11,matern32,0.0,515,515,515,0,0,1.0
market_development,taec11,matern32,0.25,515,501,468,33,47,0.8540145985401459
market_development,taec11,matern32,0.5,515,486,416,70,99,0.7111111111111111
market_development,taec11,matern32,1.0,515,463,323,140,192,0.49312977099236643
market_development,taec11,raw,-1.0,500,533,358,175,142,0.5303703703703704
market_development,taec11,raw,-0.5,500,514,437,77,63,0.75736568457539
market_development,taec11,raw,-0.25,500,507,459,48,41,0.8375912408759124
market_development,taec11,raw,0.0,500,500,500,0,0,1.0
market_development,taec11,raw,0.25,500,498,462,36,38,0.8619402985074627
market_development,taec11,raw,0.5,500,496,398,98,102,0.6655518394648829
market_development,taec11,raw,1.0,500,495,320,175,180,0.4740740740740741
market_development,taec11,rbf,-1.0,514,626,427,199,87,0.5988779803646563
market_development,taec11,rbf,-0.5,514,560,448,112,66,0.7156549520766773
market_development,taec11,rbf,-0.25,514,534,477,57,37,0.8353765323992994
market_development,taec11,rbf,0.0,514,514,514,0,0,1.0
market_development,taec11,rbf,0.25,514,504,469,35,45,0.8542805100182149
market_development,taec11,rbf,0.5,514,481,411,70,103,0.7037671232876712
market_development,taec11,rbf,1.0,514,464,321,143,193,0.4885844748858447
market_development,taec11,static,-1.0,502,620,406,214,96,0.5670391061452514
market_development,taec11,static,-0.5,502,543,430,113,72,0.6991869918699187
market_development,taec11,static,-0.25,502,514,459,55,43,0.8240574506283662
market_development,taec11,static,0.0,502,502,502,0,0,1.0
market_development,taec11,static,0.25,502,489,450,39,52,0.8317929759704251
market_development,taec11,static,0.5,502,463,391,72,111,0.681184668989547
market_development,taec11,static,1.0,502,466,320,146,182,0.49382716049382713
