analysis,decision_rule,calendar_quarter,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_calendar_quarter,6h_prior,3,184,184,2.0994565217391306,1.348972378877206,2.1000000000000014,1.0500000000000007,2.0500000000000007,2.1570652173913043,2.4935024258713057,-0.1969401092947157,-0.5019436453637098,-2.0,5.399999999999999,-0.7510000000000023,-0.08499999999999809,0.23000000000000115,1.075000000000001,2.1000000000000014,3.1250000000000018,3.800000000000003,4.100000000000001,4.699999999999997,0.9402173913043478,0.05434782608695652,0.005434782608695652
residual_stability_by_calendar_quarter,6h_prior,4,184,184,0.8815217391304345,1.3754625131961566,0.8000000000000007,0.9000000000000004,1.7250000000000014,1.2695652173913041,1.630550720515591,0.2707745598488591,0.24346197400695946,-2.700000000000003,5.199999999999999,-2.051,-1.285000000000001,-0.8000000000000007,0.0,0.8000000000000007,1.7250000000000014,2.5700000000000003,3.200000000000001,4.235999999999989,0.7282608695652174,0.24456521739130435,0.02717391304347826
residual_stability_by_calendar_quarter,ALL_DATE_RULES,1,720,180,0.9790277777777779,1.3460669124326985,0.8000000000000007,0.8000000000000007,1.5249999999999995,1.3029166666666667,1.663693180847959,0.18687277290978685,0.4800502238542639,-3.0,5.199999999999999,-2.380999999999999,-1.1999999999999993,-0.5099999999999992,0.1999999999999993,0.8000000000000007,1.7249999999999988,2.799999999999997,3.304999999999996,4.300000000000001,0.7833333333333333,0.1986111111111111,0.018055555555555554
residual_stability_by_calendar_quarter,ALL_DATE_RULES,2,728,182,1.7710164835164834,1.4851759225924772,1.900000000000002,0.9999999999999967,1.9000000000000021,1.9973901098901097,2.310674583961799,-0.2929135364452319,0.2780056737143086,-2.900000000000002,7.600000000000001,-1.8000000000000007,-0.8000000000000007,-0.4000000000000021,0.8999999999999986,1.900000000000002,2.8000000000000007,3.6000000000000014,4.0,4.600000000000001,0.8475274725274725,0.14560439560439561,0.006868131868131868
residual_stability_by_calendar_quarter,ALL_DATE_RULES,3,736,184,2.0782608695652174,1.340368602929219,2.1000000000000014,1.0000000000000053,2.1000000000000014,2.14375,2.472511924620649,-0.22383614993826623,-0.49861605727650016,-2.299999999999997,5.399999999999999,-0.7649999999999991,-0.12500000000000086,0.2000000000000028,1.0,2.1000000000000014,3.1000000000000014,3.75,4.100000000000001,4.699999999999996,0.9307065217391305,0.0625,0.006793478260869565
residual_stability_by_calendar_quarter,ALL_DATE_RULES,4,736,184,0.8842391304347825,1.3548387327347955,0.8000000000000007,0.8999999999999986,1.7000000000000028,1.2714673913043477,1.6170877607869512,0.18025144108203317,0.36889714877851,-4.0,5.199999999999999,-2.3000000000000007,-1.299999999999998,-0.8000000000000007,0.0,0.8000000000000007,1.7000000000000028,2.599999999999998,3.3000000000000007,4.229999999999993,0.7364130434782609,0.24048913043478262,0.02309782608695652
residual_stability_by_calendar_quarter,event_day_open,1,180,180,0.8605555555555556,1.2956953751851654,0.7000000000000011,0.7999999999999989,1.5000000000000036,1.2161111111111111,1.5524353627625067,0.21823117387231272,0.2826947609941173,-2.3999999999999986,4.5,-2.063,-1.1999999999999995,-0.7099999999999989,0.0999999999999978,0.7000000000000011,1.6000000000000014,2.6000000000000014,3.3000000000000007,4.142000000000003,0.7555555555555555,0.22777777777777777,0.016666666666666666
residual_stability_by_calendar_quarter,event_day_open,2,182,182,1.8230769230769228,1.3982686155106152,2.0,0.9000000000000021,1.8999999999999986,2.010989010989011,2.295217196263129,-0.4690241335420414,-0.2405632891148044,-2.1999999999999997,4.800000000000001,-1.418999999999999,-0.7949999999999974,-0.1999999999999993,1.0,2.0,2.8999999999999986,3.4900000000000007,3.8000000000000007,4.418999999999999,0.8626373626373627,0.13186813186813187,0.005494505494505495
residual_stability_by_calendar_quarter,event_day_open,3,184,184,2.0070652173913044,1.2667690824660016,2.1000000000000014,1.0,1.8999999999999995,2.073369565217391,2.3715592925880786,-0.3377389516771933,-0.26817036734408495,-2.299999999999997,4.900000000000002,-0.7170000000000019,-0.06999999999999786,0.23000000000000115,1.0,2.1000000000000014,2.8999999999999995,3.6000000000000014,3.8000000000000003,4.250999999999997,0.9456521739130435,0.05434782608695652,0.0
residual_stability_by_calendar_quarter,event_day_open,4,184,184,0.9733695652173912,1.23659922975269,1.0,0.7999999999999989,1.599999999999995,1.221195652173913,1.5710872723662754,0.5259701236780993,0.8731328611429463,-2.3000000000000007,5.199999999999999,-1.501999999999999,-0.8000000000000002,-0.4000000000000021,0.1000000000000014,1.0,1.6999999999999964,2.3000000000000007,3.3999999999999986,4.235999999999989,0.7717391304347826,0.20652173913043478,0.021739130434782608
