analysis,decision_rule,full_sample_chronological_block,rows,dates,mean_residual_c,standard_deviation_c,median_residual_c,median_absolute_deviation_c,interquartile_range_c,mean_absolute_error_c,root_mean_squared_error_c,skewness,excess_kurtosis,minimum_c,maximum_c,q01_c,q05_c,q10_c,q25_c,q50_c,q75_c,q90_c,q95_c,q99_c,underforecast_rate,overforecast_rate,exact_zero_rate
residual_stability_by_full_sample_chronological_block,6h_prior,3,183,183,2.002185792349727,1.5484113192699114,2.1999999999999997,0.9000000000000017,1.9000000000000004,2.236065573770492,2.528482557526519,-0.6088733991361774,0.6596196663114346,-2.900000000000002,6.5,-2.3180000000000005,-0.8800000000000022,-0.1000000000000014,1.1500000000000004,2.1999999999999997,3.0500000000000007,3.899999999999999,4.100000000000001,4.699999999999997,0.8907103825136612,0.1092896174863388,0.0
residual_stability_by_full_sample_chronological_block,6h_prior,4,182,182,0.8879120879120879,1.4222257216343999,0.7000000000000028,0.9000000000000021,1.849999999999997,1.2813186813186812,1.6733200530681511,0.3893807703221235,0.25454800688201473,-3.0,5.399999999999999,-1.8139999999999996,-1.1949999999999994,-0.8899999999999987,-0.07499999999999835,0.7000000000000028,1.7749999999999986,2.7900000000000014,3.3999999999999986,4.500000000000001,0.7307692307692307,0.25274725274725274,0.016483516483516484
residual_stability_by_full_sample_chronological_block,ALL_DATE_RULES,1,732,183,1.78948087431694,1.2915642340326476,1.900000000000002,0.9000000000000019,1.7999999999999976,1.914344262295082,2.206377368651196,-0.29827345784008463,-0.2989985231106074,-2.8000000000000007,4.600000000000001,-1.1379999999999968,-0.5,-0.0999999999999978,0.9000000000000021,1.900000000000002,2.6999999999999997,3.4000000000000017,3.8000000000000007,4.168999999999994,0.8825136612021858,0.10792349726775956,0.009562841530054645
residual_stability_by_full_sample_chronological_block,ALL_DATE_RULES,2,728,182,1.0296703296703298,1.3399476066453118,0.9000000000000004,0.7999999999999989,1.5999999999999979,1.312912087912088,1.6891460226144703,0.2365442828608846,0.9056543468609983,-4.0,5.199999999999999,-2.3730000000000016,-1.1000000000000003,-0.5,0.1999999999999993,0.9000000000000004,1.7999999999999972,2.930000000000006,3.400000000000001,4.899999999999999,0.7994505494505495,0.17582417582417584,0.024725274725274724
residual_stability_by_full_sample_chronological_block,ALL_DATE_RULES,3,732,183,1.98551912568306,1.5477738758959392,2.1999999999999997,0.9999999999999969,1.9000000000000037,2.2008196721311477,2.5168666008230947,-0.4650459852846581,0.3736380619714863,-2.900000000000002,7.600000000000001,-2.268999999999998,-0.7450000000000014,-0.18999999999999864,1.0999999999999972,2.1999999999999997,3.000000000000001,3.899999999999999,4.199999999999999,4.768999999999992,0.8852459016393442,0.11065573770491803,0.004098360655737705
residual_stability_by_full_sample_chronological_block,ALL_DATE_RULES,4,728,182,0.9089285714285713,1.3999764019851013,0.7999999999999998,0.8999999999999995,1.8249999999999993,1.2880494505494506,1.6683503400493724,0.3569485702299084,0.006584128444049764,-3.0,5.399999999999999,-1.8730000000000016,-1.1999999999999993,-0.8000000000000007,-0.0999999999999978,0.7999999999999998,1.7250000000000014,2.8999999999999986,3.400000000000002,4.4730000000000025,0.7307692307692307,0.25274725274725274,0.016483516483516484
residual_stability_by_full_sample_chronological_block,event_day_open,1,183,183,1.8278688524590168,1.2381035410296728,1.900000000000002,0.8000000000000009,1.6999999999999997,1.9327868852459018,2.205816949635791,-0.35185541424457156,-0.45641841876434297,-1.3999999999999986,4.199999999999999,-0.8000000000000007,-0.49000000000000027,-0.10000000000000067,1.0,1.900000000000002,2.6999999999999997,3.4000000000000012,3.7000000000000024,4.018000000000001,0.8907103825136612,0.1092896174863388,0.0
residual_stability_by_full_sample_chronological_block,event_day_open,2,182,182,0.9763736263736263,1.289199517353184,0.9000000000000021,0.7000000000000028,1.4999999999999964,1.2653846153846153,1.614375666073046,0.3221762507168543,0.803929892727941,-2.3000000000000007,5.199999999999999,-2.057,-1.1949999999999994,-0.5,0.2000000000000028,0.9000000000000021,1.6999999999999993,2.789999999999998,3.3000000000000007,4.251999999999998,0.7912087912087912,0.19230769230769232,0.016483516483516484
residual_stability_by_full_sample_chronological_block,event_day_open,3,183,183,1.9256830601092896,1.4588292943268546,2.000000000000004,0.999999999999996,1.950000000000001,2.1224043715846994,2.413464054666943,-0.6263930667228035,0.24105692328457806,-2.3999999999999986,4.900000000000002,-2.217999999999999,-0.6900000000000027,0.1000000000000014,1.049999999999999,2.000000000000004,3.0,3.680000000000001,3.899999999999999,4.554000000000002,0.907103825136612,0.08743169398907104,0.00546448087431694
residual_stability_by_full_sample_chronological_block,event_day_open,4,182,182,0.9368131868131868,1.2684513367241574,0.7999999999999989,0.799999999999999,1.5749999999999986,1.2016483516483516,1.57408616433385,0.5964016669415693,0.13521118925404263,-1.6000000000000014,4.500000000000004,-1.3189999999999975,-0.895000000000002,-0.6000000000000011,0.02499999999999945,0.7999999999999989,1.599999999999998,2.6999999999999997,3.400000000000002,4.338,0.7472527472527473,0.23076923076923078,0.02197802197802198
