weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.3070000000,0.6930000000,100,385,1.4151975412
0.3080000000,0.6920000000,100,385,1.4152607628
0.3090000000,0.6910000000,100,385,1.4153243857
0.3100000000,0.6900000000,100,385,1.4153884094
0.3110000000,0.6890000000,100,385,1.4154528332
0.3120000000,0.6880000000,100,385,1.4155176564
0.3130000000,0.6870000000,100,385,1.4155828784
0.3140000000,0.6860000000,100,385,1.4156484986
0.3150000000,0.6850000000,100,385,1.4157145164
0.3160000000,0.6840000000,100,385,1.4157809311
0.3170000000,0.6830000000,100,385,1.4158477422
0.3180000000,0.6820000000,100,385,1.4159149491
0.3190000000,0.6810000000,100,385,1.4159825511
0.3200000000,0.6800000000,100,385,1.4160505477
0.3210000000,0.6790000000,100,385,1.4161189382
0.3220000000,0.6780000000,100,385,1.4161877222
0.3230000000,0.6770000000,100,385,1.4162568989
0.3240000000,0.6760000000,100,385,1.4163264679
0.3250000000,0.6750000000,100,385,1.4163964285
0.3260000000,0.6740000000,100,385,1.4164667803
0.3270000000,0.6730000000,100,385,1.4165375226
0.3280000000,0.6720000000,100,385,1.4166086548
0.3290000000,0.6710000000,100,385,1.4166801765
0.3300000000,0.6700000000,100,385,1.4167520870
0.3310000000,0.6690000000,100,385,1.4168243859
0.3320000000,0.6680000000,100,385,1.4168970726
0.3330000000,0.6670000000,100,385,1.4169701466
0.3340000000,0.6660000000,100,385,1.4170436073
0.3350000000,0.6650000000,100,385,1.4171174541
0.3360000000,0.6640000000,100,385,1.4171916867
0.3370000000,0.6630000000,100,385,1.4172663044
0.3380000000,0.6620000000,100,385,1.4173413068
0.3390000000,0.6610000000,100,385,1.4174166933
0.3400000000,0.6600000000,100,385,1.4174924634
0.3410000000,0.6590000000,100,385,1.4175686167
0.3420000000,0.6580000000,100,385,1.4176451526
0.3430000000,0.6570000000,100,385,1.4177220706
0.3440000000,0.6560000000,100,385,1.4177993703
0.3450000000,0.6550000000,100,385,1.4178770512
0.3460000000,0.6540000000,100,385,1.4179551127
0.3470000000,0.6530000000,100,385,1.4180335544
0.3480000000,0.6520000000,100,385,1.4181123759
0.3490000000,0.6510000000,100,385,1.4181915766
0.3500000000,0.6500000000,100,385,1.4182711561
0.3510000000,0.6490000000,100,385,1.4183511140
0.3520000000,0.6480000000,100,385,1.4184314497
0.3530000000,0.6470000000,100,385,1.4185121628
0.3540000000,0.6460000000,100,385,1.4185932529
0.3550000000,0.6450000000,100,385,1.4186747195
0.3560000000,0.6440000000,100,385,1.4187565622
0.3570000000,0.6430000000,100,385,1.4188387805
0.3580000000,0.6420000000,100,385,1.4189213740
0.3590000000,0.6410000000,100,385,1.4190043423
0.3600000000,0.6400000000,100,385,1.4190876849
0.3610000000,0.6390000000,100,385,1.4191714015
0.3620000000,0.6380000000,100,385,1.4192554915
0.3630000000,0.6370000000,100,385,1.4193399546
0.3640000000,0.6360000000,100,385,1.4194247903
0.3650000000,0.6350000000,100,385,1.4195099983
0.3660000000,0.6340000000,100,385,1.4195955781
0.3670000000,0.6330000000,100,385,1.4196815293
0.3680000000,0.6320000000,100,385,1.4197678516
0.3690000000,0.6310000000,100,385,1.4198545445
0.3700000000,0.6300000000,100,385,1.4199416077
0.3710000000,0.6290000000,100,385,1.4200290406
0.3720000000,0.6280000000,100,385,1.4201168431
0.3730000000,0.6270000000,100,385,1.4202050146
0.3740000000,0.6260000000,100,385,1.4202935548
0.3750000000,0.6250000000,100,385,1.4203824634
0.3760000000,0.6240000000,100,385,1.4204717398
0.3770000000,0.6230000000,100,385,1.4205613839
0.3780000000,0.6220000000,100,385,1.4206513951
0.3790000000,0.6210000000,100,385,1.4207417732
0.3800000000,0.6200000000,100,385,1.4208325178
0.3810000000,0.6190000000,100,385,1.4209236284
0.3820000000,0.6180000000,100,385,1.4210151049
0.3830000000,0.6170000000,100,385,1.4211069467
0.3840000000,0.6160000000,100,385,1.4211991536
0.3850000000,0.6150000000,100,385,1.4212917253
0.3860000000,0.6140000000,100,385,1.4213846613
0.3870000000,0.6130000000,100,385,1.4214779613
0.3880000000,0.6120000000,100,385,1.4215716250
0.3890000000,0.6110000000,100,385,1.4216656521
0.3900000000,0.6100000000,100,385,1.4217600423
0.3910000000,0.6090000000,100,385,1.4218547951
0.3920000000,0.6080000000,100,385,1.4219499103
0.3930000000,0.6070000000,100,385,1.4220453876
0.3940000000,0.6060000000,100,385,1.4221412267
0.3950000000,0.6050000000,100,385,1.4222374271
0.3960000000,0.6040000000,100,385,1.4223339887
0.3970000000,0.6030000000,100,385,1.4224309111
0.3980000000,0.6020000000,100,385,1.4225281939
0.3990000000,0.6010000000,100,385,1.4226258370
0.4000000000,0.6000000000,100,385,1.4227238400
0.4010000000,0.5990000000,100,385,1.4228222025
