event_date,empirical_period,rules,static_binary_brier,static_binary_log,static_categorical_log,static_multiclass_brier,selected_gp_binary_brier,selected_gp_binary_log,selected_gp_categorical_log,selected_gp_multiclass_brier,pool_binary_brier,pool_binary_log,pool_categorical_log,pool_multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier
2026-05-01,market_development,4,0.0755997474,0.2424095677,1.7533480036,0.8315972218,0.0735249419,0.2359753041,1.6965671755,0.8087743609,0.0488790720,0.1599645188,1.0425865595,0.5376697922,0.0455734489,0.1488073013,0.9495253524,0.5060153066
2026-05-02,market_development,4,0.0698157432,0.2224907431,1.5731253717,0.7679731747,0.0688913229,0.2207588007,1.5607558110,0.7578045518,0.0784958956,0.2364057910,1.6554527627,0.8634548511,0.0817595398,0.2425042189,1.6907430779,0.8943146124
2026-05-03,market_development,4,0.0703940522,0.2144192927,1.4762099019,0.7743345737,0.0695804934,0.2137053404,1.4754389363,0.7653854277,0.0511512795,0.1612723746,1.0372037503,0.5626640743,0.0490172159,0.1533726296,0.9662276428,0.5462501721
2026-05-04,market_development,4,0.0199940231,0.0817834790,0.4936999072,0.2199342545,0.0202143443,0.0829753155,0.5011911660,0.2223577878,0.0243259897,0.0918919706,0.5387935473,0.2675858862,0.0261444602,0.0948129026,0.5606386365,0.2922239422
2026-05-05,market_development,4,0.0673768993,0.2190029758,1.5541758470,0.7411458925,0.0693295589,0.2251735388,1.6079841397,0.7626251483,0.0918170858,0.2963293901,2.2335062571,1.0099879439,0.0994186420,0.3198480444,2.4336181430,1.0753479272
2026-05-06,market_development,3,0.0844747223,0.2754943627,2.0588975144,0.9292219452,0.0844521624,0.2773010652,2.0795412359,0.9289737862,0.1079937875,0.4111731071,3.3911387649,1.1879316625,0.1166594242,0.4965766937,4.2611606312,1.2614054358
2026-05-07,market_development,4,0.0837181314,0.2800600147,2.1156600308,0.9208994454,0.0834909556,0.2801364031,2.1183529875,0.9184005117,0.0810930919,0.2580749541,1.8838382395,0.8920240113,0.0825388239,0.2604833127,1.8928295150,0.8974542541
2026-05-08,market_development,4,0.0738856303,0.2338297229,1.6702010745,0.8127419330,0.0745154103,0.2370451927,1.7016921361,0.8196695134,0.0975868622,0.3195073452,2.4467625046,1.0734554845,0.1059281420,0.3549114143,2.7688304066,1.1376972509
2026-05-09,market_development,4,0.0683983403,0.2145880859,1.4966549456,0.7523817429,0.0687625734,0.2155135426,1.5041028992,0.7563883076,0.0430238599,0.1417950411,0.9077817476,0.4732624584,0.0393145284,0.1302120699,0.8212944992,0.4347663701
2026-05-10,market_development,4,0.0607414050,0.1969112158,1.3567711918,0.6681554550,0.0616247709,0.2001102803,1.3855509107,0.6778724798,0.0712606955,0.2129438418,1.4444487409,0.7838676508,0.0752788466,0.2183844761,1.4594015955,0.8215448111
2026-05-11,market_development,4,0.0639847155,0.2049254398,1.4215075789,0.7038318701,0.0647641617,0.2079494821,1.4493209824,0.7124057788,0.0529444417,0.1702895889,1.1236181057,0.5823888591,0.0505316250,0.1633795732,1.0679796812,0.5647672612
2026-05-12,market_development,4,0.0617704008,0.1931654569,1.3086744110,0.6794744083,0.0609640246,0.1917829132,1.2996024422,0.6706042710,0.0793275637,0.2372072146,1.6608795696,0.8726032004,0.0847234602,0.2501553612,1.7568074847,0.9212836811
2026-05-13,market_development,4,0.0682007703,0.2128438098,1.4789918846,0.7502084737,0.0670817478,0.2104032943,1.4603413050,0.7378992261,0.0544312803,0.1770534820,1.2200963259,0.5987440834,0.0543934545,0.1776923336,1.2517891452,0.5972034201
2026-05-14,market_development,4,0.0642100751,0.2051276060,1.4222732104,0.7063108256,0.0650848812,0.2083981693,1.4520879475,0.7159336937,0.0614025364,0.1884784041,1.2555017509,0.6754279006,0.0613255625,0.1857944065,1.2199657272,0.6757108616
2026-05-15,market_development,4,0.0985445949,0.2844341730,1.9763902158,1.0839905437,0.0976206485,0.2820413882,1.9600293286,1.0738271338,0.0840949368,0.2410765384,1.6596203846,0.9250443043,0.0843554261,0.2379477583,1.6173193932,0.9181056936
2026-05-16,market_development,4,0.0696220712,0.2225806084,1.5760328511,0.7658427832,0.0703570771,0.2260494687,1.6095145933,0.7739278477,0.0968616725,0.3148598584,2.4020541167,1.0654783972,0.1054216818,0.3502882946,2.7270358810,1.1441785693
