source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-08,24h_prior,,,2026-06-06T06:00:00Z,2026-06-06T16:00:00Z,24,24,24,0,2026-06-08 00:00:00+08:00,2026-06-08 23:00:00+08:00,28.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-08,6h_prior,,,2026-06-07T00:00:00Z,2026-06-07T10:00:00Z,24,24,24,0,2026-06-08 00:00:00+08:00,2026-06-08 23:00:00+08:00,27.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-08,event_day_open,,,2026-06-07T06:00:00Z,2026-06-07T16:00:00Z,24,24,24,0,2026-06-08 00:00:00+08:00,2026-06-08 23:00:00+08:00,27.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-09,12h_prior,,,2026-06-07T18:00:00Z,2026-06-08T04:00:00Z,24,24,24,0,2026-06-09 00:00:00+08:00,2026-06-09 23:00:00+08:00,27.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-09,24h_prior,,,2026-06-07T06:00:00Z,2026-06-07T16:00:00Z,24,24,24,0,2026-06-09 00:00:00+08:00,2026-06-09 23:00:00+08:00,26.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-09,6h_prior,,,2026-06-08T00:00:00Z,2026-06-08T10:00:00Z,24,24,24,0,2026-06-09 00:00:00+08:00,2026-06-09 23:00:00+08:00,27.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-09,event_day_open,,,2026-06-08T06:00:00Z,2026-06-08T16:00:00Z,24,24,24,0,2026-06-09 00:00:00+08:00,2026-06-09 23:00:00+08:00,29.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-10,12h_prior,,,2026-06-08T18:00:00Z,2026-06-09T04:00:00Z,24,24,24,0,2026-06-10 00:00:00+08:00,2026-06-10 23:00:00+08:00,28.0,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-10,24h_prior,,,2026-06-08T06:00:00Z,2026-06-08T16:00:00Z,24,24,24,0,2026-06-10 00:00:00+08:00,2026-06-10 23:00:00+08:00,29.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-10,6h_prior,,,2026-06-09T00:00:00Z,2026-06-09T10:00:00Z,24,24,24,0,2026-06-10 00:00:00+08:00,2026-06-10 23:00:00+08:00,27.9,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
