target_month,decision_rule,n,unique_dates,mean_forecast_c,mean_hko_c,mean_residual_c,forecast_bias_c,mae_c,rmse_c,median_absolute_error_c,residual_sd_c,residual_q05_c,residual_q25_c,residual_q50_c,residual_q75_c,residual_q95_c,max_absolute_error_c,forecast_hko_correlation
2024-10,24h_prior,29,29,29.2689655172,30.1206896552,0.8517241379,-0.8517241379,1.3000000000,1.5590669181,1.3000000000,1.3289686360,-1.0800000000,-0.4000000000,1.0000000000,1.8000000000,2.6600000000,3.6000000000,0.6913972371
2024-10,12h_prior,31,31,29.3967741935,30.2741935484,0.8774193548,-0.8774193548,1.3548387097,1.6204340319,1.2000000000,1.3848488913,-1.4000000000,0.0500000000,1.1000000000,1.9500000000,2.9000000000,3.3000000000,0.6978862203
2024-10,6h_prior,31,31,29.4451612903,30.2741935484,0.8290322581,-0.8290322581,1.1838709677,1.5314972644,0.8000000000,1.3089928822,-0.8500000000,0.0000000000,0.7000000000,1.8500000000,2.7000000000,3.8000000000,0.7329429813
2024-10,event_day_open,30,30,29.3500000000,30.1433333333,0.7933333333,-0.7933333333,1.1600000000,1.5176736584,0.8000000000,1.3159324302,-0.8550000000,0.0000000000,0.7000000000,1.7250000000,2.7400000000,3.8000000000,0.6959846724
2024-11,24h_prior,30,30,24.5400000000,25.2833333333,0.7433333333,-0.7433333333,1.3233333333,1.6071714283,1.3000000000,1.4493002672,-1.3000000000,-0.4250000000,0.9500000000,1.4750000000,2.8550000000,4.3000000000,0.9127593513
2024-11,12h_prior,30,30,24.6866666667,25.2833333333,0.5966666667,-0.5966666667,1.4700000000,1.7831619855,1.2000000000,1.7091000522,-2.1300000000,-0.4000000000,0.7500000000,1.6750000000,3.0300000000,4.0000000000,0.8718785629
2024-11,6h_prior,30,30,24.5266666667,25.2833333333,0.7566666667,-0.7566666667,1.2233333333,1.4952145888,1.2000000000,1.3116673604,-1.3100000000,0.1000000000,0.6000000000,1.6750000000,2.8650000000,3.1000000000,0.9313757466
2024-11,event_day_open,30,30,24.5266666667,25.2833333333,0.7566666667,-0.7566666667,1.2233333333,1.4952145888,1.2000000000,1.3116673604,-1.3100000000,0.1000000000,0.6000000000,1.6750000000,2.8650000000,3.1000000000,0.9313757466
2024-12,24h_prior,19,19,20.1578947368,21.5210526316,1.3631578947,-1.3631578947,1.4052631579,1.6655961474,1.5000000000,0.9833110316,-0.1200000000,0.7500000000,1.5000000000,1.8500000000,2.7100000000,3.7000000000,0.9432248458
2024-12,12h_prior,23,23,19.7043478261,21.0826086957,1.3782608696,-1.3782608696,1.5956521739,1.9689988628,1.5000000000,1.4377876066,-0.3000000000,0.6000000000,1.2000000000,1.9500000000,3.8700000000,4.3000000000,0.8613894457
2024-12,6h_prior,21,21,20.1142857143,21.4619047619,1.3476190476,-1.3476190476,1.5952380952,2.0478792747,1.2000000000,1.5800693173,-0.3000000000,0.5000000000,1.1000000000,1.7000000000,3.6000000000,5.2000000000,0.8673431997
2024-12,event_day_open,18,18,19.9888888889,21.3333333333,1.3444444444,-1.3444444444,1.6000000000,1.9465068428,1.3500000000,1.4484158577,-0.4850000000,0.5500000000,1.1500000000,1.7750000000,3.6150000000,3.7000000000,0.9163519773
2025-01,24h_prior,30,30,18.7766666667,19.7833333333,1.0066666667,-1.0066666667,1.0933333333,1.3522820219,0.9000000000,0.9183693695,-0.2550000000,0.3500000000,0.9000000000,1.6500000000,2.7000000000,2.7000000000,0.8334944366
2025-01,12h_prior,31,31,18.7935483871,19.7612903226,0.9677419355,-0.9677419355,1.0903225806,1.3734815663,0.8000000000,0.9907529449,-0.4000000000,0.5500000000,0.8000000000,1.5000000000,2.5000000000,4.0000000000,0.8036714126
2025-01,6h_prior,30,30,18.8700000000,19.7833333333,0.9133333333,-0.9133333333,1.0066666667,1.3983323401,0.7500000000,1.0769475809,-0.3550000000,0.3500000000,0.7500000000,1.2000000000,2.2550000000,5.2000000000,0.7865967452
