event_date,market_id,market_slug,group_item_title,yes_token_id,contract_event_type,threshold_c,lower_bound_c,upper_bound_c,event_rank,decision_rule,decision_cutoff_utc,target_available,hko_daily_max_c,Y,empirical_period,market_price_available,market_raw_yes,selected_price_timestamp_unix,selected_price_timestamp_utc,record_age_hours,book_contracts,prices_available,market_book_sum,market_book_complete,market_normalised
2026-03-16,1609043,highest-temperature-in-hong-kong-on-march-16-2026-21c,21°C,107366954408886783324179645534286962077498931146085491007251864326908619994162,interior_bin,21,21.0,22.0,7,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609043,highest-temperature-in-hong-kong-on-march-16-2026-21c,21°C,107366954408886783324179645534286962077498931146085491007251864326908619994162,interior_bin,21,21.0,22.0,7,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609043,highest-temperature-in-hong-kong-on-march-16-2026-21c,21°C,107366954408886783324179645534286962077498931146085491007251864326908619994162,interior_bin,21,21.0,22.0,7,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609043,highest-temperature-in-hong-kong-on-march-16-2026-21c,21°C,107366954408886783324179645534286962077498931146085491007251864326908619994162,interior_bin,21,21.0,22.0,7,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609044,highest-temperature-in-hong-kong-on-march-16-2026-22c,22°C,38575858483837832981114034857956969719203526165201675460878372130157035147479,interior_bin,22,22.0,23.0,8,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609044,highest-temperature-in-hong-kong-on-march-16-2026-22c,22°C,38575858483837832981114034857956969719203526165201675460878372130157035147479,interior_bin,22,22.0,23.0,8,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609044,highest-temperature-in-hong-kong-on-march-16-2026-22c,22°C,38575858483837832981114034857956969719203526165201675460878372130157035147479,interior_bin,22,22.0,23.0,8,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609044,highest-temperature-in-hong-kong-on-march-16-2026-22c,22°C,38575858483837832981114034857956969719203526165201675460878372130157035147479,interior_bin,22,22.0,23.0,8,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609045,highest-temperature-in-hong-kong-on-march-16-2026-23c,23°C,93841664961403431322117383569371933138371976309205073100030056447093674795185,interior_bin,23,23.0,24.0,9,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609045,highest-temperature-in-hong-kong-on-march-16-2026-23c,23°C,93841664961403431322117383569371933138371976309205073100030056447093674795185,interior_bin,23,23.0,24.0,9,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
