fit_stage,block,decision_rule,kernel_family,train_start,train_end,train_rows,validation_start,validation_end,validation_calendar_dates,validation_usable_rows,response_mean_c,response_scale_c,feature_means,feature_scales,signal_variance,signal_std,length_scale,white_noise_variance,constant_near_bound,length_near_bound,noise_near_bound,log_marginal_likelihood,warning_count,warnings,jitter,n_restarts_optimizer
chronological_validation,2,12h_prior,rbf,2024-03-16,2025-06-14,434,2025-06-15,2025-09-13,91,81,1.4428571429,1.5099843265,"[0.6101747500689918, 0.15237056367712576, -0.10413229646333062, 26.12327188940092]","[0.36231396467689164, 0.7133273516907246, 0.6760944944960617, 4.590085226038548]",0.5791219904,0.7610006507,0.1095714165,0.4373061118,False,False,False,-586.4391077956,0,,0.0000000100,0
chronological_validation,2,12h_prior,matern32,2024-03-16,2025-06-14,434,2025-06-15,2025-09-13,91,81,1.4428571429,1.5099843265,"[0.6101747500689918, 0.15237056367712576, -0.10413229646333062, 26.12327188940092]","[0.36231396467689164, 0.7133273516907246, 0.6760944944960617, 4.590085226038548]",0.6085055576,0.7800676622,0.1380792456,0.4150698772,False,False,False,-584.7157640727,0,,0.0000000100,0
chronological_validation,2,6h_prior,rbf,2024-03-16,2025-06-14,437,2025-06-15,2025-09-13,91,80,1.4462242563,1.4051444139,"[0.6125894634217584, 0.15695168960245304, -0.10971617386656617, 26.18192219679634]","[0.3631184974051242, 0.7190929907900172, 0.6680073344804568, 4.522308594478593]",0.2427722446,0.4927192351,0.5288205384,0.7896681369,False,False,False,-596.5067501780,0,,0.0000000100,0
chronological_validation,2,6h_prior,matern32,2024-03-16,2025-06-14,437,2025-06-15,2025-09-13,91,80,1.4462242563,1.4051444139,"[0.6125894634217584, 0.15695168960245304, -0.10971617386656617, 26.18192219679634]","[0.3631184974051242, 0.7190929907900172, 0.6680073344804568, 4.522308594478593]",0.2864803427,0.5352385848,0.7050450386,0.7750162484,False,False,False,-596.2217278285,0,,0.0000000100,0
chronological_validation,2,event_day_open,rbf,2024-03-16,2025-06-14,431,2025-06-15,2025-09-13,91,83,1.4498839907,1.4077161361,"[0.6113282617576312, 0.16407401025313778, -0.11610399713910984, 26.14385150812065]","[0.3648631018883009, 0.7163313875945926, 0.6681833013137791, 4.544811989989672]",0.2516005764,0.5015980227,0.4914346228,0.7810246202,False,False,False,-588.1945822676,0,,0.0000000100,0
chronological_validation,2,event_day_open,matern32,2024-03-16,2025-06-14,431,2025-06-15,2025-09-13,91,83,1.4498839907,1.4077161361,"[0.6113282617576312, 0.16407401025313778, -0.11610399713910984, 26.14385150812065]","[0.3648631018883009, 0.7163313875945926, 0.6681833013137791, 4.544811989989672]",0.2943984379,0.5425849592,0.6543001707,0.7662987902,False,False,False,-587.9068244876,0,,0.0000000100,0
chronological_validation,3,24h_prior,rbf,2024-03-16,2025-09-13,514,2025-09-14,2025-12-13,91,85,1.6110894942,1.5254691119,"[0.7353410980695652, 0.06350412492280909, -0.22451125522403725, 26.742607003891052]","[0.4386254508772932, 0.7092088180571828, 0.6652704523616311, 4.403605903632099]",0.3110555272,0.5577235222,0.3987896233,0.7292833907,False,False,False,-696.2352739399,0,,0.0000000100,0
chronological_validation,3,24h_prior,matern32,2024-03-16,2025-09-13,514,2025-09-14,2025-12-13,91,85,1.6110894942,1.5254691119,"[0.7353410980695652, 0.06350412492280909, -0.22451125522403725, 26.742607003891052]","[0.4386254508772932, 0.7092088180571828, 0.6652704523616311, 4.403605903632099]",0.3794829670,0.6160218884,0.3485864246,0.6568160477,False,False,False,-694.6189019953,0,,0.0000000100,0
chronological_validation,3,12h_prior,rbf,2024-03-16,2025-09-13,515,2025-09-14,2025-12-13,91,85,1.5961165049,1.5418260722,"[0.7314677421059064, 0.05563479522593807, -0.21118924361167252, 26.688155339805828]","[0.4360979555317051, 0.7061125175453506, 0.6735792347665303, 4.461441655538315]",0.3869009412,0.6220136182,0.2921096141,0.6368320846,False,False,False,-685.8696001193,0,,0.0000000100,0
chronological_validation,3,12h_prior,matern32,2024-03-16,2025-09-13,515,2025-09-14,2025-12-13,91,85,1.5961165049,1.5418260722,"[0.7314677421059064, 0.05563479522593807, -0.21118924361167252, 26.688155339805828]","[0.4360979555317051, 0.7061125175453506, 0.6735792347665303, 4.461441655538315]",0.4549941091,0.6745325115,0.3076961420,0.5766353182,False,False,False,-683.3257362445,0,,0.0000000100,0
chronological_validation,3,6h_prior,rbf,2024-03-16,2025-09-13,517,2025-09-14,2025-12-13,91,82,1.5903288201,1.4420405460,"[0.7315454509310995, 0.061140738818701496, -0.21419373061879396, 26.738684719535787]","[0.43527860104172017, 0.7116831133353929, 0.6662507050754611, 4.406397298040706]",0.2904493203,0.5389335027,0.5757919704,0.7388626828,False,False,False,-691.2855514938,0,,0.0000000100,0
chronological_validation,3,6h_prior,matern32,2024-03-16,2025-09-13,517,2025-09-14,2025-12-13,91,82,1.5903288201,1.4420405460,"[0.7315454509310995, 0.061140738818701496, -0.21419373061879396, 26.738684719535787]","[0.43527860104172017, 0.7116831133353929, 0.6662507050754611, 4.406397298040706]",0.3345212852,0.5783781507,0.7241193554,0.7186994194,False,False,False,-690.7304578750,0,,0.0000000100,0
chronological_validation,3,event_day_open,rbf,2024-03-16,2025-09-13,514,2025-09-14,2025-12-13,91,85,1.6023346304,1.4409230170,"[0.7355168780914147, 0.0636536031761066, -0.22457895517924603, 26.73229571984436]","[0.4387052871885758, 0.7091080851154857, 0.6653406911629155, 4.423720965548377]",0.3023613345,0.5498739260,0.5329860357,0.7247291989,False,False,False,-685.6367211066,0,,0.0000000100,0
chronological_validation,3,event_day_open,matern32,2024-03-16,2025-09-13,514,2025-09-14,2025-12-13,91,85,1.6023346304,1.4409230170,"[0.7355168780914147, 0.0636536031761066, -0.22457895517924603, 26.73229571984436]","[0.4387052871885758, 0.7091080851154857, 0.6653406911629155, 4.423720965548377]",0.3512936587,0.5927003110,0.6893708683,0.7053839323,False,False,False,-685.0857856510,0,,0.0000000100,0
chronological_validation,4,24h_prior,rbf,2024-03-16,2025-12-13,599,2025-12-14,2026-03-15,92,83,1.5165275459,1.5618823332,"[0.8612294461715772, -0.05986283359302701, -0.1335750084150254, 26.709849749582638]","[0.5114810340792193, 0.7275239112461225, 0.6702858471176932, 4.27477203337886]",0.3745498141,0.6120047500,0.4532658353,0.6736591288,False,False,False,-791.9759955428,0,,0.0000000100,0
chronological_validation,4,24h_prior,matern32,2024-03-16,2025-12-13,599,2025-12-14,2026-03-15,92,83,1.5165275459,1.5618823332,"[0.8612294461715772, -0.05986283359302701, -0.1335750084150254, 26.709849749582638]","[0.5114810340792193, 0.7275239112461225, 0.6702858471176932, 4.27477203337886]",0.4281020227,0.6542950578,0.5402861720,0.6402422142,False,False,False,-790.3823792336,0,,0.0000000100,0
chronological_validation,4,12h_prior,rbf,2024-03-16,2025-12-12,600,2025-12-14,2026-03-15,92,81,1.5126666667,1.5548653389,"[0.8576904385442549, -0.0665122738640833, -0.12225107675076899, 26.653666666666666]","[0.5103439182411458, 0.723821943094737, 0.6758051393362337, 4.342432485242447]",0.4083811889,0.6390470944,0.3412506527,0.6152983511,False,False,False,-785.8404663290,0,,0.0000000100,0
chronological_validation,4,12h_prior,matern32,2024-03-16,2025-12-12,600,2025-12-14,2026-03-15,92,81,1.5126666667,1.5548653389,"[0.8576904385442549, -0.0665122738640833, -0.12225107675076899, 26.653666666666666]","[0.5103439182411458, 0.723821943094737, 0.6758051393362337, 4.342432485242447]",0.4620219094,0.6797219353,0.4141239846,0.5798550390,False,False,False,-783.1773740024,0,,0.0000000100,0
chronological_validation,4,6h_prior,rbf,2024-03-16,2025-12-12,599,2025-12-14,2026-03-15,92,82,1.5283806344,1.4654949133,"[0.8533859596540606, -0.05862000108314315, -0.12817947426626258, 26.701836393989982]","[0.5076885781774589, 0.7298436858602955, 0.6689259391440096, 4.315950147542385]",0.3554065515,0.5961598372,0.6352175026,0.6883640694,False,False,False,-783.4222545003,0,,0.0000000100,0
chronological_validation,4,6h_prior,matern32,2024-03-16,2025-12-12,599,2025-12-14,2026-03-15,92,82,1.5283806344,1.4654949133,"[0.8533859596540606, -0.05862000108314315, -0.12817947426626258, 26.701836393989982]","[0.5076885781774589, 0.7298436858602955, 0.6689259391440096, 4.315950147542385]",0.4418368178,0.6647080696,0.8937295801,0.6685977744,False,False,False,-782.2470369473,0,,0.0000000100,0
chronological_validation,4,event_day_open,rbf,2024-03-16,2025-12-13,599,2025-12-14,2026-03-15,92,83,1.5262103506,1.4671463321,"[0.8614077072287933, -0.0596947909437659, -0.13349601714843523, 26.684808013355592]","[0.5115420630249736, 0.7274527491220428, 0.6703937970584655, 4.3340195890034545]",0.3588000458,0.5989992035,0.6025925975,0.6833725151,False,False,False,-783.5110790534,0,,0.0000000100,0
chronological_validation,4,event_day_open,matern32,2024-03-16,2025-12-13,599,2025-12-14,2026-03-15,92,83,1.5262103506,1.4671463321,"[0.8614077072287933, -0.0596947909437659, -0.13349601714843523, 26.684808013355592]","[0.5115420630249736, 0.7274527491220428, 0.6703937970584655, 4.3340195890034545]",0.4529788057,0.6730370017,0.8716172955,0.6642567790,False,False,False,-782.1664579096,0,,0.0000000100,0
