transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
6h_to_open,730,mean_forecast_revision_c,0.015616438356164403,ordinary_date,,-0.03369863013698629,0.06506849315068496,10000,20261001,settlement_date
6h_to_open,730,mean_absolute_forecast_revision_c,0.46438356164383554,ordinary_date,,0.42876369863013686,0.5012328767123286,10000,20261001,settlement_date
6h_to_open,730,mean_absolute_error_improvement_c,0.046849315068493186,ordinary_date,,0.0042465753424657466,0.0916472602739726,10000,20261001,settlement_date
6h_to_open,730,mean_squared_error_improvement_c2,0.27082191780821924,ordinary_date,,0.08945000000000027,0.46393801369862997,10000,20261001,settlement_date
6h_to_open,730,improved_date_fraction,0.4438356164383562,ordinary_date,,0.40821917808219177,0.4794520547945205,10000,20261001,settlement_date
6h_to_open,730,directionally_correct_fraction_among_updates,0.5903010033444817,ordinary_date,,0.5502533288132503,0.6288668257918169,10000,20261001,settlement_date
6h_to_open,730,mean_forecast_revision_c,0.015616438356164403,circular_moving_block,3.0,-0.03753424657534236,0.0683561643835616,10000,20261002,settlement_date
6h_to_open,730,mean_absolute_forecast_revision_c,0.46438356164383554,circular_moving_block,3.0,0.4260273972602739,0.5042465753424656,10000,20261002,settlement_date
6h_to_open,730,mean_absolute_error_improvement_c,0.046849315068493186,circular_moving_block,3.0,0.0012328767123287792,0.09178424657534241,10000,20261002,settlement_date
6h_to_open,730,mean_squared_error_improvement_c2,0.27082191780821924,circular_moving_block,3.0,0.07863767123287677,0.46519315068493183,10000,20261002,settlement_date
6h_to_open,730,improved_date_fraction,0.4438356164383562,circular_moving_block,3.0,0.40684931506849314,0.4821917808219178,10000,20261002,settlement_date
6h_to_open,730,directionally_correct_fraction_among_updates,0.5903010033444817,circular_moving_block,3.0,0.5510887772194305,0.6296311401123799,10000,20261002,settlement_date
6h_to_open,730,mean_forecast_revision_c,0.015616438356164403,circular_moving_block,5.0,-0.03972602739726024,0.07095890410958902,10000,20261003,settlement_date
6h_to_open,730,mean_absolute_forecast_revision_c,0.46438356164383554,circular_moving_block,5.0,0.4236986301369862,0.5063013698630136,10000,20261003,settlement_date
6h_to_open,730,mean_absolute_error_improvement_c,0.046849315068493186,circular_moving_block,5.0,9.36845730368949e-18,0.09383561643835618,10000,20261003,settlement_date
6h_to_open,730,mean_squared_error_improvement_c2,0.27082191780821924,circular_moving_block,5.0,0.07998424657534262,0.4690277397260274,10000,20261003,settlement_date
6h_to_open,730,improved_date_fraction,0.4438356164383562,circular_moving_block,5.0,0.4054794520547945,0.48356164383561645,10000,20261003,settlement_date
6h_to_open,730,directionally_correct_fraction_among_updates,0.5903010033444817,circular_moving_block,5.0,0.5502533288132503,0.6302087520096463,10000,20261003,settlement_date
6h_to_open,730,mean_forecast_revision_c,0.015616438356164403,circular_moving_block,7.0,-0.04205479452054792,0.07260273972602743,10000,20261004,settlement_date
6h_to_open,730,mean_absolute_forecast_revision_c,0.46438356164383554,circular_moving_block,7.0,0.42191780821917807,0.5082191780821917,10000,20261004,settlement_date
6h_to_open,730,mean_absolute_error_improvement_c,0.046849315068493186,circular_moving_block,7.0,-0.0010958904109589166,0.09178424657534245,10000,20261004,settlement_date
6h_to_open,730,mean_squared_error_improvement_c2,0.27082191780821924,circular_moving_block,7.0,0.07151575342465762,0.46580821917808185,10000,20261004,settlement_date
6h_to_open,730,improved_date_fraction,0.4438356164383562,circular_moving_block,7.0,0.4041095890410959,0.48356164383561645,10000,20261004,settlement_date
6h_to_open,730,directionally_correct_fraction_among_updates,0.5903010033444817,circular_moving_block,7.0,0.5500876639070581,0.6292682926829268,10000,20261004,settlement_date
24h_to_6h,730,mean_forecast_revision_c,0.010821917808219138,ordinary_date,,-0.042054794520548,0.06438356164383556,10000,20261101,settlement_date
24h_to_6h,730,mean_absolute_forecast_revision_c,0.48506849315068495,ordinary_date,,0.4476712328767123,0.5246575342465754,10000,20261101,settlement_date
24h_to_6h,730,mean_absolute_error_improvement_c,0.05739726027397259,ordinary_date,,0.010273972602739764,0.10438356164383568,10000,20261101,settlement_date
24h_to_6h,730,mean_squared_error_improvement_c2,0.2643972602739727,ordinary_date,,0.06194109589041124,0.4717126712328769,10000,20261101,settlement_date
24h_to_6h,730,improved_date_fraction,0.4876712328767123,ordinary_date,,0.4520547945205479,0.5232876712328767,10000,20261101,settlement_date
24h_to_6h,730,directionally_correct_fraction_among_updates,0.6210191082802548,ordinary_date,,0.582277970600245,0.6588059541736794,10000,20261101,settlement_date
24h_to_6h,730,mean_forecast_revision_c,0.010821917808219138,circular_moving_block,3.0,-0.04287671232876711,0.06466095890410958,10000,20261102,settlement_date
24h_to_6h,730,mean_absolute_forecast_revision_c,0.48506849315068495,circular_moving_block,3.0,0.4458904109589041,0.5265753424657534,10000,20261102,settlement_date
24h_to_6h,730,mean_absolute_error_improvement_c,0.05739726027397259,circular_moving_block,3.0,0.008763698630136955,0.1078082191780821,10000,20261102,settlement_date
24h_to_6h,730,mean_squared_error_improvement_c2,0.2643972602739727,circular_moving_block,3.0,0.05066849315068511,0.48787431506849277,10000,20261102,settlement_date
24h_to_6h,730,improved_date_fraction,0.4876712328767123,circular_moving_block,3.0,0.44931506849315067,0.5260273972602739,10000,20261102,settlement_date
24h_to_6h,730,directionally_correct_fraction_among_updates,0.6210191082802548,circular_moving_block,3.0,0.5812101910828026,0.6598425196850394,10000,20261102,settlement_date
24h_to_6h,730,mean_forecast_revision_c,0.010821917808219138,circular_moving_block,5.0,-0.043698630136986376,0.0653424657534245,10000,20261103,settlement_date
24h_to_6h,730,mean_absolute_forecast_revision_c,0.48506849315068495,circular_moving_block,5.0,0.4438356164383562,0.5276712328767124,10000,20261103,settlement_date
24h_to_6h,730,mean_absolute_error_improvement_c,0.05739726027397259,circular_moving_block,5.0,0.0072602739726027425,0.1094520547945206,10000,20261103,settlement_date
24h_to_6h,730,mean_squared_error_improvement_c2,0.2643972602739727,circular_moving_block,5.0,0.04617568493150667,0.49815273972602736,10000,20261103,settlement_date
24h_to_6h,730,improved_date_fraction,0.4876712328767123,circular_moving_block,5.0,0.4465753424657534,0.5287671232876713,10000,20261103,settlement_date
24h_to_6h,730,directionally_correct_fraction_among_updates,0.6210191082802548,circular_moving_block,5.0,0.5797083601056615,0.6618128840110689,10000,20261103,settlement_date
24h_to_6h,730,mean_forecast_revision_c,0.010821917808219138,circular_moving_block,7.0,-0.04370205479452067,0.06657534246575343,10000,20261104,settlement_date
24h_to_6h,730,mean_absolute_forecast_revision_c,0.48506849315068495,circular_moving_block,7.0,0.44314726027397244,0.5286301369863015,10000,20261104,settlement_date
24h_to_6h,730,mean_absolute_error_improvement_c,0.05739726027397259,circular_moving_block,7.0,0.005886986301369831,0.10918150684931507,10000,20261104,settlement_date
24h_to_6h,730,mean_squared_error_improvement_c2,0.2643972602739727,circular_moving_block,7.0,0.03625616438356148,0.5054386986301371,10000,20261104,settlement_date
24h_to_6h,730,improved_date_fraction,0.4876712328767123,circular_moving_block,7.0,0.4465753424657534,0.5287671232876713,10000,20261104,settlement_date
24h_to_6h,730,directionally_correct_fraction_among_updates,0.6210191082802548,circular_moving_block,7.0,0.5784469096671949,0.6624803767660911,10000,20261104,settlement_date
12h_to_open,730,mean_forecast_revision_c,0.004794520547945222,ordinary_date,,-0.045756849315068515,0.05575684931506848,10000,20261201,settlement_date
12h_to_open,730,mean_absolute_forecast_revision_c,0.4935616438356164,ordinary_date,,0.4579417808219176,0.5302739726027397,10000,20261201,settlement_date
12h_to_open,730,mean_absolute_error_improvement_c,0.04260273972602743,ordinary_date,,-0.0015068493150684188,0.08739726027397263,10000,20261201,settlement_date
12h_to_open,730,mean_squared_error_improvement_c2,0.25878082191780827,ordinary_date,,0.07294417808219167,0.4555924657534244,10000,20261201,settlement_date
12h_to_open,730,improved_date_fraction,0.4602739726027397,ordinary_date,,0.4246575342465753,0.4945205479452055,10000,20261201,settlement_date
12h_to_open,730,directionally_correct_fraction_among_updates,0.5841269841269842,ordinary_date,,0.5461909253734425,0.6217958860759494,10000,20261201,settlement_date
12h_to_open,730,mean_forecast_revision_c,0.004794520547945222,circular_moving_block,3.0,-0.04945205479452052,0.059178082191780806,10000,20261202,settlement_date
12h_to_open,730,mean_absolute_forecast_revision_c,0.4935616438356164,circular_moving_block,3.0,0.4568458904109588,0.5316438356164382,10000,20261202,settlement_date
12h_to_open,730,mean_absolute_error_improvement_c,0.04260273972602743,circular_moving_block,3.0,-0.004794520547945091,0.08931849315068495,10000,20261202,settlement_date
12h_to_open,730,mean_squared_error_improvement_c2,0.25878082191780827,circular_moving_block,3.0,0.06612294520547957,0.45613938356164385,10000,20261202,settlement_date
