pipeline,model,decision_rule,strategy,threshold,n_positions,gross_pnl,break_even_cost_per_position
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.02,51,0.6400000000000006,0.012549019607843149
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.05,41,1.0115,0.024670731707317074
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.1,27,1.1454999999999997,0.042425925925925916
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.0,110,-0.0880000000000003,-0.0008000000000000027
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.02,51,0.4115,0.008068627450980392
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.05,41,0.6055000000000003,0.014768292682926835
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.1,23,1.3940000000000006,0.06060869565217394
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.0,110,-1.6629999999999996,-0.015118181818181814
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.02,67,-1.284,-0.019164179104477614
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.05,59,-2.0805,-0.03526271186440678
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.1,44,-1.8399999999999996,-0.04181818181818181
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.0,110,-0.7279999999999995,-0.006618181818181814
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.02,67,-1.7549999999999994,-0.02619402985074626
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.05,53,-1.3129999999999995,-0.024773584905660367
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.1,40,-1.6419999999999995,-0.04104999999999999
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.0,110,-0.3644999999999997,-0.003313636363636361
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.02,68,0.5260000000000002,0.007735294117647062
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.05,60,0.14200000000000018,0.0023666666666666697
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.1,45,-0.9464999999999995,-0.02103333333333332
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.0,110,-1.1150000000000002,-0.010136363636363638
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.02,65,-1.6649999999999998,-0.025615384615384613
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.05,56,-0.7265,-0.012973214285714286
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.1,45,-0.6264999999999998,-0.013922222222222218
21b,catboost_platt,12h_prior,proportional_positive_edge,0.0,88,-0.3107066801045061,-0.0035307577284602962
21b,catboost_platt,12h_prior,proportional_positive_edge,0.02,48,-0.38560760962142826,-0.008033491867113088
21b,catboost_platt,12h_prior,proportional_positive_edge,0.05,16,-0.5838566416183385,-0.036491040101146156
21b,catboost_platt,12h_prior,proportional_positive_edge,0.1,7,-0.7503208823311887,-0.1071886974758841
21b,catboost_platt,12h_prior,single_best_edge,0.0,10,-1.069,-0.1069
21b,catboost_platt,12h_prior,single_best_edge,0.02,10,-1.069,-0.1069
21b,catboost_platt,12h_prior,single_best_edge,0.05,10,-1.069,-0.1069
21b,catboost_platt,12h_prior,single_best_edge,0.1,6,-0.77,-0.12833333333333333
21b,catboost_platt,24h_prior,proportional_positive_edge,0.0,86,-0.008350096001162537,-9.709413954840159e-05
21b,catboost_platt,24h_prior,proportional_positive_edge,0.02,47,0.07562509430791294,0.0016090445597428285
21b,catboost_platt,24h_prior,proportional_positive_edge,0.05,13,0.5692341709311726,0.043787243917782506
21b,catboost_platt,24h_prior,proportional_positive_edge,0.1,4,-0.3282960069664757,-0.08207400174161893
21b,catboost_platt,24h_prior,single_best_edge,0.0,10,-0.06749999999999992,-0.006749999999999992
21b,catboost_platt,24h_prior,single_best_edge,0.02,10,-0.06749999999999992,-0.006749999999999992
21b,catboost_platt,24h_prior,single_best_edge,0.05,7,0.187,0.026714285714285715
21b,catboost_platt,24h_prior,single_best_edge,0.1,3,-0.37,-0.12333333333333334
21b,catboost_platt,6h_prior,proportional_positive_edge,0.0,92,-0.002802126373183403,-3.045789536068916e-05
21b,catboost_platt,6h_prior,proportional_positive_edge,0.02,54,0.03293471876067097,0.0006099021992716847
21b,catboost_platt,6h_prior,proportional_positive_edge,0.05,18,-0.22964094402274418,-0.012757830223485788
21b,catboost_platt,6h_prior,proportional_positive_edge,0.1,9,0.0731354648891589,0.0081261627654621
21b,catboost_platt,6h_prior,single_best_edge,0.0,10,-0.3055,-0.03055
21b,catboost_platt,6h_prior,single_best_edge,0.02,10,-0.3055,-0.03055
21b,catboost_platt,6h_prior,single_best_edge,0.05,10,-0.3055,-0.03055
21b,catboost_platt,6h_prior,single_best_edge,0.1,6,0.044499999999999984,0.007416666666666664
21b,catboost_platt,event_day_open,proportional_positive_edge,0.0,91,-0.2646134422733597,-0.002907840024981975
21b,catboost_platt,event_day_open,proportional_positive_edge,0.02,57,-0.3616269966150501,-0.0063443332739482475
21b,catboost_platt,event_day_open,proportional_positive_edge,0.05,15,-0.5277977705378856,-0.03518651803585904
21b,catboost_platt,event_day_open,proportional_positive_edge,0.1,8,-0.6865570376506098,-0.08581962970632623
21b,catboost_platt,event_day_open,single_best_edge,0.0,10,-1.0594999999999999,-0.10594999999999999
21b,catboost_platt,event_day_open,single_best_edge,0.02,10,-1.0594999999999999,-0.10594999999999999
21b,catboost_platt,event_day_open,single_best_edge,0.05,9,-0.993,-0.11033333333333334
21b,catboost_platt,event_day_open,single_best_edge,0.1,5,-0.7184999999999999,-0.1437
21b,catboost_raw,12h_prior,proportional_positive_edge,0.0,88,-0.5319142562678368,-0.006044480184861783
21b,catboost_raw,12h_prior,proportional_positive_edge,0.02,23,-0.7671176420410203,-0.03335294095830523
21b,catboost_raw,12h_prior,proportional_positive_edge,0.05,15,-0.6926906885035437,-0.04617937923356958
21b,catboost_raw,12h_prior,proportional_positive_edge,0.1,9,-0.41220298417533435,-0.04580033157503715
21b,catboost_raw,12h_prior,single_best_edge,0.0,10,-1.069,-0.1069
21b,catboost_raw,12h_prior,single_best_edge,0.02,10,-1.069,-0.1069
21b,catboost_raw,12h_prior,single_best_edge,0.05,10,-1.069,-0.1069
21b,catboost_raw,12h_prior,single_best_edge,0.1,7,-0.839,-0.11985714285714286
21b,catboost_raw,24h_prior,proportional_positive_edge,0.0,84,0.29542959297330634,0.0035170189639679326
21b,catboost_raw,24h_prior,proportional_positive_edge,0.02,25,0.18731183042877217,0.007492473217150887
21b,catboost_raw,24h_prior,proportional_positive_edge,0.05,15,0.244517675660542,0.016301178377369465
21b,catboost_raw,24h_prior,proportional_positive_edge,0.1,6,1.0154628348581967,0.16924380580969944
21b,catboost_raw,24h_prior,single_best_edge,0.0,10,0.08699999999999992,0.008699999999999992
21b,catboost_raw,24h_prior,single_best_edge,0.02,10,0.08699999999999992,0.008699999999999992
21b,catboost_raw,24h_prior,single_best_edge,0.05,10,0.08699999999999992,0.008699999999999992
21b,catboost_raw,24h_prior,single_best_edge,0.1,5,0.9699999999999996,0.19399999999999992
21b,catboost_raw,6h_prior,proportional_positive_edge,0.0,94,-0.03444857732092774,-0.0003664742268183802
21b,catboost_raw,6h_prior,proportional_positive_edge,0.02,23,-0.21512938725861616,-0.009353451619939833
21b,catboost_raw,6h_prior,proportional_positive_edge,0.05,16,-0.46335378567176055,-0.028959611604485035
21b,catboost_raw,6h_prior,proportional_positive_edge,0.1,9,0.07515678356297956,0.00835075372921995
21b,catboost_raw,6h_prior,single_best_edge,0.0,10,-0.5755,-0.057550000000000004
21b,catboost_raw,6h_prior,single_best_edge,0.02,10,-0.5755,-0.057550000000000004
21b,catboost_raw,6h_prior,single_best_edge,0.05,10,-0.5755,-0.057550000000000004
21b,catboost_raw,6h_prior,single_best_edge,0.1,6,0.044499999999999984,0.007416666666666664
21b,catboost_raw,event_day_open,proportional_positive_edge,0.0,94,-0.29974618631596817,-0.003188789216127321
21b,catboost_raw,event_day_open,proportional_positive_edge,0.02,23,-0.36962201996585176,-0.016070522607210945
21b,catboost_raw,event_day_open,proportional_positive_edge,0.05,14,-0.4204472738714101,-0.030031948133672152
21b,catboost_raw,event_day_open,proportional_positive_edge,0.1,10,-0.058916489756501544,-0.005891648975650155
21b,catboost_raw,event_day_open,single_best_edge,0.0,10,-0.8534999999999999,-0.08535
21b,catboost_raw,event_day_open,single_best_edge,0.02,10,-0.8534999999999999,-0.08535
21b,catboost_raw,event_day_open,single_best_edge,0.05,8,-0.1885,-0.0235625
21b,catboost_raw,event_day_open,single_best_edge,0.1,7,-0.09350000000000003,-0.01335714285714286
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.0,30,0.4471673533904784,0.014905578446349281
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.02,19,0.41012737691281803,0.021585651416464107
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.05,16,0.37921113662081574,0.023700696038800984
21b,ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.1,8,1.199036860786637,0.14987960759832963
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.0,10,0.651,0.0651
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.02,10,0.651,0.0651
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.05,10,0.651,0.0651
21b,ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.1,5,1.385,0.277
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.0,25,0.7067605791401037,0.028270423165604148
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.02,15,0.40819465796982096,0.027212977197988063
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.05,10,0.8854598987062907,0.08854598987062907
21b,ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.1,3,0.6100000000000001,0.20333333333333337
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.0,10,0.1919999999999999,0.019199999999999988
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.02,10,0.1919999999999999,0.019199999999999988
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.05,8,0.44,0.055
21b,ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.1,3,0.6100000000000001,0.20333333333333337
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,33,0.12094658946227506,0.0036650481655234866
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,24,0.09042524409093314,0.0037677185037888806
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,18,0.1435559883758991,0.007975332687549951
21b,ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,12,0.30935943552833967,0.025779952960694973
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,10,0.12999999999999992,0.012999999999999992
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,10,0.12999999999999992,0.012999999999999992
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,10,0.12999999999999992,0.012999999999999992
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,7,0.265,0.03785714285714286
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,36,0.3714773203783911,0.010318814454955309
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,23,0.3935944490684939,0.017112802133412777
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,16,0.3169499376217141,0.01980937110135713
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,10,0.251890121156482,0.025189012115648203
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.0,10,0.6734999999999999,0.06735
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,10,0.6734999999999999,0.06735
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,9,0.6935,0.07705555555555556
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,7,0.0734999999999999,0.010499999999999985
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.0,50,0.47260741040574805,0.009452148208114962
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.02,27,0.5528657130395243,0.02047650789035275
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.05,16,0.6189144590387995,0.03868215368992497
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.1,8,1.0447336201814,0.130591702522675
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.0,10,1.061,0.1061
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.02,10,1.061,0.1061
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.05,9,1.131,0.12566666666666668
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.1,6,1.44,0.24
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.0,39,0.9388720932518546,0.02407364341671422
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.02,22,1.037494466962803,0.047158839407400135
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.05,10,0.9072385919683053,0.09072385919683053
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.1,3,0.6100000000000001,0.20333333333333337
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.0,10,1.592,0.1592
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.02,10,1.592,0.1592
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.05,8,0.907,0.113375
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.1,3,0.6100000000000001,0.20333333333333337
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.0,54,0.09411121117518231,0.0017428002069478207
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.02,32,-0.007728090780076663,-0.00024150283687739572
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.05,25,-0.035204185171401364,-0.0014081674068560546
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.1,13,0.02505167710960024,0.0019270520853538647
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.0,10,0.46099999999999985,0.04609999999999999
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.02,9,0.266,0.029555555555555557
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.05,9,0.266,0.029555555555555557
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.1,8,0.29700000000000004,0.037125000000000005
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.0,56,-0.1253403697395303,-0.002238220888205898
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.02,34,-0.13964118671603842,-0.004107093726942307
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.05,25,-0.10172082594756116,-0.004068833037902446
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.1,9,0.37850885137259743,0.042056539041399714
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.0,10,-0.56,-0.05600000000000001
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.02,10,-0.56,-0.05600000000000001
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.05,10,-0.56,-0.05600000000000001
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.1,6,-0.30600000000000005,-0.05100000000000001
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.0,63,-0.34262780479018917,-0.005438536583971257
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.02,42,-0.3243096928881615,-0.007721659354480036
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.05,35,-0.2892923323271508,-0.008265495209347166
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.1,24,-0.3536180296358688,-0.0147340845681612
21b,ecmwf_raw,12h_prior,single_best_edge,0.0,10,-0.37950000000000006,-0.037950000000000005
21b,ecmwf_raw,12h_prior,single_best_edge,0.02,10,-0.37950000000000006,-0.037950000000000005
21b,ecmwf_raw,12h_prior,single_best_edge,0.05,9,-0.3195,-0.035500000000000004
21b,ecmwf_raw,12h_prior,single_best_edge,0.1,9,-0.3195,-0.035500000000000004
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.0,59,-0.35121812501665994,-0.005952849576553558
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.02,43,-0.395052379022606,-0.009187264628432697
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.05,32,-0.35387029207899884,-0.011058446627468714
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.1,19,-0.3829599938514285,-0.020155789150075182
21b,ecmwf_raw,24h_prior,single_best_edge,0.0,10,-0.5625000000000001,-0.05625000000000001
21b,ecmwf_raw,24h_prior,single_best_edge,0.02,10,-0.5625000000000001,-0.05625000000000001
21b,ecmwf_raw,24h_prior,single_best_edge,0.05,10,-0.5625000000000001,-0.05625000000000001
21b,ecmwf_raw,24h_prior,single_best_edge,0.1,9,-0.4525,-0.05027777777777778
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.0,64,-0.1592242089886694,-0.0024878782654479594
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.02,44,-0.162421912442684,-0.003691407100970091
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.05,38,-0.166579071996191,-0.0043836597893734475
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.1,27,-0.2688012836756409,-0.00995560309909781
21b,ecmwf_raw,6h_prior,single_best_edge,0.0,10,-0.24350000000000002,-0.024350000000000004
21b,ecmwf_raw,6h_prior,single_best_edge,0.02,10,-0.24350000000000002,-0.024350000000000004
21b,ecmwf_raw,6h_prior,single_best_edge,0.05,10,-0.24350000000000002,-0.024350000000000004
21b,ecmwf_raw,6h_prior,single_best_edge,0.1,10,-0.24350000000000002,-0.024350000000000004
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.0,67,-0.22907255057912643,-0.0034189932922257674
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.02,44,-0.21344437873884847,-0.004851008607701102
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.05,36,-0.2435066658815359,-0.006764074052264886
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.1,27,-0.21800717427780097,-0.008074339788066702
21b,ecmwf_raw,event_day_open,single_best_edge,0.0,10,-0.15500000000000003,-0.015500000000000003
21b,ecmwf_raw,event_day_open,single_best_edge,0.02,10,-0.15500000000000003,-0.015500000000000003
21b,ecmwf_raw,event_day_open,single_best_edge,0.05,10,-0.15500000000000003,-0.015500000000000003
21b,ecmwf_raw,event_day_open,single_best_edge,0.1,10,-0.15500000000000003,-0.015500000000000003
