event_date,decision_rule,market_slug,market_price_staleness_hours
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-28c,0.9988888888888888
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-29c,0.9977777777777778
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-30c,0.9980555555555556
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-31c,0.9975
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-32c,0.9988888888888888
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-33corhigher,0.9977777777777778
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-23corbelow,0.9986111111111112
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-24c,0.9991666666666666
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-25c,0.9986111111111112
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-26c,0.9980555555555556
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-27c,0.9980555555555556
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-28c,0.9991666666666666
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-29c,0.9980555555555556
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-30c,0.9986111111111112
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-31c,0.9977777777777778
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-32c,0.9991666666666666
2026-05-26,6h_prior,highest-temperature-in-hong-kong-on-may-26-2026-33corhigher,0.9980555555555556
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-23corbelow,0.9980555555555556
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-24c,0.9986111111111112
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-25c,0.9980555555555556
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-26c,0.9977777777777778
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-27c,0.9977777777777778
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-28c,0.9986111111111112
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-29c,0.9977777777777778
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-30c,0.9980555555555556
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-31c,0.9975
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-32c,0.9986111111111112
2026-05-26,event_day_open,highest-temperature-in-hong-kong-on-may-26-2026-33corhigher,0.9977777777777778
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-24corbelow,0.9991666666666666
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-25c,0.9991666666666666
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-26c,0.9986111111111112
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-27c,0.9980555555555556
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-28c,0.9980555555555556
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-29c,0.9991666666666666
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-30c,0.9980555555555556
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-31c,0.9980555555555556
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-32c,0.9986111111111112
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-33c,0.9986111111111112
2026-05-27,12h_prior,highest-temperature-in-hong-kong-on-may-27-2026-34corhigher,0.9991666666666666
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-24corbelow,0.9986111111111112
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-25c,0.9986111111111112
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-26c,0.9980555555555556
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-27c,0.9977777777777778
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-28c,0.9977777777777778
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-29c,0.9986111111111112
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-30c,0.9977777777777778
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-31c,0.9977777777777778
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-32c,0.9980555555555556
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-33c,0.9980555555555556
2026-05-27,24h_prior,highest-temperature-in-hong-kong-on-may-27-2026-34corhigher,0.9986111111111112
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-24corbelow,0.9991666666666666
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-25c,0.9991666666666666
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-26c,0.9986111111111112
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-27c,0.9980555555555556
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-28c,0.9980555555555556
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-29c,0.9991666666666666
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-30c,0.9980555555555556
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-31c,0.9980555555555556
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-32c,0.9986111111111112
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-33c,0.9986111111111112
2026-05-27,6h_prior,highest-temperature-in-hong-kong-on-may-27-2026-34corhigher,0.9991666666666666
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-24corbelow,0.9986111111111112
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-25c,0.9986111111111112
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-26c,0.9980555555555556
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-27c,0.9975
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-28c,0.9975
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-29c,0.9986111111111112
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-30c,0.9975
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-31c,0.9975
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-32c,0.9980555555555556
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-33c,0.9980555555555556
2026-05-27,event_day_open,highest-temperature-in-hong-kong-on-may-27-2026-34corhigher,0.9986111111111112
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-23corbelow,0.9991666666666666
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-24c,0.9991666666666666
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-25c,0.9991666666666666
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-26c,0.9983333333333332
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-27c,0.9983333333333332
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-28c,0.9986111111111112
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-29c,0.9983333333333332
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-30c,0.9983333333333332
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-31c,0.9991666666666666
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-32c,0.9983333333333332
2026-05-28,12h_prior,highest-temperature-in-hong-kong-on-may-28-2026-33corhigher,0.9980555555555556
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-23corbelow,0.9986111111111112
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-24c,0.9986111111111112
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-25c,0.9986111111111112
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-26c,0.9975
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-27c,0.9975
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-28c,0.9980555555555556
2026-05-28,24h_prior,highest-temperature-in-hong-kong-on-may-28-2026-29c,0.9975
