model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
catboost_platt,event_day_open,proportional_positive_edge,0.02,10,10,57,10.0,-0.3616269966150505,-0.03616269966150505,-0.03616269966150505,0.1
catboost_raw,event_day_open,proportional_positive_edge,0.02,10,10,23,10.0,-0.3696220199658519,-0.03696220199658519,-0.03696220199658519,0.2
catboost_platt,12h_prior,proportional_positive_edge,0.02,10,10,48,10.0,-0.3856076096214286,-0.03856076096214286,-0.03856076096214286,0.1
ecmwf_raw,24h_prior,proportional_positive_edge,0.02,10,10,43,10.0,-0.39505237902260626,-0.039505237902260626,-0.039505237902260626,0.1
catboost_raw,12h_prior,proportional_positive_edge,0.02,10,10,23,10.0,-0.7671176420410205,-0.07671176420410206,-0.07671176420410206,0.1
ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.02,10,10,10,10.0,1.592,0.1592,0.1592,0.4
ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.02,10,10,10,10.0,1.061,0.1061,0.1061,0.3
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,10,10,10,10.0,0.6734999999999999,0.06735,0.06735,0.2
ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.02,10,10,10,10.0,0.651,0.0651,0.0651,0.3
ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.02,10,9,9,9.0,0.266,0.026600000000000002,0.029555555555555557,0.1111111111111111
ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.02,10,10,10,10.0,0.1919999999999999,0.019199999999999988,0.019199999999999988,0.3
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,10,10,10,10.0,0.12999999999999998,0.012999999999999998,0.012999999999999998,0.2
catboost_raw,24h_prior,single_best_edge,0.02,10,10,10,10.0,0.08699999999999992,0.008699999999999992,0.008699999999999992,0.2
catboost_platt,24h_prior,single_best_edge,0.02,10,10,10,10.0,-0.06749999999999992,-0.006749999999999992,-0.006749999999999992,0.1
ecmwf_raw,event_day_open,single_best_edge,0.02,10,10,10,10.0,-0.15500000000000003,-0.015500000000000003,-0.015500000000000003,0.0
ecmwf_raw,6h_prior,single_best_edge,0.02,10,10,10,10.0,-0.24350000000000002,-0.024350000000000004,-0.024350000000000004,0.0
catboost_platt,6h_prior,single_best_edge,0.02,10,10,10,10.0,-0.3055,-0.03055,-0.03055,0.1
ecmwf_raw,12h_prior,single_best_edge,0.02,10,10,10,10.0,-0.37950000000000006,-0.037950000000000005,-0.037950000000000005,0.0
ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.02,10,10,10,10.0,-0.56,-0.05600000000000001,-0.05600000000000001,0.0
ecmwf_raw,24h_prior,single_best_edge,0.02,10,10,10,10.0,-0.5625000000000001,-0.05625000000000001,-0.05625000000000001,0.0
catboost_raw,6h_prior,single_best_edge,0.02,10,10,10,10.0,-0.5755,-0.057550000000000004,-0.057550000000000004,0.1
catboost_raw,event_day_open,single_best_edge,0.02,10,10,10,10.0,-0.8534999999999999,-0.08535,-0.08535,0.1
catboost_platt,event_day_open,single_best_edge,0.02,10,10,10,10.0,-1.0594999999999999,-0.10594999999999999,-0.10594999999999999,0.0
catboost_platt,12h_prior,single_best_edge,0.02,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0
catboost_raw,12h_prior,single_best_edge,0.02,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0
ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.05,10,8,10,8.0,0.9072385919683053,0.09072385919683053,0.11340482399603816,0.375
ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.05,10,8,10,8.0,0.8854598987062907,0.08854598987062907,0.11068248733828634,0.5
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.05,10,9,16,9.0,0.6189144590387994,0.06189144590387994,0.06876827322653327,0.3333333333333333
catboost_platt,24h_prior,proportional_positive_edge,0.05,10,7,13,7.0,0.5692341709311725,0.05692341709311725,0.0813191672758818,0.2857142857142857
ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.05,10,10,16,10.0,0.37921113662081574,0.037921113662081576,0.037921113662081576,0.4
