decision_rule,max_staleness_hours,mean_net_pnl_per_active_book,mean_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_opportunities,n_positions,n_trades,pipeline,positive_book_rate,positive_trade_rate,robustness_cost,robustness_scope,staleness_quantile,staleness_rule,strategy,threshold,total_net_pnl,unrestricted_staleness
24h_prior,0.9980555555555556,-0.0725,,catboost_platt,2.0,10.0,2,,2.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.145,False
event_day_open,0.9980555555555556,-0.0439098700805802,,ecmwf_bias_fixed_sigma,4.0,10.0,4,,11.0,,21b,0.25,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.175639480322321,False
6h_prior,0.9980555555555556,-0.03275,,ecmwf_raw,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.1965,False
12h_prior,0.9980555555555556,-0.0514,,ecmwf_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.257,False
24h_prior,0.9980555555555556,-0.055,,catboost_raw,5.0,10.0,5,,5.0,,21b,0.2,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.275,False
24h_prior,0.9980555555555556,-0.0650833333333333,,ecmwf_raw,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.3905,False
6h_prior,0.9980555555555556,-0.120060258623078,,catboost_platt,4.0,10.0,4,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.4802410344923123,False
24h_prior,0.9980555555555556,-0.1201406159054902,,catboost_raw,4.0,10.0,4,,5.0,,21b,0.25,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.4805624636219609,False
event_day_open,0.9980555555555556,-0.1642697761918045,,catboost_raw,3.0,10.0,3,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.4928093285754135,False
event_day_open,0.9980555555555556,-0.0759374999999999,,ecmwf_bias_fixed_sigma,8.0,10.0,8,,8.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.6075,False
6h_prior,0.9980555555555556,-0.1277303215350931,,catboost_raw,5.0,10.0,5,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.6386516076754657,False
event_day_open,0.9980555555555556,-0.1614279380320838,,catboost_platt,4.0,10.0,4,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.6457117521283353,False
6h_prior,0.9980555555555556,-0.136,,catboost_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.68,False
6h_prior,0.9980555555555556,-0.136,,catboost_platt,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.68,False
event_day_open,0.9980555555555556,-0.17125,,catboost_platt,4.0,10.0,4,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.685,False
event_day_open,0.9980555555555556,-0.17125,,catboost_raw,4.0,10.0,4,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.685,False
12h_prior,0.9980555555555556,-0.1441158457764836,,catboost_platt,5.0,10.0,5,,7.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.7205792288824183,False
