event_slug,threshold_K,yes_token_id,decision_rule,cutoff_utc,lookback_hours,interval,fidelity,status_code,history_rows,raw_path,request_url,text_preview
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,24,1m,60,200,8,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb24h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773309600&endTs=1773396000,"{""history"":[{""t"":1773313232,""p"":0.075},{""t"":1773320451,""p"":0.09},{""t"":1773324037,""p"":0.09},{""t"":1773327647,""p"":0.065},{""t"":1773331235,""p"":0.075},{""t"":1773338454,""p"":0.075},{""t"":1773342031,""p"":0.065},{""t"":1773345637,""p"":0.075}]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773579600&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773579600&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773579600&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,12,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773547200&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,12,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb12h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773547200&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,12,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb12h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773547200&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,24,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb24h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773504000&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,24,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb24h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773504000&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_event_day_hkt,2026-03-15 16:00:00+00:00,24,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_event_day_hkt__lb24h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773504000&endTs=1773590400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773493200&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773493200&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773493200&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,12,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773460800&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,12,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb12h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773460800&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,12,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb12h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773460800&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,24,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb24h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773417600&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,24,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb24h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773417600&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_24h_prior,2026-03-14 16:00:00+00:00,24,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_24h_prior__lb24h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773417600&endTs=1773504000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773536400&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773536400&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773536400&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,12,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773504000&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,12,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb12h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773504000&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,12,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb12h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=6h&fidelity=60&startTs=1773504000&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,24,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb24h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1m&fidelity=60&startTs=1773460800&endTs=1773547200,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-16-2026,24.0,96547736760253325103867666165708769433810210787956568202716956033901110343233,last_price_before_12h_prior,2026-03-15 04:00:00+00:00,24,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-16-2026__K24.0__965477367602533251038676__last_price_before_12h_prior__lb24h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=96547736760253325103867666165708769433810210787956568202716956033901110343233&interval=1h&fidelity=60&startTs=1773460800&endTs=1773547200,"{""history"":[]}
"
