event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market_raw,p_model_raw,q_market,q_model,normalised_edge,absolute_normalised_edge,market_probability_sum_raw,model_probability_sum_raw,book_n_contracts,allocation_weight,position_indicator,gross_pnl_component,net_pnl_component,strategy,threshold
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-26c,interior_bin,0,catboost_raw,0.0015,0.0087658949433135,0.0014381591562799617,0.0033375977896201244,0.0018994386333401627,0.0018994386333401627,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0,catboost_raw,0.025,0.3003241797326598,0.0239693192713327,0.11434785893821249,0.0903785396668798,0.0903785396668798,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-31c,interior_bin,0,catboost_raw,0.455,0.7804755218604593,0.43624161073825507,0.29716456716163053,-0.13907704357662454,0.13907704357662454,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-24c,interior_bin,0,catboost_raw,0.0005,0.0078588501517293,0.0004793863854266539,0.0029922422142847054,0.0025128558288580517,0.0025128558288580517,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-32c,interior_bin,1,catboost_raw,0.225,0.9430836721767668,0.21572387344199426,0.3590773104216789,0.14335343697968464,0.14335343697968464,1.043,2.6264084218222137,11,1.0,1,0.775,0.775,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-25c,interior_bin,0,catboost_raw,0.0005,0.0101206570258221,0.0004793863854266539,0.0038534208700108964,0.0033740344845842427,0.0033740344845842427,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-28c,interior_bin,0,catboost_raw,0.0035,0.0634641521162195,0.0033557046979865775,0.024163854939281606,0.02080815024129503,0.02080815024129503,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-27c,interior_bin,0,catboost_raw,0.0015,0.01581477501283,0.0014381591562799617,0.006021445439113251,0.0045832862828332896,0.0045832862828332896,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-23corbelow,lower_tail_endpoint,0,catboost_raw,0.0005,0.0024701780595329,0.0004793863854266539,0.0009405155873735279,0.000461129201946874,0.000461129201946874,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,6h_prior,highest-temperature-in-hong-kong-on-may-30-2026-33corhigher,upper_tail,0,catboost_raw,0.075,0.2266164124265244,0.07190795781399809,0.08628376704233111,0.014375809228333022,0.014375809228333022,1.043,2.6264084218222137,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-30c,interior_bin,0,catboost_raw,0.255,0.2044564829585368,0.24079320113314448,0.08442691504574307,-0.1563662860874014,0.1563662860874014,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-26c,interior_bin,0,catboost_raw,0.001,0.0079974984437158,0.0009442870632672333,0.0033024343954062138,0.0023581473321389805,0.0023581473321389805,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0,catboost_raw,0.0445,0.3179500038958066,0.042020774315391876,0.13129218295879977,0.08927140864340789,0.08927140864340789,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-31c,interior_bin,0,catboost_raw,0.42,0.7020153941828969,0.39660056657223797,0.2898856186306543,-0.10671494794158365,0.10671494794158365,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-24c,interior_bin,0,catboost_raw,0.0005,0.008173178876179,0.00047214353163361664,0.0033749787174650937,0.0029028351858314773,0.0029028351858314773,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-32c,interior_bin,1,catboost_raw,0.26,0.9071841930473604,0.24551463644948066,0.3746066727205851,0.12909203627110447,0.12909203627110447,1.059,2.421697901051589,11,1.0,1,0.74,0.74,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-25c,interior_bin,0,catboost_raw,0.0005,0.01057560683954,0.00047214353163361664,0.004367021516163386,0.003894877984529769,0.003894877984529769,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-28c,interior_bin,0,catboost_raw,0.006,0.0539330038070395,0.0056657223796034,0.02227073979112747,0.01660501741152407,0.01660501741152407,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-27c,interior_bin,0,catboost_raw,0.001,0.0147609603405793,0.0009442870632672333,0.006095293857326116,0.0051510067940588825,0.0051510067940588825,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-23corbelow,lower_tail_endpoint,0,catboost_raw,0.0005,0.0023296972598414,0.00047214353163361664,0.0009620098604494645,0.0004898663288158479,0.0004898663288158479,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-30,46,event_day_open,highest-temperature-in-hong-kong-on-may-30-2026-33corhigher,upper_tail,0,catboost_raw,0.07,0.1923218814000933,0.06610009442870633,0.07941613250628006,0.013316038077573727,0.013316038077573727,1.059,2.421697901051589,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
