event_date,hko_tmax_C,hko_tmax_min_C,hko_tmax_max_C,n_source_rows,hko_source_files,hko_value_conflict
2026-04-17,28.0,28.0,28.0,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-18,28.5,28.5,28.5,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-19,30.0,30.0,30.0,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-20,28.4,28.4,28.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-21,28.9,28.9,28.9,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-22,29.4,29.4,29.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-23,29.0,29.0,29.0,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-24,23.7,23.7,23.7,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-25,26.5,26.5,26.5,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-26,28.8,28.8,28.8,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-27,27.9,27.9,27.9,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-28,29.4,29.4,29.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-29,28.4,28.4,28.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-30,26.7,26.7,26.7,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
