model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-22,3,0.9999999999999999,-0.14900294601948552,-0.14900294601948552
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-23,4,1.0,0.49896114416537174,0.34995819814588625
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-24,3,1.0,-0.22971993805203084,0.12023826009385541
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-25,3,1.0,-0.0731199321296597,0.04711832796419571
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-26,4,1.0,-0.0803168831010235,-0.03319855513682779
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-27,3,0.9999999999999998,-0.09867555928319455,-0.13187411442002234
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-28,4,1.0,-0.0963640942389398,-0.22823820865896213
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-29,1,1.0,0.19499999999999995,-0.03323820865896218
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-30,3,1.0,-0.08872875262351326,-0.12196696128247544
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.0,2026-05-31,5,1.0,0.24291355074475052,0.12094658946227507
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-22,2,1.0,-0.1594375343310509,-0.1594375343310509
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-23,3,1.0,0.5038099185250187,0.34437238419396776
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-24,2,1.0,-0.23844713920855334,0.10592524498541442
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-25,2,0.9999999999999999,-0.0756333757984934,0.03029186918692102
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-26,3,1.0,-0.08135145107332359,-0.05105958188640257
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-27,2,1.0,-0.10232012013994747,-0.15337970202635004
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-28,3,0.9999999999999999,-0.09691767833477166,-0.2502973803611217
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-29,1,1.0,0.19499999999999995,-0.05529738036112175
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-30,2,1.0,-0.09811715563655439,-0.15341453599767613
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,2026-05-31,4,1.0,0.24383978008860901,0.09042524409093289
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-22,2,1.0,-0.1594375343310509,-0.1594375343310509
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-23,2,1.0,0.566547819330998,0.40711028499994706
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-24,1,1.0,-0.305,0.10211028499994707
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-25,1,1.0,-0.095,0.007110284999947064
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-26,3,1.0,-0.08135145107332359,-0.07424116607337652
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-27,2,1.0,-0.10232012013994747,-0.176561286213324
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-28,2,0.9999999999999999,-0.10529207111629191,-0.2818533573296159
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-29,1,1.0,0.19499999999999995,-0.08685335732961597
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-30,1,1.0,-0.025,-0.11185335732961596
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,2026-05-31,3,1.0,0.25540934570551505,0.14355598837589909
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-22,1,1.0,-0.085,-0.085
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-23,2,1.0,0.566547819330998,0.48154781933099794
