model,event_date,decision_rule,strategy,threshold,n_contracts,n_positions,stake_sum,selected_market_slug,selected_contract_event_type,selected_q_market,selected_q_model,selected_normalised_edge,selected_market_price_raw,selected_target,gross_pnl,net_pnl,winning_contract_selected,winning_contract_weight,mean_selected_normalised_edge
catboost_platt,2026-05-29,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.018101761252446183,0.2012669530399987,0.18316519178755253,0.0185,0.0,-0.0185,-0.0185,0.0,,
catboost_platt,2026-05-30,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0.06537186167693036,0.16020855247960827,0.09483669080267791,0.069,0.0,-0.069,-0.069,0.0,,
catboost_platt,2026-05-30,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0.03613884926295768,0.12445165836782757,0.08831280910486988,0.038,0.0,-0.038,-0.038,0.0,,
catboost_platt,2026-05-30,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-32c,interior_bin,0.21572387344199426,0.32700105220655135,0.11127717876455709,0.225,1.0,0.775,0.775,1.0,,
catboost_platt,2026-05-30,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-30-2026-29c,interior_bin,0.042020774315391876,0.12694451379750896,0.08492373948211708,0.0445,0.0,-0.0445,-0.0445,0.0,,
catboost_platt,2026-05-31,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-31-2026-29c,interior_bin,0.0631988332523092,0.17273320059071473,0.10953436733840553,0.065,0.0,-0.065,-0.065,0.0,,
catboost_platt,2026-05-31,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-31-2026-29c,interior_bin,0.044687189672293945,0.14932215530822524,0.10463496563593129,0.045,0.0,-0.045,-0.045,0.0,,
catboost_platt,2026-05-31,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-31-2026-31c,interior_bin,0.2531645569620253,0.35574844308095493,0.10258388611892966,0.26,0.0,-0.26,-0.26,0.0,,
catboost_platt,2026-05-31,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-31-2026-31c,interior_bin,0.2308802308802309,0.3770267030511143,0.1461464721708834,0.24,0.0,-0.24,-0.24,0.0,,
catboost_raw,2026-05-22,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0.06635071090047394,0.1272118229932922,0.06086111209281826,0.07,0.0,-0.07,-0.07,0.0,,
catboost_raw,2026-05-22,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-31corhigher,upper_tail,0.38406827880512096,0.5007481995833866,0.11667992077826561,0.405,1.0,0.595,0.595,1.0,,
catboost_raw,2026-05-22,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.08453505718547986,0.14006815860022118,0.05553310141474131,0.085,0.0,-0.085,-0.085,0.0,,
catboost_raw,2026-05-22,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.09077878643096035,0.15725454934871017,0.06647576291774981,0.095,0.0,-0.095,-0.095,0.0,,
catboost_raw,2026-05-23,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0.17657992565055766,0.33780854450712205,0.1612286188565644,0.19,0.0,-0.19,-0.19,0.0,,
catboost_raw,2026-05-23,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0.25917926565874727,0.3388977534589639,0.07971848780021662,0.3,0.0,-0.3,-0.3,0.0,,
catboost_raw,2026-05-23,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,upper_tail,0.10952380952380952,0.19690393286455393,0.08738012334074441,0.115,0.0,-0.115,-0.115,0.0,,
catboost_raw,2026-05-23,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-32c,interior_bin,0.29640427599611274,0.3407498127966796,0.044345536800566854,0.305,0.0,-0.305,-0.305,0.0,,
catboost_raw,2026-05-24,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.06363191385217817,0.12033223267447597,0.0567003188222978,0.065,0.0,-0.065,-0.065,0.0,,
catboost_raw,2026-05-24,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.06776379477250727,0.14825141802858868,0.08048762325608141,0.07,0.0,-0.07,-0.07,0.0,,
catboost_raw,2026-05-24,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,upper_tail,0.29669260700389105,0.37833925341940183,0.08164664641551078,0.305,0.0,-0.305,-0.305,0.0,,
catboost_raw,2026-05-24,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,upper_tail,0.35608308605341243,0.3982359174743885,0.04215283142097609,0.36,0.0,-0.36,-0.36,0.0,,
catboost_raw,2026-05-25,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.09125840537944285,0.16125394174798793,0.06999553636854508,0.095,0.0,-0.095,-0.095,0.0,,
catboost_raw,2026-05-25,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-32c,interior_bin,0.24228028503562946,0.3662626218683943,0.12398233683276486,0.255,1.0,0.745,0.745,1.0,,
catboost_raw,2026-05-25,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.1103646833013436,0.2036319707087438,0.09326728740740022,0.115,0.0,-0.115,-0.115,0.0,,
catboost_raw,2026-05-25,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.10890151515151518,0.20995835795719914,0.10105684280568396,0.115,0.0,-0.115,-0.115,0.0,,
catboost_raw,2026-05-26,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-31c,interior_bin,0.177970177970178,0.34931320840117697,0.17134303043099897,0.185,0.0,-0.185,-0.185,0.0,,
catboost_raw,2026-05-26,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-26-2026-31c,interior_bin,0.2528625954198474,0.31265085668300846,0.05978826126316106,0.265,0.0,-0.265,-0.265,0.0,,
