target_date,decision_rule,forecast_daily_max_c,forecast_issue_time_utc,decision_time_utc,unique_local_hours,source_period,forecast_value_source,daily_forecast_column,daily_forecast_corroborated,information_time_verified,hko_daily_max_c,residual_c,has_certified_market,chronology_block,development_fold,outcome_may_influence_model_choice,used_in_final_fit_before_holdout,used_to_refit_before_external_test
2026-04-05,event_day_open,24.5,2026-04-04T06:00:00Z,2026-04-04T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.7,1.1999999999999993,True,warmup_training,,True,True,False
2026-04-06,12h_prior,26.2,2026-04-04T18:00:00Z,2026-04-05T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.1,1.9000000000000021,True,warmup_training,,True,True,False
2026-04-06,24h_prior,26.5,2026-04-04T06:00:00Z,2026-04-04T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.1,1.6000000000000014,True,warmup_training,,True,True,False
2026-04-06,6h_prior,26.2,2026-04-05T00:00:00Z,2026-04-05T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.1,1.9000000000000021,True,warmup_training,,True,True,False
2026-04-06,event_day_open,26.6,2026-04-05T06:00:00Z,2026-04-05T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.1,1.5,True,warmup_training,,True,True,False
2026-04-07,12h_prior,27.9,2026-04-05T18:00:00Z,2026-04-06T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.2,1.3000000000000007,True,warmup_training,,True,True,False
2026-04-07,24h_prior,27.3,2026-04-05T06:00:00Z,2026-04-05T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.2,1.8999999999999986,True,warmup_training,,True,True,False
2026-04-07,6h_prior,28.1,2026-04-06T00:00:00Z,2026-04-06T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.2,1.0999999999999979,True,warmup_training,,True,True,False
2026-04-07,event_day_open,28.2,2026-04-06T06:00:00Z,2026-04-06T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.2,1.0,True,warmup_training,,True,True,False
2026-04-08,12h_prior,24.3,2026-04-06T18:00:00Z,2026-04-07T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.7,2.3999999999999986,True,warmup_training,,True,True,False
