model,event_date,decision_rule,strategy,threshold,n_contracts,n_positions,stake_sum,selected_market_slug,selected_contract_event_type,selected_q_market,selected_q_model,selected_normalised_edge,selected_market_price_raw,selected_target,gross_pnl,net_pnl,winning_contract_selected,winning_contract_weight,mean_selected_normalised_edge,market_price_staleness_hours,gross_pnl_original,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,active_book,passes_staleness_filter,robust_active_book,robust_net_pnl
ecmwf_raw,2026-05-24,12h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0475842493277253,-0.0475842493277253,,0.0,0.1392765544874421,0.9983333333333332,-0.0475842493277253,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.24758424932772533
ecmwf_raw,2026-05-24,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0353329654082022,-0.0353329654082022,,0.0,0.1589926726531632,0.9983333333333332,-0.0353329654082022,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.1853329654082022
ecmwf_raw,2026-05-24,6h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0191669687807292,-0.0191669687807292,,0.0,0.138214620483761,0.9991666666666666,-0.0191669687807292,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-24,event_day_open,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0108960779855118,-0.0108960779855118,,0.0,0.1589115259058452,0.9988888888888888,-0.0108960779855118,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-25,12h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0432607202527441,-0.0432607202527441,,0.0,0.1366989714851025,0.9986111111111112,-0.0432607202527441,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.24326072025274412
ecmwf_raw,2026-05-25,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0415989707337419,-0.0415989707337419,,0.0,0.1472222274958992,0.9988888888888888,-0.0415989707337419,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-25,6h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0330861437883661,-0.0330861437883661,,0.0,0.1523985456780479,0.9986111111111112,-0.0330861437883661,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.23308614378836612
ecmwf_raw,2026-05-25,event_day_open,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0231653169312295,-0.0231653169312295,,0.0,0.1590720843963375,0.9988888888888888,-0.0231653169312295,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-26,12h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0189828833871331,-0.0189828833871331,,0.0,0.1894842959089247,0.9986111111111112,-0.0189828833871331,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.16898288338713313
ecmwf_raw,2026-05-26,24h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0276628808136019,-0.0276628808136019,,0.0,0.1526167871490555,0.9988888888888888,-0.0276628808136019,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-26,6h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0110240703627969,-0.0110240703627969,,0.0,0.1683466008998792,0.9991666666666666,-0.0110240703627969,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-26,event_day_open,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.01470584048565,-0.01470584048565,,0.0,0.1930467451734737,0.9986111111111112,-0.01470584048565,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.16470584048565
ecmwf_raw,2026-05-27,12h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0556486455788552,-0.0556486455788552,,0.0,0.1248544101868037,0.9991666666666666,-0.0556486455788552,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-27,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0391576384661442,-0.0391576384661442,,0.0,0.1435889744232714,0.9986111111111112,-0.0391576384661442,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.18915763846614422
ecmwf_raw,2026-05-27,6h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0373307563796826,-0.0373307563796826,,0.0,0.1458360879709221,0.9991666666666666,-0.0373307563796826,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-27,event_day_open,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0316071857111119,-0.0316071857111119,,0.0,0.148594957008861,0.9986111111111112,-0.0316071857111119,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.2316071857111119
ecmwf_raw,2026-05-28,12h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0499886010709888,-0.0499886010709888,,0.0,0.142265659448185,0.9991666666666666,-0.0499886010709888,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-28,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0169981604419703,-0.0169981604419703,,0.0,0.1322004862904901,0.9980555555555556,-0.0169981604419703,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.16699816044197033
ecmwf_raw,2026-05-28,6h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0298337451286462,-0.0298337451286462,,0.0,0.1533112796211763,0.9952777777777778,-0.0298337451286462,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.2298337451286462
ecmwf_raw,2026-05-28,event_day_open,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0279584802275022,-0.0279584802275022,,0.0,0.1484687537757636,0.9991666666666666,-0.0279584802275022,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-29,12h_prior,proportional_positive_edge,0.05,11,0,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,False,False,0.0
ecmwf_raw,2026-05-29,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.1008483933728617,-0.1008483933728617,,0.0,0.0745327444470197,0.9991666666666666,-0.1008483933728617,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-29,6h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0688456776820368,-0.0688456776820368,,0.0,0.1103634797930383,0.9988888888888888,-0.0688456776820368,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-29,event_day_open,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0354038870808662,-0.0354038870808662,,0.0,0.1459642837025454,0.9991666666666666,-0.0354038870808662,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-30,12h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0267121191396659,-0.0267121191396659,,0.0,0.1517666849047199,0.9991666666666666,-0.0267121191396659,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-30,24h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0241644550273776,-0.0241644550273776,,0.0,0.1559509223408122,0.9991666666666666,-0.0241644550273776,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-30,6h_prior,proportional_positive_edge,0.05,11,3,1.0,,,,,,,,-0.0129613061914219,-0.0129613061914219,,0.0,0.1715220690668594,0.9988888888888888,-0.0129613061914219,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-30,event_day_open,proportional_positive_edge,0.05,11,2,1.0,,,,,,,,-0.0290234886397069,-0.0290234886397069,,0.0,0.1552284605374974,0.9983333333333332,-0.0290234886397069,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.12902348863970692
ecmwf_raw,2026-05-31,12h_prior,proportional_positive_edge,0.05,11,4,0.9999999999999998,,,,,,,,-0.0198579991843985,-0.0198579991843985,,0.0,0.1778489776419316,0.9986111111111112,-0.0198579991843985,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.21985799918439852
ecmwf_raw,2026-05-31,24h_prior,proportional_positive_edge,0.05,11,2,1.0,,,,,,,,-0.0378536260169589,-0.0378536260169589,,0.0,0.152612525573057,0.9983333333333332,-0.0378536260169589,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.1378536260169589
ecmwf_raw,2026-05-31,6h_prior,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0094289719425294,-0.0094289719425294,,0.0,0.1924793961219763,0.9991666666666666,-0.0094289719425294,0.05,empirical_q75,0.75,0.9986111111111112,False,True,False,False,0.0
ecmwf_raw,2026-05-31,event_day_open,proportional_positive_edge,0.05,11,4,1.0,,,,,,,,-0.0203758335027812,-0.0203758335027812,,0.0,0.1603572575565107,0.9983333333333332,-0.0203758335027812,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.22037583350278123
catboost_platt,2026-05-22,12h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0.0663507109004739,0.1375400912521964,0.0711893803517225,0.07,0.0,0.0,0.0,0.0,,,0.9966666666666668,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-22,24h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0.0758653390232337,0.1494698599957292,0.0736045209724955,0.08,0.0,0.0,0.0,0.0,,,0.9975,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
