model,decision_rule,threshold,n_opportunities,n_dates,n_trades,n_yes_trades,n_no_trades,trade_rate,mean_absolute_edge_all,mean_absolute_edge_trades,total_net_pnl,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,median_net_pnl_per_trade,hit_rate_trades
ecmwf_bias_fixed_sigma,event_day_open,0.0,110,10,110,54,56,1.0,0.05228603686674103,0.05228603686674103,-0.0880000000000003,-0.0008000000000000027,-0.0008000000000000027,-0.0005,0.45454545454545453
ecmwf_raw,12h_prior,0.0,110,10,110,63,47,1.0,0.0998983388371767,0.0998983388371767,-1.6629999999999996,-0.015118181818181814,-0.015118181818181814,-0.001,0.35454545454545455
ecmwf_raw,24h_prior,0.0,110,10,110,59,51,1.0,0.0876971809962108,0.0876971809962108,-0.7279999999999995,-0.006618181818181814,-0.006618181818181814,-0.0015,0.4090909090909091
ecmwf_raw,6h_prior,0.0,110,10,110,64,46,1.0,0.11267171461595309,0.11267171461595309,-0.3644999999999997,-0.003313636363636361,-0.003313636363636361,-0.0005,0.34545454545454546
ecmwf_raw,event_day_open,0.0,110,10,110,66,44,1.0,0.11335760064129106,0.11335760064129106,-1.1150000000000002,-0.010136363636363638,-0.010136363636363638,-0.0005,0.32727272727272727
catboost_platt,12h_prior,0.02,110,10,96,88,8,0.8727272727272727,0.09992951856949774,0.11203283832634929,-3.4524999999999992,-0.03138636363636363,-0.03596354166666666,-0.00375,0.08333333333333333
catboost_platt,24h_prior,0.02,110,10,89,83,6,0.8090909090909091,0.09239602773253527,0.1108848727463348,-3.095999999999999,-0.02814545454545454,-0.03478651685393259,-0.0035,0.07865168539325842
catboost_platt,6h_prior,0.02,110,10,94,87,7,0.8545454545454545,0.10484068691183288,0.1201849809091751,2.436,0.022145454545454545,0.02591489361702128,-0.0015,0.11702127659574468
catboost_platt,event_day_open,0.02,110,10,95,87,8,0.8636363636363636,0.10236385234747875,0.11615581433211193,1.7055000000000002,0.015504545454545457,0.017952631578947376,-0.0005,0.11578947368421053
catboost_raw,12h_prior,0.02,110,10,53,51,2,0.4818181818181818,0.12441002221595684,0.2492045363220621,-2.202,-0.020018181818181817,-0.041547169811320755,-0.065,0.1509433962264151
catboost_raw,24h_prior,0.02,110,10,56,51,5,0.509090909090909,0.12031529533626704,0.22856774229997215,-1.6955,-0.015413636363636364,-0.03027678571428571,-0.041999999999999996,0.19642857142857142
catboost_raw,6h_prior,0.02,110,10,51,48,3,0.4636363636363636,0.12751909749524146,0.26536468792340123,0.14649999999999996,0.0013318181818181814,0.0028725490196078425,-0.031,0.17647058823529413
catboost_raw,event_day_open,0.02,110,10,55,50,5,0.5,0.11840282601701918,0.22833503308078104,0.4755000000000005,0.004322727272727277,0.00864545454545455,-0.0185,0.2
ecmwf_bias_adaptive_sigma,12h_prior,0.02,110,10,39,18,21,0.35454545454545455,0.04009107071601864,0.10749045251784395,1.1785,0.010713636363636364,0.03021794871794872,-0.004,0.48717948717948717
ecmwf_bias_adaptive_sigma,24h_prior,0.02,110,10,36,14,22,0.32727272727272727,0.02468715793342933,0.06895462347024063,2.074500000000001,0.018859090909090916,0.057625,0.095,0.6111111111111112
ecmwf_bias_adaptive_sigma,6h_prior,0.02,110,10,43,24,19,0.39090909090909093,0.053152259363037795,0.13250708176801865,0.4275000000000001,0.0038863636363636374,0.009941860465116276,-0.025,0.3488372093023256
ecmwf_bias_adaptive_sigma,event_day_open,0.02,110,10,41,23,18,0.37272727272727274,0.04523172964683071,0.11892395257057833,1.4219999999999997,0.012927272727272725,0.034682926829268296,-0.019,0.34146341463414637
ecmwf_bias_fixed_sigma,12h_prior,0.02,110,10,43,26,17,0.39090909090909093,0.04109460544887155,0.0997534358867273,0.659,0.005990909090909091,0.015325581395348838,-0.02,0.3488372093023256
ecmwf_bias_fixed_sigma,24h_prior,0.02,110,10,41,20,21,0.37272727272727274,0.02911002420859046,0.072178250558874,0.2245000000000001,0.002040909090909092,0.005475609756097555,-0.014,0.43902439024390244
ecmwf_bias_fixed_sigma,6h_prior,0.02,110,10,51,32,19,0.4636363636363636,0.05609117034511253,0.11831852286384893,0.6400000000000002,0.00581818181818182,0.012549019607843144,-0.0065,0.27450980392156865
ecmwf_bias_fixed_sigma,event_day_open,0.02,110,10,51,34,17,0.4636363636363636,0.05228603686674103,0.11018902437283595,0.4115000000000002,0.003740909090909093,0.008068627450980392,-0.0165,0.23529411764705882
ecmwf_raw,12h_prior,0.02,110,10,67,42,25,0.6090909090909091,0.0998983388371767,0.1620111396069899,-1.2839999999999998,-0.01167272727272727,-0.019164179104477614,-0.005,0.2537313432835821
ecmwf_raw,24h_prior,0.02,110,10,67,43,24,0.6090909090909091,0.0876971809962108,0.14184121288855558,-1.7549999999999994,-0.01595454545454545,-0.02619402985074626,-0.0065,0.2537313432835821
ecmwf_raw,6h_prior,0.02,110,10,68,44,24,0.6181818181818182,0.11267171461595309,0.18003051091282374,0.526,0.004781818181818182,0.007735294117647061,-0.003,0.25
ecmwf_raw,event_day_open,0.02,110,10,65,43,22,0.5909090909090909,0.11335760064129106,0.18927453940254704,-1.6650000000000003,-0.015136363636363639,-0.025615384615384613,-0.0015,0.2
catboost_platt,12h_prior,0.05,110,10,51,46,5,0.4636363636363636,0.09992951856949774,0.17810764178592303,-3.2535,-0.029577272727272726,-0.0637941176470588,-0.055,0.09803921568627451
catboost_platt,24h_prior,0.05,110,10,49,45,4,0.44545454545454544,0.09239602773253527,0.1696591315702759,-2.0885,-0.018986363636363635,-0.04262244897959183,-0.039,0.12244897959183673
catboost_platt,6h_prior,0.05,110,10,51,47,4,0.4636363636363636,0.10484068691183288,0.19081117989344396,2.186,0.01987272727272727,0.042862745098039216,-0.025,0.17647058823529413
catboost_platt,event_day_open,0.05,110,10,50,44,6,0.45454545454545453,0.10236385234747875,0.18635680914662114,0.3639999999999999,0.003309090909090908,0.007279999999999997,-0.0175,0.14
catboost_raw,12h_prior,0.05,110,10,44,42,2,0.4,0.12441002221595684,0.29381480110147107,-1.962,-0.017836363636363636,-0.0445909090909091,-0.07250000000000001,0.18181818181818182
catboost_raw,24h_prior,0.05,110,10,46,41,5,0.41818181818181815,0.12031529533626704,0.2713110485269785,-1.493,-0.013572727272727275,-0.03245652173913043,-0.08499999999999999,0.2391304347826087
catboost_raw,6h_prior,0.05,110,10,43,40,3,0.39090909090909093,0.12751909749524146,0.3088377484326477,0.16849999999999987,0.0015318181818181806,0.003918604651162796,-0.065,0.20930232558139536
catboost_raw,event_day_open,0.05,110,10,43,38,5,0.39090909090909093,0.11840282601701918,0.28223864751382577,1.0845000000000002,0.009859090909090911,0.025220930232558135,-0.06,0.2558139534883721
ecmwf_bias_adaptive_sigma,12h_prior,0.05,110,10,32,16,16,0.2909090909090909,0.04009107071601864,0.12355978017608676,0.9710000000000001,0.008827272727272729,0.03034374999999999,-0.03,0.46875
ecmwf_bias_adaptive_sigma,24h_prior,0.05,110,10,22,9,13,0.2,0.02468715793342933,0.0918568720171239,2.0500000000000003,0.01863636363636364,0.0931818181818182,0.2125,0.6363636363636364
ecmwf_bias_adaptive_sigma,6h_prior,0.05,110,10,34,18,16,0.3090909090909091,0.053152259363037795,0.15916172325763,1.101,0.010009090909090908,0.03238235294117647,-0.028999999999999998,0.38235294117647056
ecmwf_bias_adaptive_sigma,event_day_open,0.05,110,10,30,16,14,0.2727272727272727,0.04523172964683071,0.15162200854041907,1.6164999999999998,0.014695454545454545,0.05388333333333331,-0.0645,0.36666666666666664
ecmwf_bias_fixed_sigma,12h_prior,0.05,110,10,30,15,15,0.2727272727272727,0.04109460544887155,0.1276951695196718,1.0645000000000002,0.009677272727272729,0.03548333333333333,-0.01375,0.43333333333333335
ecmwf_bias_fixed_sigma,24h_prior,0.05,110,10,25,10,15,0.22727272727272727,0.02911002420859046,0.09742141824494731,2.4515,0.022286363636363635,0.09806,0.215,0.6
ecmwf_bias_fixed_sigma,6h_prior,0.05,110,10,41,25,16,0.37272727272727274,0.05609117034511253,0.1394268448125959,1.0114999999999998,0.009195454545454545,0.024670731707317074,-0.03,0.2926829268292683
ecmwf_bias_fixed_sigma,event_day_open,0.05,110,10,41,25,16,0.37272727272727274,0.05228603686674103,0.13029831750345933,0.6054999999999998,0.005504545454545453,0.014768292682926835,-0.02,0.2682926829268293
ecmwf_raw,12h_prior,0.05,110,10,59,34,25,0.5363636363636364,0.0998983388371767,0.17927697184745395,-2.0805,-0.01891363636363636,-0.03526271186440678,-0.0075,0.2711864406779661
ecmwf_raw,24h_prior,0.05,110,10,53,29,24,0.4818181818181818,0.0876971809962108,0.17053036735711447,-1.3129999999999997,-0.011936363636363634,-0.024773584905660367,-0.0075,0.3018867924528302
ecmwf_raw,6h_prior,0.05,110,10,60,38,22,0.5454545454545454,0.11267171461595309,0.19985208234317117,0.14199999999999985,0.0012909090909090895,0.002366666666666668,-0.00375,0.25
ecmwf_raw,event_day_open,0.05,110,10,56,36,20,0.509090909090909,0.11335760064129106,0.21433346902952946,-0.7265000000000001,-0.006604545454545456,-0.012973214285714286,-0.00275,0.21428571428571427
catboost_platt,12h_prior,0.1,110,10,33,31,2,0.3,0.09992951856949774,0.23780097803749894,-0.5520000000000003,-0.005018181818181821,-0.01672727272727273,-0.065,0.15151515151515152
catboost_platt,24h_prior,0.1,110,10,31,29,2,0.2818181818181818,0.09239602773253527,0.22752852640353183,-0.4180000000000002,-0.0038000000000000017,-0.013483870967741934,-0.08,0.16129032258064516
catboost_platt,6h_prior,0.1,110,10,34,31,3,0.3090909090909091,0.10484068691183288,0.25174758117927215,0.9199999999999998,0.008363636363636361,0.027058823529411764,-0.052750000000000005,0.17647058823529413
catboost_platt,event_day_open,0.1,110,10,26,22,4,0.23636363636363636,0.10236385234747875,0.28963347960261177,-0.21450000000000014,-0.0019500000000000012,-0.008250000000000006,-0.06825,0.11538461538461539
catboost_raw,12h_prior,0.1,110,10,32,31,1,0.2909090909090909,0.12441002221595684,0.37420352771559834,-0.9019999999999999,-0.008199999999999999,-0.0281875,-0.0925,0.21875
catboost_raw,24h_prior,0.1,110,10,35,34,1,0.3181818181818182,0.12031529533626704,0.33283428181338065,-0.4235000000000003,-0.0038500000000000027,-0.012100000000000008,-0.11,0.22857142857142856
catboost_raw,6h_prior,0.1,110,10,35,34,1,0.3181818181818182,0.12751909749524146,0.3626237549650838,0.6485000000000001,0.005895454545454546,0.018528571428571426,-0.075,0.2571428571428571
catboost_raw,event_day_open,0.1,110,10,31,29,2,0.2818181818181818,0.11840282601701918,0.3651914017878697,-0.12949999999999973,-0.0011772727272727247,-0.004177419354838715,-0.09,0.22580645161290322
ecmwf_bias_adaptive_sigma,12h_prior,0.1,110,10,14,7,7,0.12727272727272726,0.04009107071601864,0.18992420116195738,4.345,0.0395,0.31035714285714283,0.3375,0.7857142857142857
ecmwf_bias_adaptive_sigma,24h_prior,0.1,110,10,7,3,4,0.06363636363636363,0.02468715793342933,0.146298648762416,1.675,0.015227272727272728,0.23928571428571432,0.30500000000000005,0.8571428571428571
ecmwf_bias_adaptive_sigma,6h_prior,0.1,110,10,23,12,11,0.20909090909090908,0.053152259363037795,0.2013724283036306,1.1454999999999997,0.010413636363636361,0.04980434782608696,-0.04,0.34782608695652173
ecmwf_bias_adaptive_sigma,event_day_open,0.1,110,10,19,8,11,0.17272727272727273,0.04523172964683071,0.19250366108069292,1.4415,0.013104545454545454,0.07586842105263158,-0.06,0.42105263157894735
ecmwf_bias_fixed_sigma,12h_prior,0.1,110,10,22,8,14,0.2,0.04109460544887155,0.15054805704245308,2.4050000000000002,0.021863636363636366,0.10931818181818183,0.2825,0.5909090909090909
ecmwf_bias_fixed_sigma,24h_prior,0.1,110,10,12,3,9,0.10909090909090909,0.02911002420859046,0.12985173118623686,1.9350000000000005,0.017590909090909095,0.16125,0.35250000000000004,0.75
ecmwf_bias_fixed_sigma,6h_prior,0.1,110,10,27,13,14,0.24545454545454545,0.05609117034511253,0.1741492272924241,1.1455000000000002,0.010413636363636364,0.042425925925925916,-0.03,0.37037037037037035
ecmwf_bias_fixed_sigma,event_day_open,0.1,110,10,23,9,14,0.20909090909090908,0.05228603686674103,0.1728027623741533,1.394,0.012672727272727271,0.06060869565217394,-0.0345,0.391304347826087
ecmwf_raw,12h_prior,0.1,110,10,44,24,20,0.4,0.0998983388371767,0.21521037431855652,-1.8399999999999996,-0.016727272727272723,-0.04181818181818181,-0.01375,0.2727272727272727
ecmwf_raw,24h_prior,0.1,110,10,40,19,21,0.36363636363636365,0.0876971809962108,0.20008231995947687,-1.6419999999999997,-0.014927272727272725,-0.04104999999999999,-0.021249999999999998,0.325
ecmwf_raw,6h_prior,0.1,110,10,45,27,18,0.4090909090909091,0.11267171461595309,0.24278293735374828,-0.9464999999999997,-0.008604545454545452,-0.02103333333333332,-0.0065,0.2222222222222222
ecmwf_raw,event_day_open,0.1,110,10,45,27,18,0.4090909090909091,0.11335760064129106,0.24856171523136736,-0.6264999999999998,-0.005695454545454544,-0.013922222222222218,-0.005,0.2222222222222222
