event_date,n_contracts,hko_tmax_C,yes_count,exactly_one_yes,target_rows_ready,n_lower_tail_endpoint,n_interior_bin,n_upper_tail,has_lower_endpoint,has_upper_endpoint,n_intervals,partition_has_gap,partition_has_overlap,partition_gap_detail,partition_overlap_detail,date_book_valid
2026-05-07,11,29.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-08,11,30.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-09,11,26.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-10,11,26.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-11,11,28.8,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-12,11,31.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-13,11,31.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-14,11,29.2,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-15,11,27.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-16,11,25.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-19,11,26.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-20,11,30.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-21,11,31.5,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-22,11,31.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-23,11,30.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-24,11,31.5,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-25,11,32.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-26,11,32.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-27,11,33.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-28,11,33.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-29,11,34.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-30,11,32.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-31,11,30.9,1,True,11,1,9,1,True,True,11,False,False,,,True
