event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market,p_model,edge_model_minus_market,threshold,position,trade_indicator,yes_trade_indicator,no_trade_indicator,gross_pnl,net_pnl,absolute_edge,correct_direction
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-29c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.065,0.1962664577005357,0.1312664577005357,0.05,YES,1,1,0,-0.065,-0.065,0.1312664577005357,0.0
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-32c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.36,0.1053465303583618,-0.25465346964163815,0.05,NO,1,0,1,0.36,0.36,0.25465346964163815,1.0
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-27c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0025,0.0065630559305989,0.0040630559305988995,0.05,FLAT,0,0,0,0.0,0.0,0.0040630559305988995,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-26c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,0.0003772738918008,-0.0001227261081992,0.05,FLAT,0,0,0,0.0,0.0,0.0001227261081992,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-24c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,1.1928706783459478e-07,-0.0004998807129321654,0.05,FLAT,0,0,0,0.0,0.0,0.0004998807129321654,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-28c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0055,0.0526729683791666,0.047172968379166604,0.05,FLAT,0,0,0,0.0,0.0,0.047172968379166604,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-25c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,9.939595826957692e-06,-0.0004900604041730423,0.05,FLAT,0,0,0,0.0,0.0,0.0004900604041730423,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-30c,interior_bin,1,ecmwf_bias_adaptive_sigma,0.095,0.3411935468061318,0.24619354680613179,0.05,YES,1,1,0,0.905,0.905,0.24619354680613179,1.0
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.405,0.2773660700388234,-0.12763392996117662,0.05,NO,1,0,1,0.405,0.405,0.12763392996117662,1.0
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-23corbelow,lower_tail_endpoint,0,ecmwf_bias_adaptive_sigma,0.0005,6.503380611810883e-10,-0.0004999993496619388,0.05,FLAT,0,0,0,0.0,0.0,0.0004999993496619388,
2026-05-23,39,6h_prior,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,upper_tail,0,ecmwf_bias_adaptive_sigma,0.115,0.0202040373613479,-0.0947959626386521,0.05,NO,1,0,1,0.115,0.115,0.0947959626386521,1.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-29c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0665,0.2902982067581239,0.2237982067581239,0.05,YES,1,1,0,-0.0665,-0.0665,0.2237982067581239,0.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-32c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.305,0.0413288637027873,-0.26367113629721267,0.05,NO,1,0,1,0.305,0.305,0.26367113629721267,1.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-27c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,0.0132887750315939,0.0127887750315939,0.05,FLAT,0,0,0,0.0,0.0,0.0127887750315939,
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-26c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,0.0007499738578755,0.00024997385787550004,0.05,FLAT,0,0,0,0.0,0.0,0.00024997385787550004,
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-24c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,1.5818283083390838e-07,-0.0004998418171691661,0.05,FLAT,0,0,0,0.0,0.0,0.0004998418171691661,
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-28c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.005,0.0965372362209933,0.0915372362209933,0.05,YES,1,1,0,-0.005,-0.005,0.0915372362209933,0.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-25c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,1.7176659312223563e-05,-0.00048282334068777645,0.05,FLAT,0,0,0,0.0,0.0,0.00048282334068777645,
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-30c,interior_bin,1,ecmwf_bias_adaptive_sigma,0.155,0.3637455352659067,0.2087455352659067,0.05,YES,1,1,0,0.845,0.845,0.2087455352659067,1.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.38,0.190195813460946,-0.189804186539054,0.05,NO,1,0,1,0.38,0.38,0.189804186539054,1.0
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-23corbelow,lower_tail_endpoint,0,ecmwf_bias_adaptive_sigma,0.0005,5.821940707306791e-10,-0.0004999994178059293,0.05,FLAT,0,0,0,0.0,0.0,0.0004999994178059293,
2026-05-23,39,event_day_open,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,upper_tail,0,ecmwf_bias_adaptive_sigma,0.115,0.003838260277436,-0.111161739722564,0.05,NO,1,0,1,0.115,0.115,0.111161739722564,1.0
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0065,0.0128383008426953,0.0063383008426953,0.05,FLAT,0,0,0,0.0,0.0,0.0063383008426953,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-24c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,4.72321626254768e-09,-0.0004999952767837375,0.05,FLAT,0,0,0,0.0,0.0,0.0004999952767837375,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-25c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,5.966590975736707e-07,-0.0004994033409024263,0.05,FLAT,0,0,0,0.0,0.0,0.0004994033409024263,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-30c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.145,0.2388269871459375,0.09382698714593751,0.05,YES,1,1,0,-0.145,-0.145,0.09382698714593751,0.0
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.065,0.0800908781125742,0.015090878112574202,0.05,FLAT,0,0,0,0.0,0.0,0.015090878112574202,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-23c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,1.7410795027927858e-11,-0.000499999982589205,0.05,FLAT,0,0,0,0.0,0.0,0.000499999982589205,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-27c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.002,0.0009784434216112,-0.0010215565783888,0.05,FLAT,0,0,0,0.0,0.0,0.0010215565783888,
