activity_count,decision_rule,headline_pnl,hit_rate_trades,mean_absolute_edge_all,mean_absolute_edge_trades,mean_net_pnl_per_active_book,mean_net_pnl_per_book,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,median_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_no_trades,n_opportunities,n_positions,n_trades,n_yes_trades,pipeline,positive_pnl_book_rate,strategy,strategy_scope,threshold,total_net_pnl,total_stake,trade_rate
10,12h_prior,0.651,,,,0.0651,0.0651,,,,ecmwf_bias_adaptive_sigma,10.0,10.0,,,,10.0,,,21b,0.3,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.651,10.0,
16,12h_prior,0.6189144590387994,,,,0.0687682732265332,0.0618914459038799,,,,ecmwf_bias_fixed_sigma,9.0,10.0,,,,16.0,,,21b,0.3333333333333333,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.6189144590387994,9.0,
41,event_day_open,0.6054999999999998,0.2682926829268293,0.052286036866741,0.1302983175034593,,,0.0055045454545454,0.0147682926829268,-0.02,ecmwf_bias_fixed_sigma,,,10.0,16.0,110.0,,41.0,25.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,0.6054999999999998,,0.3727272727272727
13,24h_prior,0.5692341709311725,,,,0.0813191672758818,0.0569234170931172,,,,catboost_platt,7.0,10.0,,,,13.0,,,21b,0.2857142857142857,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.5692341709311725,7.0,
8,24h_prior,0.4400000000000001,,,,0.055,0.044,,,,ecmwf_bias_adaptive_sigma,8.0,10.0,,,,8.0,,,21b,0.375,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.4400000000000001,8.0,
16,12h_prior,0.3792111366208157,,,,0.0379211136620815,0.0379211136620815,,,,ecmwf_bias_adaptive_sigma,10.0,10.0,,,,16.0,,,21b,0.4,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.3792111366208157,10.0,
50,event_day_open,0.3639999999999999,0.14,0.1023638523474787,0.1863568091466211,,,0.0033090909090909,0.0072799999999999,-0.0175,catboost_platt,,,10.0,6.0,110.0,,50.0,44.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,0.3639999999999999,,0.4545454545454545
16,event_day_open,0.3169499376217141,,,,0.035216659735746,0.0316949937621714,,,,ecmwf_bias_adaptive_sigma,9.0,10.0,,,,16.0,,,21b,0.3333333333333333,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.3169499376217141,9.0,
9,6h_prior,0.266,,,,0.0295555555555555,0.0266,,,,ecmwf_bias_fixed_sigma,9.0,10.0,,,,9.0,,,21b,0.1111111111111111,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.266,9.0,
15,24h_prior,0.244517675660542,,,,0.0244517675660542,0.0244517675660542,,,,catboost_raw,10.0,10.0,,,,15.0,,,21b,0.3,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.244517675660542,10.0,
7,24h_prior,0.187,,,,0.0267142857142857,0.0187,,,,catboost_platt,7.0,10.0,,,,7.0,,,21b,0.1428571428571428,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.187,7.0,
43,6h_prior,0.1684999999999998,0.2093023255813953,0.1275190974952414,0.3088377484326477,,,0.0015318181818181,0.0039186046511627,-0.065,catboost_raw,,,10.0,3.0,110.0,,43.0,40.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,0.1684999999999998,,0.3909090909090909
18,6h_prior,0.143555988375899,,,,0.0143555988375899,0.0143555988375899,,,,ecmwf_bias_adaptive_sigma,10.0,10.0,,,,18.0,,,21b,0.3,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.143555988375899,10.0,
60,6h_prior,0.1419999999999998,0.25,0.112671714615953,0.1998520823431711,,,0.001290909090909,0.0023666666666666,-0.00375,ecmwf_raw,,,10.0,22.0,110.0,,60.0,38.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,0.1419999999999998,,0.5454545454545454
10,6h_prior,0.1299999999999999,,,,0.0129999999999999,0.0129999999999999,,,,ecmwf_bias_adaptive_sigma,10.0,10.0,,,,10.0,,,21b,0.2,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.1299999999999999,10.0,
10,24h_prior,0.0869999999999999,,,,0.0086999999999999,0.0086999999999999,,,,catboost_raw,10.0,10.0,,,,10.0,,,21b,0.2,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.0869999999999999,10.0,
25,6h_prior,-0.0352041851714015,,,,-0.0039115761301557,-0.0035204185171401,,,,ecmwf_bias_fixed_sigma,9.0,10.0,,,,25.0,,,21b,0.2222222222222222,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.0352041851714015,9.0,
25,event_day_open,-0.1017208259475613,,,,-0.0101720825947561,-0.0101720825947561,,,,ecmwf_bias_fixed_sigma,10.0,10.0,,,,25.0,,,21b,0.2,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.1017208259475613,10.0,
10,event_day_open,-0.155,,,,-0.0155,-0.0155,,,,ecmwf_raw,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.155,10.0,
38,6h_prior,-0.1665790719961913,,,,-0.0166579071996191,-0.0166579071996191,,,,ecmwf_raw,10.0,10.0,,,,38.0,,,21b,0.1,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.1665790719961913,10.0,
8,event_day_open,-0.1885,,,,-0.0235625,-0.01885,,,,catboost_raw,8.0,10.0,,,,8.0,,,21b,0.125,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.1885,8.0,
18,6h_prior,-0.2296409440227442,,,,-0.0229640944022744,-0.0229640944022744,,,,catboost_platt,10.0,10.0,,,,18.0,,,21b,0.2,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.2296409440227442,10.0,
10,6h_prior,-0.2435,,,,-0.02435,-0.02435,,,,ecmwf_raw,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.2435,10.0,
36,event_day_open,-0.2435066658815363,,,,-0.0243506665881536,-0.0243506665881536,,,,ecmwf_raw,10.0,10.0,,,,36.0,,,21b,0.0,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.2435066658815363,10.0,
35,12h_prior,-0.2892923323271512,,,,-0.0321435924807945,-0.0289292332327151,,,,ecmwf_raw,9.0,10.0,,,,35.0,,,21b,0.1111111111111111,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.2892923323271512,9.0,
10,6h_prior,-0.3055,,,,-0.03055,-0.03055,,,,catboost_platt,10.0,10.0,,,,10.0,,,21b,0.1,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.3055,10.0,
9,12h_prior,-0.3195,,,,-0.0355,-0.03195,,,,ecmwf_raw,9.0,10.0,,,,9.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.3195,9.0,
32,24h_prior,-0.3538702920789991,,,,-0.0353870292078999,-0.0353870292078999,,,,ecmwf_raw,10.0,10.0,,,,32.0,,,21b,0.1,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.3538702920789991,10.0,
14,event_day_open,-0.4204472738714103,,,,-0.0525559092339262,-0.042044727387141,,,,catboost_raw,8.0,10.0,,,,14.0,,,21b,0.125,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.4204472738714103,8.0,
16,6h_prior,-0.4633537856717607,,,,-0.046335378567176,-0.046335378567176,,,,catboost_raw,10.0,10.0,,,,16.0,,,21b,0.2,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.4633537856717607,10.0,
15,event_day_open,-0.5277977705378857,,,,-0.0586441967264317,-0.0527797770537885,,,,catboost_platt,9.0,10.0,,,,15.0,,,21b,0.1111111111111111,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.5277977705378857,9.0,
10,event_day_open,-0.56,,,,-0.056,-0.056,,,,ecmwf_bias_fixed_sigma,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.56,10.0,
10,24h_prior,-0.5625000000000001,,,,-0.05625,-0.05625,,,,ecmwf_raw,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.5625000000000001,10.0,
10,6h_prior,-0.5755,,,,-0.05755,-0.05755,,,,catboost_raw,10.0,10.0,,,,10.0,,,21b,0.1,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.5755,10.0,
16,12h_prior,-0.5838566416183386,,,,-0.0583856641618338,-0.0583856641618338,,,,catboost_platt,10.0,10.0,,,,16.0,,,21b,0.1,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.5838566416183386,10.0,
15,12h_prior,-0.6926906885035438,,,,-0.0692690688503543,-0.0692690688503543,,,,catboost_raw,10.0,10.0,,,,15.0,,,21b,0.1,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,-0.6926906885035438,10.0,
56,event_day_open,-0.7265000000000001,0.2142857142857142,0.113357600641291,0.2143334690295294,,,-0.0066045454545454,-0.0129732142857142,-0.00275,ecmwf_raw,,,10.0,20.0,110.0,,56.0,36.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-0.7265000000000001,,0.509090909090909
9,event_day_open,-0.993,,,,-0.1103333333333333,-0.0993,,,,catboost_platt,9.0,10.0,,,,9.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-0.993,9.0,
10,12h_prior,-1.069,,,,-0.1069,-0.1069,,,,catboost_platt,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-1.069,10.0,
10,12h_prior,-1.069,,,,-0.1069,-0.1069,,,,catboost_raw,10.0,10.0,,,,10.0,,,21b,0.0,single_best_edge,standalone_decision_rule_book_strategy,0.05,-1.069,10.0,
53,24h_prior,-1.3129999999999995,0.3018867924528302,0.0876971809962108,0.1705303673571144,,,-0.0119363636363636,-0.0247735849056603,-0.0075,ecmwf_raw,,,10.0,24.0,110.0,,53.0,29.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-1.3129999999999995,,0.4818181818181818
46,24h_prior,-1.493,0.2391304347826087,0.120315295336267,0.2713110485269785,,,-0.0135727272727272,-0.0324565217391304,-0.0849999999999999,catboost_raw,,,10.0,5.0,110.0,,46.0,41.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-1.493,,0.4181818181818181
44,12h_prior,-1.962,0.1818181818181818,0.1244100222159568,0.293814801101471,,,-0.0178363636363636,-0.0445909090909091,-0.0725,catboost_raw,,,10.0,2.0,110.0,,44.0,42.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-1.962,,0.4
59,12h_prior,-2.0805,0.2711864406779661,0.0998983388371767,0.1792769718474539,,,-0.0189136363636363,-0.0352627118644067,-0.0075,ecmwf_raw,,,10.0,25.0,110.0,,59.0,34.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-2.0805,,0.5363636363636364
49,24h_prior,-2.0885,0.1224489795918367,0.0923960277325352,0.1696591315702759,,,-0.0189863636363636,-0.0426224489795918,-0.039,catboost_platt,,,10.0,4.0,110.0,,49.0,45.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-2.0885,,0.4454545454545454
51,12h_prior,-3.2535,0.0980392156862745,0.0999295185694977,0.178107641785923,,,-0.0295772727272727,-0.0637941176470588,-0.055,catboost_platt,,,10.0,5.0,110.0,,51.0,46.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,-3.2535,,0.4636363636363636
