n_contracts_common,expected_n_contracts,n_yes,book_ready,book_issue,market_total_book_probability,ecmwf_total_book_probability,market_abs_book_probability_error,ecmwf_abs_book_probability_error,market_winning_probability_raw,ecmwf_winning_probability_raw,market_winning_probability_normalised,ecmwf_winning_probability_normalised,market_normalised_categorical_log_score,ecmwf_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_normalised_multiclass_brier,delta_norm_log_market_minus_ecmwf,delta_norm_brier_market_minus_ecmwf,event_date,decision_rule
7,11,1.0,False,common=7 expected=11,,,,,,,,,,,,,,,2026-04-14,24h_prior
11,11,1.0,True,,0.9989999999999998,0.9999999999999998,0.001000000000000223,2.220446049250313e-16,0.675,0.5,0.6756756756756759,0.5000000000000001,0.3920420877760234,0.6931471805599451,0.1714963211459707,0.3423282127881484,-0.30110509278392167,-0.1708318916421777,2026-05-04,24h_prior
11,11,1.0,True,,1.025,0.9999999999999997,0.02499999999999991,3.3306690738754696e-16,0.285,0.161281317821055,0.2780487804878049,0.16128131782105506,1.279958711303858,1.8246051231190294,0.7136861392028554,0.862241673729871,-0.5446464118151715,-0.14855553452701564,2026-04-12,24h_prior
11,11,1.0,True,,1.0305,0.9999999999999994,0.03049999999999997,5.551115123125783e-16,0.365,0.033320683764183,0.35419699175157693,0.03332068376418302,1.0379020467480222,3.4015769407601066,0.545008958921737,1.1180491751773134,-2.3636748940120844,-0.5730402162555764,2026-05-01,24h_prior
11,11,1.0,True,,1.0879999999999996,0.9999999999999996,0.08799999999999963,4.440892098500626e-16,0.405,0.1818317583821429,0.3722426470588237,0.181831758382143,0.9882093603093484,1.7046734239243868,0.5307735456314877,0.8212859276019501,-0.7164640636150384,-0.29051238197046236,2026-05-03,24h_prior
6,11,1.0,False,common=6 expected=11,,,,,,,,,,,,,,,2026-04-17,24h_prior
11,11,1.0,True,,1.0665,0.9999999999999994,0.0665,5.551115123125783e-16,0.07,0.2605588311462989,0.06563525550867323,0.2605588311462991,2.7236422958620463,1.344926603953377,1.1125881351450617,0.6635543555844098,1.3787156919086694,0.44903377956065194,2026-05-16,24h_prior
11,11,1.0,True,,1.0500000000000003,0.9999999999999996,0.050000000000000266,4.440892098500626e-16,0.155,0.2015170661941665,0.1476190476190476,0.2015170661941666,1.9131203262323226,1.6018812054291944,1.051032199546485,0.872855471682523,0.3112391208031282,0.1781767278639621,2026-05-15,24h_prior
11,11,1.0,True,,1.0339999999999998,0.9999999999999996,0.03399999999999981,4.440892098500626e-16,0.345,0.1406220211694107,0.3336557059961316,0.14062202116941075,1.0976456380370145,1.9616796890431123,0.576464987335805,0.9034136696980591,-0.8640340510060978,-0.32694868236225416,2026-04-25,24h_prior
11,11,1.0,True,,1.0070000000000001,0.9999999999999994,0.007000000000000117,5.551115123125783e-16,0.24,0.2561336880197626,0.23833167825223434,0.2561336880197628,1.434091969376571,1.3620557519841747,0.8120860037335473,0.6778916349218245,0.0720362173923963,0.13419436881172286,2026-05-31,24h_prior
11,11,1.0,True,,1.094,0.9999999999999997,0.09400000000000008,3.3306690738754696e-16,0.32,0.0613738721449523,0.29250457038391225,0.061373872144952324,1.2292749871881543,2.79077106949329,0.6591475356690475,1.0619132187935376,-1.5614960823051358,-0.4027656831244901,2026-04-21,24h_prior
11,11,1.0,True,,1.0514999999999999,0.9999999999999997,0.05149999999999988,3.3306690738754696e-16,0.245,0.0547846815912408,0.23300047551117453,0.05478468159124082,1.4567147845980275,2.9043446571113547,0.7878114479484847,1.075159278868228,-1.4476298725133272,-0.28734783091974336,2026-05-30,24h_prior
11,11,1.0,True,,1.0414999999999999,0.9999999999999998,0.04149999999999987,2.220446049250313e-16,0.695,0.4207402905608977,0.6673067690830533,0.4207402905608978,0.4045054151362345,0.8657395226815934,0.16269787035344763,0.44882523574299116,-0.4612341075453589,-0.28612736538954353,2026-05-29,24h_prior
11,11,1.0,True,,1.171,0.9999999999999994,0.17100000000000004,5.551115123125783e-16,0.25,0.1108649016586423,0.2134927412467976,0.11086490165864235,1.544152445735471,2.1994429211145765,0.7685815257857663,0.9636952551623146,-0.6552904753791056,-0.19511372937654825,2026-03-23,24h_prior
11,11,1.0,True,,1.141,0.9999999999999996,0.14100000000000001,4.440892098500626e-16,0.345,0.1015429725067298,0.30236634531113055,0.10154297250672985,1.196115932830716,2.2872731956474293,0.627431769877585,0.9815860728635482,-1.0911572628167132,-0.3541543029859632,2026-04-22,24h_prior
11,11,1.0,True,,1.055,0.9999999999999996,0.05499999999999994,4.440892098500626e-16,0.185,0.2195389656117957,0.17535545023696683,0.2195389656117958,1.740940220831842,1.5162255423501918,0.850536600705285,0.7466214665994966,0.22471467848165028,0.10391513410578845,2026-03-24,24h_prior
11,11,1.0,True,,1.032,0.9999999999999996,0.03200000000000003,4.440892098500626e-16,0.38,0.1150696702217082,0.3682170542635659,0.11506967022170826,0.9990826933210766,2.1622175060437394,0.589919569887627,0.9600196705179335,-1.1631348127226628,-0.3701001006303065,2026-05-28,24h_prior
11,11,1.0,True,,1.1505,0.9999999999999998,0.15050000000000008,2.220446049250313e-16,0.555,0.3948629104640255,0.48239895697522817,0.3948629104640256,0.7289837957289861,0.9292166364374008,0.337158928500939,0.4861637831428048,-0.20023284070841474,-0.1490048546418658,2026-03-25,24h_prior
11,11,1.0,True,,0.9975,0.9999999999999994,0.0024999999999999467,5.551115123125783e-16,0.15,0.0253249029511799,0.15037593984962405,0.025324902951179912,1.8946168546677629,3.6759670609897803,0.9491834850283604,1.1340135177414878,-1.7813502063220175,-0.18483003271312748,2026-04-19,24h_prior
11,11,1.0,True,,0.972,0.9999999999999996,0.028000000000000025,4.440892098500626e-16,0.125,0.2107860862503066,0.1286008230452675,0.21078608625030668,2.051042067158138,1.5569114689985095,0.9747386704262562,0.7631074130021578,0.49413059815962845,0.21163125742409838,2026-03-27,24h_prior
11,11,1.0,True,,1.0624999999999996,0.9999999999999996,0.062499999999999556,4.440892098500626e-16,0.26,0.0547846815912408,0.2447058823529413,0.05478468159124083,1.4076982697830436,2.9043446571113547,0.7589452179930796,1.0751592788682283,-1.4966463873283111,-0.3162140608751487,2026-05-27,24h_prior
11,11,1.0,True,,1.161,0.9999999999999994,0.16100000000000003,5.551115123125783e-16,0.26,0.1818317583821429,0.2239448751076658,0.18183175838214302,1.4963553506823637,1.7046734239243866,0.7291836836135055,0.8209998068795616,-0.2083180732420229,-0.09181612326605615,2026-04-04,24h_prior
11,11,1.0,True,,1.0479999999999998,0.9999999999999997,0.04799999999999982,3.3306690738754696e-16,0.34,0.0760396778111262,0.32442748091603063,0.07603967781112622,1.1256932472707801,2.5764999984681207,0.6330082563661791,1.0327860917694793,-1.4508067511973406,-0.39977783540330025,2026-05-26,24h_prior
11,11,1.0,True,,1.1085,0.9999999999999997,0.10850000000000004,3.3306690738754696e-16,0.32,0.161281317821055,0.2886783942264321,0.16128131782105506,1.242442033262594,1.8246051231190294,0.6751751595952789,0.8653566711981195,-0.5821630898564354,-0.1901815116028407,2026-03-28,24h_prior
11,11,1.0,True,,1.082,0.9999999999999994,0.08200000000000007,5.551115123125783e-16,0.27,0.2417459610648366,0.24953789279112754,0.24174596106483673,1.3881445004080522,1.4198678518623964,0.7453644069823459,0.7011664460742931,-0.03172335145434424,0.044197960908052725,2026-05-02,24h_prior
