pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_opportunities,n_trades,n_dates,total_net_pnl,mean_net_pnl_per_trade,positive_trade_rate
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,14,6,0.1595000000000001,0.011392857142857158,0.42857142857142855
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,14,6,0.1595000000000001,0.011392857142857158,0.42857142857142855
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,12,4,-0.22049999999999995,-0.018374999999999985,0.3333333333333333
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,22,4,0.7085000000000001,0.03220454545454546,0.22727272727272727
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,21,4,0.7090000000000001,0.033761904761904764,0.23809523809523808
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,15,4,-0.1339999999999999,-0.00893333333333333,0.2
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,110,16,5,-0.501,-0.0313125,0.125
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,110,13,4,-0.34,-0.026153846153846156,0.15384615384615385
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,110,11,4,-0.18900000000000006,-0.017181818181818187,0.18181818181818182
21a,catboost_platt,12h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,57,10,-4.26,-0.07473684210526316,0.05263157894736842
21a,catboost_platt,12h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,26,9,-4.2105,-0.1619423076923077,0.038461538461538464
21a,catboost_platt,12h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,15,8,-1.92,-0.128,0.06666666666666667
21a,catboost_platt,24h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,49,10,-3.1984999999999992,-0.06527551020408164,0.08163265306122448
21a,catboost_platt,24h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,25,9,-2.224,-0.08895999999999998,0.12
21a,catboost_platt,24h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,13,8,-0.9649999999999999,-0.07423076923076923,0.15384615384615385
21a,catboost_platt,6h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,46,8,-0.6739999999999999,-0.014652173913043472,0.06521739130434782
21a,catboost_platt,6h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,23,7,-0.9394999999999998,-0.040847826086956515,0.043478260869565216
21a,catboost_platt,6h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,15,7,-0.8870000000000001,-0.059133333333333336,0.06666666666666667
21a,catboost_platt,event_day_open,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,51,10,0.6375,0.012500000000000004,0.11764705882352941
21a,catboost_platt,event_day_open,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,27,10,-0.5450000000000002,-0.02018518518518519,0.1111111111111111
21a,catboost_platt,event_day_open,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,16,9,-0.49849999999999994,-0.03115625000000001,0.125
21a,catboost_raw,12h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,30,9,-2.7695,-0.09231666666666666,0.13333333333333333
21a,catboost_raw,12h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,24,9,-2.535,-0.10562499999999998,0.16666666666666666
21a,catboost_raw,12h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,16,9,-1.52,-0.09499999999999999,0.1875
21a,catboost_raw,24h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,33,9,-2.4425000000000003,-0.0740151515151515,0.21212121212121213
21a,catboost_raw,24h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,27,9,-2.2750000000000004,-0.08425925925925926,0.25925925925925924
21a,catboost_raw,24h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,20,9,-0.9200000000000002,-0.046000000000000006,0.25
21a,catboost_raw,6h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,23,7,-1.3369999999999997,-0.05813043478260869,0.08695652173913043
21a,catboost_raw,6h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,18,7,-1.327,-0.0737222222222222,0.1111111111111111
21a,catboost_raw,6h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,14,7,-0.8949999999999999,-0.06392857142857143,0.14285714285714285
21a,catboost_raw,event_day_open,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,29,10,-1.1684999999999999,-0.040293103448275865,0.1724137931034483
21a,catboost_raw,event_day_open,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,25,10,-0.5779999999999998,-0.023120000000000012,0.2
21a,catboost_raw,event_day_open,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,17,8,-1.559,-0.09170588235294118,0.11764705882352941
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,24,8,2.4775,0.10322916666666666,0.5
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,20,8,2.13,0.1065,0.5
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,13,5,3.9399999999999995,0.30307692307692313,0.7692307692307693
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,24,8,1.7165000000000004,0.07152083333333335,0.5833333333333334
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,17,7,1.8700000000000006,0.11000000000000003,0.5882352941176471
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,5,4,1.1600000000000001,0.23200000000000004,0.8
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,22,7,0.9644999999999999,0.04384090909090909,0.3181818181818182
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,19,7,0.9954999999999999,0.052394736842105265,0.3684210526315789
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,13,6,0.8050000000000002,0.0619230769230769,0.3076923076923077
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,27,10,1.3975,0.051759259259259255,0.2962962962962963
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,23,9,1.0715,0.04658695652173912,0.30434782608695654
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,17,8,1.7515,0.10302941176470586,0.4117647058823529
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,25,9,2.0180000000000007,0.08072000000000003,0.4
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,18,7,2.3810000000000002,0.1322777777777778,0.5
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,13,6,2.8550000000000004,0.21961538461538466,0.6923076923076923
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,24,9,0.9045000000000003,0.037687500000000006,0.4583333333333333
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,14,8,1.4745000000000001,0.10532142857142858,0.5714285714285714
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,8,6,1.54,0.19250000000000003,0.75
