model,scope,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,dates
rbf,overall,all,0.24,0.2835616438356164,0.0435616438356164,0.0435616438356164,0.0018976168136611,365
rbf,overall,all,0.25,0.2986301369863013,0.0486301369863013,0.0486301369863013,0.0023648902233064,365
rbf,overall,all,0.26,0.3082191780821918,0.0482191780821917,0.0482191780821917,0.0023250891349221,365
rbf,overall,all,0.27,0.3219178082191781,0.051917808219178,0.051917808219178,0.0026954588102833,365
rbf,overall,all,0.28,0.3308219178082192,0.0508219178082191,0.0508219178082191,0.0025828673297053,365
rbf,overall,all,0.29,0.3397260273972602,0.0497260273972602,0.0497260273972602,0.002472677800713,365
rbf,overall,all,0.3,0.3452054794520548,0.0452054794520548,0.0452054794520548,0.0020435353724901,365
rbf,overall,all,0.31,0.3561643835616438,0.0461643835616438,0.0461643835616438,0.0021311503096265,365
rbf,overall,all,0.32,0.3760273972602739,0.0560273972602739,0.0560273972602739,0.0031390692437605,365
rbf,overall,all,0.33,0.3794520547945205,0.0494520547945205,0.0494520547945205,0.0024455057234002,365
rbf,overall,all,0.34,0.3890410958904109,0.0490410958904109,0.0490410958904109,0.0024050290861324,365
rbf,overall,all,0.35,0.3958904109589041,0.0458904109589041,0.0458904109589041,0.0021059298179771,365
rbf,overall,all,0.36,0.4027397260273972,0.0427397260273972,0.0427397260273972,0.0018266841808969,365
rbf,overall,all,0.37,0.4123287671232877,0.0423287671232877,0.0423287671232877,0.0017917245261775,365
rbf,overall,all,0.38,0.423972602739726,0.043972602739726,0.043972602739726,0.0019335897917057,365
rbf,overall,all,0.39,0.4321917808219178,0.0421917808219177,0.0421917808219177,0.0017801463689247,365
rbf,overall,all,0.4,0.4465753424657534,0.0465753424657534,0.0465753424657534,0.0021692625258022,365
rbf,overall,all,0.41,0.4527397260273972,0.0427397260273972,0.0427397260273972,0.0018266841808969,365
rbf,overall,all,0.42,0.4595890410958904,0.0395890410958904,0.0395890410958904,0.0015672921748921,365
rbf,overall,all,0.43,0.4684931506849315,0.0384931506849315,0.0384931506849315,0.0014817226496528,365
rbf,overall,all,0.44,0.476027397260274,0.0360273972602739,0.0360273972602739,0.0012979733533495,365
rbf,overall,all,0.45,0.4849315068493151,0.034931506849315,0.034931506849315,0.0012202101707637,365
rbf,overall,all,0.46,0.4904109589041096,0.0304109589041095,0.0304109589041095,0.0009248264214674,365
rbf,overall,all,0.47,0.5,0.03,0.03,0.0009,365
rbf,overall,all,0.48,0.510958904109589,0.030958904109589,0.030958904109589,0.0009584537436667,365
rbf,overall,all,0.49,0.5171232876712328,0.0271232876712328,0.0271232876712328,0.0007356727340964,365
rbf,overall,all,0.5,0.5280821917808219,0.0280821917808219,0.0280821917808219,0.0007886094952148,365
rbf,overall,all,0.51,0.5356164383561643,0.0256164383561643,0.0256164383561643,0.0006562019140551,365
rbf,overall,all,0.52,0.5417808219178082,0.0217808219178081,0.0217808219178081,0.0004744042034152,365
rbf,overall,all,0.53,0.5513698630136986,0.0213698630136985,0.0213698630136985,0.0004566710452242,365
rbf,overall,all,0.54,0.5602739726027397,0.0202739726027396,0.0202739726027396,0.0004110339650966,365
rbf,overall,all,0.55,0.5684931506849316,0.0184931506849315,0.0184931506849315,0.0003419966222555,365
rbf,overall,all,0.56,0.5773972602739726,0.0173972602739725,0.0173972602739725,0.0003026646650403,365
rbf,overall,all,0.57,0.5897260273972603,0.0197260273972603,0.0197260273972603,0.0003891161568774,365
rbf,overall,all,0.58,0.5986301369863014,0.0186301369863014,0.0186301369863014,0.0003470820041283,365
rbf,overall,all,0.59,0.6061643835616438,0.0161643835616438,0.0161643835616438,0.0002612872959279,365
rbf,overall,all,0.6,0.6136986301369863,0.0136986301369863,0.0136986301369863,0.0001876524676299,365
rbf,overall,all,0.61,0.6212328767123287,0.0112328767123287,0.0112328767123287,0.0001261775192343,365
rbf,overall,all,0.62,0.6308219178082192,0.0108219178082191,0.0108219178082191,0.0001171139050478,365
rbf,overall,all,0.63,0.6356164383561644,0.0056164383561644,0.0056164383561644,3.154437980859504e-05,365
rbf,overall,all,0.64,0.6410958904109589,0.0010958904109589,0.0010958904109589,1.2009757928317144e-06,365
rbf,overall,all,0.65,0.65,0.0,0.0,0.0,365
rbf,overall,all,0.66,0.6575342465753424,-0.0024657534246576,0.0024657534246576,6.079939951210692e-06,365
rbf,overall,all,0.67,0.6636986301369863,-0.0063013698630137,0.0063013698630137,3.970726215049821e-05,365
rbf,overall,all,0.68,0.6732876712328767,-0.0067123287671233,0.0067123287671233,4.5055357477951735e-05,365
rbf,overall,all,0.69,0.6876712328767123,-0.0023287671232876,0.0023287671232876,5.4231563145055175e-06,365
rbf,overall,all,0.7,0.697945205479452,-0.0020547945205479,0.0020547945205479,4.222180521673711e-06,365
rbf,overall,all,0.71,0.7041095890410959,-0.005890410958904,0.005890410958904,3.4696941264777284e-05,365
rbf,overall,all,0.72,0.7116438356164384,-0.0083561643835615,0.0083561643835615,6.982548320510293e-05,365
rbf,overall,all,0.73,0.7232876712328767,-0.0067123287671232,0.0067123287671232,4.505535747795024e-05,365
rbf,overall,all,0.74,0.7315068493150685,-0.0084931506849315,0.0084931506849315,7.213360855695249e-05,365
rbf,overall,all,0.75,0.7410958904109589,-0.008904109589041,0.008904109589041,7.928316757365343e-05,365
rbf,overall,all,0.76,0.7561643835616438,-0.0038356164383561,0.0038356164383561,1.4711953462188077e-05,365
rbf,overall,all,0.77,0.7643835616438356,-0.0056164383561644,0.0056164383561644,3.154437980859504e-05,365
rbf,overall,all,0.78,0.7773972602739726,-0.0026027397260274,0.0026027397260274,6.774254081441317e-06,365
rbf,overall,all,0.79,0.7835616438356164,-0.0064383561643835,0.0064383561643835,4.1452430099456256e-05,365
rbf,overall,all,0.8,0.7917808219178082,-0.0082191780821918,0.0082191780821918,6.755488834678303e-05,365
rbf,overall,all,0.81,0.8027397260273973,-0.0072602739726027,0.0072602739726027,5.271157815725306e-05,365
rbf,overall,all,0.82,0.815068493150685,-0.0049315068493149,0.0049315068493149,2.4319759804840578e-05,365
rbf,overall,all,0.83,0.8226027397260274,-0.0073972602739725,0.0073972602739725,5.471945956089294e-05,365
rbf,overall,all,0.84,0.8328767123287671,-0.0071232876712328,0.0071232876712328,5.0741227247137565e-05,365
rbf,overall,all,0.85,0.8438356164383561,-0.0061643835616438,0.0061643835616438,3.799962469506477e-05,365
rbf,overall,all,0.86,0.8541095890410959,-0.005890410958904,0.005890410958904,3.4696941264777284e-05,365
rbf,overall,all,0.87,0.863013698630137,-0.006986301369863,0.006986301369863,4.880840683054965e-05,365
rbf,overall,all,0.88,0.8753424657534247,-0.0046575342465753,0.0046575342465753,2.169262525802207e-05,365
rbf,overall,all,0.89,0.8835616438356164,-0.0064383561643835,0.0064383561643835,4.1452430099456256e-05,365
rbf,overall,all,0.9,0.8965753424657534,-0.0034246575342465,0.0034246575342465,1.1728279226871929e-05,365
rbf,overall,all,0.91,0.9047945205479452,-0.0052054794520548,0.0052054794520548,2.709701632576527e-05,365
rbf,overall,all,0.92,0.9136986301369864,-0.0063013698630137,0.0063013698630137,3.970726215049821e-05,365
rbf,overall,all,0.93,0.9226027397260274,-0.0073972602739726,0.0073972602739726,5.471945956089458e-05,365
rbf,overall,all,0.94,0.93013698630137,-0.00986301369863,0.00986301369863,9.727903921936448e-05,365
rbf,overall,all,0.95,0.9424657534246575,-0.0075342465753424,0.0075342465753424,5.676487145805879e-05,365
rbf,overall,all,0.96,0.952054794520548,-0.0079452054794519,0.0079452054794519,6.312629011071391e-05,365
rbf,overall,all,0.97,0.9732876712328768,0.0032876712328767,0.0032876712328767,1.080878213548543e-05,365
rbf,overall,all,0.98,0.9863013698630136,0.0063013698630136,0.0063013698630136,3.970726215049681e-05,365
rbf,overall,all,0.99,0.9952054794520548,0.0052054794520548,0.0052054794520548,2.709701632576527e-05,365
rbf,decision_rule,24h_prior,0.01,0.0136986301369863,0.0036986301369863,0.0036986301369863,1.36798648902233e-05,365
rbf,decision_rule,24h_prior,0.02,0.021917808219178,0.001917808219178,0.001917808219178,3.677988365547006e-06,365
rbf,decision_rule,24h_prior,0.03,0.0410958904109589,0.0110958904109589,0.0110958904109589,0.000123118784012,365
rbf,decision_rule,24h_prior,0.04,0.0575342465753424,0.0175342465753424,0.0175342465753424,0.0003074498029649,365
rbf,decision_rule,24h_prior,0.05,0.0712328767123287,0.0212328767123287,0.0212328767123287,0.0004508350534809,365
rbf,decision_rule,24h_prior,0.06,0.0794520547945205,0.0194520547945205,0.0194520547945205,0.000378382435729,365
rbf,decision_rule,24h_prior,0.07,0.0904109589041095,0.0204109589041095,0.0204109589041095,0.0004166072433852,365
rbf,decision_rule,24h_prior,0.08,0.1013698630136986,0.0213698630136986,0.0213698630136986,0.0004566710452242,365
rbf,decision_rule,24h_prior,0.09,0.1095890410958904,0.0195890410958904,0.0195890410958904,0.0003837305310564,365
rbf,decision_rule,24h_prior,0.1,0.1232876712328767,0.0232876712328767,0.0232876712328767,0.0005423156314505,365
rbf,decision_rule,24h_prior,0.11,0.1424657534246575,0.0324657534246575,0.0324657534246575,0.0010540251454306,365
rbf,decision_rule,24h_prior,0.12,0.1506849315068493,0.0306849315068493,0.0306849315068493,0.00094156502158,365
rbf,decision_rule,24h_prior,0.13,0.1561643835616438,0.0261643835616438,0.0261643835616438,0.0006845749671608,365
rbf,decision_rule,24h_prior,0.14,0.1780821917808219,0.0380821917808218,0.0380821917808218,0.0014502533308312,365
rbf,decision_rule,24h_prior,0.15,0.1945205479452054,0.0445205479452054,0.0445205479452054,0.0019820791893413,365
rbf,decision_rule,24h_prior,0.16,0.2054794520547945,0.0454794520547945,0.0454794520547945,0.0020683805592043,365
rbf,decision_rule,24h_prior,0.17,0.2164383561643835,0.0464383561643835,0.0464383561643835,0.0021565209232501,365
rbf,decision_rule,24h_prior,0.18,0.2219178082191781,0.041917808219178,0.041917808219178,0.0017571026458997,365
rbf,decision_rule,24h_prior,0.19,0.2410958904109589,0.0510958904109589,0.0510958904109589,0.0026107900168887,365
rbf,decision_rule,24h_prior,0.2,0.2493150684931507,0.0493150684931506,0.0493150684931506,0.0024319759804841,365
rbf,decision_rule,24h_prior,0.21,0.2520547945205479,0.0420547945205479,0.0420547945205479,0.0017686057421655,365
rbf,decision_rule,24h_prior,0.22,0.2630136986301369,0.0430136986301369,0.0430136986301369,0.0018501782698442,365
rbf,decision_rule,24h_prior,0.23,0.2657534246575342,0.0357534246575342,0.0357534246575342,0.0012783073747419,365
rbf,decision_rule,24h_prior,0.24,0.273972602739726,0.033972602739726,0.033972602739726,0.0011541377369112,365
rbf,decision_rule,24h_prior,0.25,0.2876712328767123,0.0376712328767123,0.0376712328767123,0.0014191217864514,365
rbf,decision_rule,24h_prior,0.26,0.2931506849315068,0.0331506849315068,0.0331506849315068,0.001098967911428,365
rbf,decision_rule,24h_prior,0.27,0.3068493150684931,0.0368493150684931,0.0368493150684931,0.001357872021017,365
rbf,decision_rule,24h_prior,0.28,0.3150684931506849,0.0350684931506848,0.0350684931506848,0.0012297992118596,365
rbf,decision_rule,24h_prior,0.29,0.3205479452054794,0.0305479452054794,0.0305479452054794,0.0009331769562769,365
rbf,decision_rule,24h_prior,0.3,0.3232876712328767,0.0232876712328767,0.0232876712328767,0.0005423156314505,365
rbf,decision_rule,24h_prior,0.31,0.3315068493150685,0.0215068493150685,0.0215068493150685,0.000462544567461,365
rbf,decision_rule,24h_prior,0.32,0.3452054794520548,0.0252054794520548,0.0252054794520548,0.0006353161944079,365
rbf,decision_rule,24h_prior,0.33,0.347945205479452,0.017945205479452,0.017945205479452,0.0003220303996997,365
rbf,decision_rule,24h_prior,0.34,0.3534246575342465,0.0134246575342465,0.0134246575342465,0.0001802214299118,365
rbf,decision_rule,24h_prior,0.35,0.3698630136986301,0.0198630136986301,0.0198630136986301,0.0003945393131919,365
rbf,decision_rule,24h_prior,0.36,0.3780821917808219,0.0180821917808219,0.0180821917808219,0.0003269656595984,365
rbf,decision_rule,24h_prior,0.37,0.3863013698630137,0.0163013698630137,0.0163013698630137,0.0002657346594107,365
rbf,decision_rule,24h_prior,0.38,0.4054794520547945,0.0254794520547945,0.0254794520547945,0.0006492024770125,365
rbf,decision_rule,24h_prior,0.39,0.4191780821917808,0.0291780821917808,0.0291780821917808,0.0008513604803903,365
rbf,decision_rule,24h_prior,0.4,0.4328767123287671,0.0328767123287671,0.0328767123287671,0.0010808782135485,365
rbf,decision_rule,24h_prior,0.41,0.4383561643835616,0.0283561643835616,0.0283561643835616,0.0008040720585475,365
rbf,decision_rule,24h_prior,0.42,0.4465753424657534,0.0265753424657534,0.0265753424657534,0.000706248827172,365
rbf,decision_rule,24h_prior,0.43,0.4493150684931506,0.0193150684931506,0.0193150684931506,0.0003730718708951,365
rbf,decision_rule,24h_prior,0.44,0.4602739726027397,0.0202739726027397,0.0202739726027397,0.0004110339650966,365
rbf,decision_rule,24h_prior,0.45,0.4712328767123288,0.0212328767123287,0.0212328767123287,0.0004508350534809,365
rbf,decision_rule,24h_prior,0.46,0.473972602739726,0.013972602739726,0.013972602739726,0.0001952336273221,365
rbf,decision_rule,24h_prior,0.47,0.4849315068493151,0.0149315068493151,0.0149315068493151,0.0002229498967911,365
rbf,decision_rule,24h_prior,0.48,0.4958904109589041,0.0158904109589041,0.0158904109589041,0.0002525051604428,365
rbf,decision_rule,24h_prior,0.49,0.5013698630136987,0.0113698630136986,0.0113698630136986,0.0001292737849502,365
rbf,decision_rule,24h_prior,0.5,0.5123287671232877,0.0123287671232876,0.0123287671232876,0.0001519984987802,365
rbf,decision_rule,24h_prior,0.51,0.5123287671232877,0.0023287671232876,0.0023287671232876,5.4231563145055175e-06,365
rbf,decision_rule,24h_prior,0.52,0.5178082191780822,-0.0021917808219178,0.0021917808219178,4.803903171326858e-06,365
rbf,decision_rule,24h_prior,0.53,0.5260273972602739,-0.0039726027397261,0.0039726027397261,1.578157252767936e-05,365
rbf,decision_rule,24h_prior,0.54,0.5342465753424658,-0.0057534246575342,0.0057534246575342,3.310189528992317e-05,365
rbf,decision_rule,24h_prior,0.55,0.5561643835616439,0.0061643835616438,0.0061643835616438,3.799962469506477e-05,365
rbf,decision_rule,24h_prior,0.56,0.5561643835616439,-0.0038356164383561,0.0038356164383561,1.4711953462188077e-05,365
rbf,decision_rule,24h_prior,0.57,0.5589041095890411,-0.0110958904109588,0.0110958904109588,0.000123118784012,365
rbf,decision_rule,24h_prior,0.58,0.5589041095890411,-0.0210958904109588,0.0210958904109588,0.0004450365922311,365
rbf,decision_rule,24h_prior,0.59,0.5726027397260274,-0.0173972602739725,0.0173972602739725,0.0003026646650403,365
rbf,decision_rule,24h_prior,0.6,0.5863013698630137,-0.0136986301369862,0.0136986301369862,0.0001876524676299,365
rbf,decision_rule,24h_prior,0.61,0.5917808219178082,-0.0182191780821917,0.0182191780821917,0.0003319384499906,365
rbf,decision_rule,24h_prior,0.62,0.6136986301369863,-0.0063013698630136,0.0063013698630136,3.970726215049681e-05,365
rbf,decision_rule,24h_prior,0.63,0.6136986301369863,-0.0163013698630136,0.0163013698630136,0.0002657346594107,365
rbf,decision_rule,24h_prior,0.64,0.6164383561643836,-0.0235616438356164,0.0235616438356164,0.0005551510602364,365
rbf,decision_rule,24h_prior,0.65,0.6246575342465753,-0.0253424657534246,0.0253424657534246,0.0006422405704635,365
rbf,decision_rule,24h_prior,0.66,0.6356164383561644,-0.0243835616438355,0.0243835616438355,0.0005945580784387,365
rbf,decision_rule,24h_prior,0.67,0.6438356164383562,-0.0261643835616438,0.0261643835616438,0.0006845749671608,365
rbf,decision_rule,24h_prior,0.68,0.6465753424657534,-0.0334246575342466,0.0334246575342466,0.0011172077312816,365
rbf,decision_rule,24h_prior,0.69,0.6520547945205479,-0.037945205479452,0.037945205479452,0.0014398386188778,365
rbf,decision_rule,24h_prior,0.7,0.6657534246575343,-0.0342465753424656,0.0342465753424656,0.0011728279226871,365
rbf,decision_rule,24h_prior,0.71,0.6712328767123288,-0.0387671232876711,0.0387671232876711,0.0015028898480014,365
rbf,decision_rule,24h_prior,0.72,0.6794520547945205,-0.0405479452054794,0.0405479452054794,0.0016441358603865,365
rbf,decision_rule,24h_prior,0.73,0.684931506849315,-0.0450684931506849,0.0450684931506849,0.0020311690748733,365
rbf,decision_rule,24h_prior,0.74,0.6931506849315069,-0.0468493150684931,0.0468493150684931,0.0021948583223869,365
rbf,decision_rule,24h_prior,0.75,0.6958904109589041,-0.0541095890410958,0.0541095890410958,0.0029278476261962,365
rbf,decision_rule,24h_prior,0.76,0.7178082191780822,-0.0421917808219177,0.0421917808219177,0.0017801463689247,365
rbf,decision_rule,24h_prior,0.77,0.7178082191780822,-0.0521917808219177,0.0521917808219177,0.0027239819853631,365
rbf,decision_rule,24h_prior,0.78,0.7479452054794521,-0.0320547945205479,0.0320547945205479,0.0010275098517545,365
rbf,decision_rule,24h_prior,0.79,0.7534246575342466,-0.0365753424657534,0.0365753424657534,0.0013377556764871,365
rbf,decision_rule,24h_prior,0.8,0.7671232876712328,-0.0328767123287672,0.0328767123287672,0.0010808782135485,365
rbf,decision_rule,24h_prior,0.81,0.7808219178082192,-0.0291780821917808,0.0291780821917808,0.0008513604803903,365
rbf,decision_rule,24h_prior,0.82,0.7945205479452054,-0.0254794520547945,0.0254794520547945,0.0006492024770125,365
rbf,decision_rule,24h_prior,0.83,0.8054794520547945,-0.0245205479452054,0.0245205479452054,0.0006012572715331,365
rbf,decision_rule,24h_prior,0.84,0.8191780821917808,-0.0208219178082191,0.0208219178082191,0.0004335522612122,365
rbf,decision_rule,24h_prior,0.85,0.8410958904109589,-0.008904109589041,0.008904109589041,7.928316757365343e-05,365
rbf,decision_rule,24h_prior,0.86,0.8465753424657534,-0.0134246575342465,0.0134246575342465,0.0001802214299118,365
rbf,decision_rule,24h_prior,0.87,0.8602739726027397,-0.0097260273972602,0.0097260273972602,9.4595608932257e-05,365
rbf,decision_rule,24h_prior,0.88,0.873972602739726,-0.006027397260274,0.006027397260274,3.6329517733158697e-05,365
rbf,decision_rule,24h_prior,0.89,0.8767123287671232,-0.0132876712328767,0.0132876712328767,0.000176562206793,365
rbf,decision_rule,24h_prior,0.9,0.8876712328767123,-0.0123287671232876,0.0123287671232876,0.0001519984987802,365
rbf,decision_rule,24h_prior,0.91,0.8931506849315068,-0.0168493150684931,0.0168493150684931,0.0002838994182773,365
rbf,decision_rule,24h_prior,0.92,0.9068493150684932,-0.0131506849315068,0.0131506849315068,0.0001729405141677,365
rbf,decision_rule,24h_prior,0.93,0.9178082191780822,-0.0121917808219178,0.0121917808219178,0.0001486395196096,365
rbf,decision_rule,24h_prior,0.94,0.926027397260274,-0.013972602739726,0.013972602739726,0.0001952336273221,365
rbf,decision_rule,24h_prior,0.95,0.9342465753424658,-0.0157534246575341,0.0157534246575341,0.0002481703884406,365
rbf,decision_rule,24h_prior,0.96,0.9397260273972604,-0.0202739726027396,0.0202739726027396,0.0004110339650966,365
rbf,decision_rule,24h_prior,0.97,0.958904109589041,-0.0110958904109589,0.0110958904109589,0.000123118784012,365
rbf,decision_rule,24h_prior,0.98,0.978082191780822,-0.001917808219178,0.001917808219178,3.677988365547019e-06,365
rbf,decision_rule,24h_prior,0.99,0.9917808219178084,0.0017808219178082,0.0017808219178082,3.171326702946296e-06,365
rbf,decision_rule,12h_prior,0.01,0.0191780821917808,0.0091780821917808,0.0091780821917808,8.423719271908428e-05,365
rbf,decision_rule,12h_prior,0.02,0.0301369863013698,0.0101369863013698,0.0101369863013698,0.0001027584912741,365
rbf,decision_rule,12h_prior,0.03,0.0465753424657534,0.0165753424657534,0.0165753424657534,0.000274741977857,365
rbf,decision_rule,12h_prior,0.04,0.0602739726027397,0.0202739726027397,0.0202739726027397,0.0004110339650966,365
rbf,decision_rule,12h_prior,0.05,0.0767123287671232,0.0267123287671232,0.0267123287671232,0.0007135485081628,365
rbf,decision_rule,12h_prior,0.06,0.0958904109589041,0.0358904109589041,0.0358904109589041,0.001288121598799,365
rbf,decision_rule,12h_prior,0.07,0.1150684931506849,0.0450684931506849,0.0450684931506849,0.0020311690748733,365
rbf,decision_rule,12h_prior,0.08,0.1178082191780822,0.0378082191780821,0.0378082191780821,0.0014294614374179,365
rbf,decision_rule,12h_prior,0.09,0.1260273972602739,0.0360273972602739,0.0360273972602739,0.0012979733533495,365
rbf,decision_rule,12h_prior,0.1,0.136986301369863,0.036986301369863,0.036986301369863,0.0013679864890223,365
rbf,decision_rule,12h_prior,0.11,0.1506849315068493,0.0406849315068493,0.0406849315068493,0.001655263651717,365
rbf,decision_rule,12h_prior,0.12,0.1643835616438356,0.0443835616438356,0.0443835616438356,0.0019699005441921,365
rbf,decision_rule,12h_prior,0.13,0.1698630136986301,0.0398630136986301,0.0398630136986301,0.0015890598611371,365
rbf,decision_rule,12h_prior,0.14,0.1835616438356164,0.0435616438356164,0.0435616438356164,0.001897616813661,365
rbf,decision_rule,12h_prior,0.15,0.2,0.05,0.05,0.0025,365
rbf,decision_rule,12h_prior,0.16,0.2082191780821917,0.0482191780821917,0.0482191780821917,0.0023250891349221,365
rbf,decision_rule,12h_prior,0.17,0.210958904109589,0.040958904109589,0.040958904109589,0.0016776318258585,365
rbf,decision_rule,12h_prior,0.18,0.2273972602739726,0.0473972602739726,0.0473972602739726,0.0022465002814787,365
rbf,decision_rule,12h_prior,0.19,0.2383561643835616,0.0483561643835616,0.0483561643835616,0.00233831863389,365
rbf,decision_rule,12h_prior,0.2,0.2520547945205479,0.0520547945205479,0.0520547945205479,0.0027097016325764,365
rbf,decision_rule,12h_prior,0.21,0.2575342465753424,0.0475342465753424,0.0475342465753424,0.0022595045974854,365
rbf,decision_rule,12h_prior,0.22,0.2630136986301369,0.0430136986301369,0.0430136986301369,0.0018501782698442,365
rbf,decision_rule,12h_prior,0.23,0.273972602739726,0.043972602739726,0.043972602739726,0.0019335897917057,365
rbf,decision_rule,12h_prior,0.24,0.2904109589041095,0.0504109589041095,0.0504109589041095,0.0025412647776318,365
rbf,decision_rule,12h_prior,0.25,0.3068493150684931,0.0568493150684931,0.0568493150684931,0.0032318446237568,365
rbf,decision_rule,12h_prior,0.26,0.3178082191780822,0.0578082191780822,0.0578082191780822,0.0033417902045411,365
rbf,decision_rule,12h_prior,0.27,0.3260273972602739,0.0560273972602739,0.0560273972602739,0.0031390692437605,365
rbf,decision_rule,12h_prior,0.28,0.3424657534246575,0.0624657534246574,0.0624657534246574,0.0039019703509101,365
rbf,decision_rule,12h_prior,0.29,0.3506849315068493,0.0606849315068493,0.0606849315068493,0.0036826609119909,365
rbf,decision_rule,12h_prior,0.3,0.3589041095890411,0.0589041095890411,0.0589041095890411,0.0034696941264777,365
rbf,decision_rule,12h_prior,0.31,0.3671232876712328,0.0571232876712328,0.0571232876712328,0.0032630699943704,365
rbf,decision_rule,12h_prior,0.32,0.3917808219178082,0.0717808219178082,0.0717808219178082,0.005152486395196,365
rbf,decision_rule,12h_prior,0.33,0.3917808219178082,0.0617808219178082,0.0617808219178082,0.0038168699568399,365
rbf,decision_rule,12h_prior,0.34,0.4027397260273972,0.0627397260273972,0.0627397260273972,0.0039362732219928,365
rbf,decision_rule,12h_prior,0.35,0.4082191780821917,0.0582191780821917,0.0582191780821917,0.0033894726965659,365
rbf,decision_rule,12h_prior,0.36,0.4136986301369863,0.0536986301369863,0.0536986301369863,0.0028835428785888,365
rbf,decision_rule,12h_prior,0.37,0.4246575342465753,0.0546575342465753,0.0546575342465753,0.0029874460499155,365
rbf,decision_rule,12h_prior,0.38,0.4383561643835616,0.0583561643835616,0.0583561643835616,0.0034054419215612,365
rbf,decision_rule,12h_prior,0.39,0.4438356164383562,0.0538356164383561,0.0538356164383561,0.0028982735972978,365
rbf,decision_rule,12h_prior,0.4,0.4575342465753425,0.0575342465753424,0.0575342465753424,0.0033101895289923,365
rbf,decision_rule,12h_prior,0.41,0.4657534246575342,0.0557534246575342,0.0557534246575342,0.0031084443610433,365
rbf,decision_rule,12h_prior,0.42,0.473972602739726,0.053972602739726,0.053972602739726,0.0029130418465002,365
rbf,decision_rule,12h_prior,0.43,0.4849315068493151,0.054931506849315,0.054931506849315,0.0030174704447363,365
rbf,decision_rule,12h_prior,0.44,0.4904109589041096,0.0504109589041095,0.0504109589041095,0.0025412647776318,365
rbf,decision_rule,12h_prior,0.45,0.4931506849315068,0.0431506849315068,0.0431506849315068,0.0018619816100581,365
rbf,decision_rule,12h_prior,0.46,0.4986301369863014,0.0386301369863013,0.0386301369863013,0.0014922874835804,365
rbf,decision_rule,12h_prior,0.47,0.5068493150684932,0.0368493150684932,0.0368493150684932,0.001357872021017,365
rbf,decision_rule,12h_prior,0.48,0.5178082191780822,0.0378082191780821,0.0378082191780821,0.0014294614374179,365
rbf,decision_rule,12h_prior,0.49,0.5232876712328767,0.0332876712328766,0.0332876712328766,0.001108069056108,365
rbf,decision_rule,12h_prior,0.5,0.536986301369863,0.036986301369863,0.036986301369863,0.0013679864890223,365
rbf,decision_rule,12h_prior,0.51,0.5452054794520548,0.0352054794520547,0.0352054794520547,0.001239425783449,365
rbf,decision_rule,12h_prior,0.52,0.547945205479452,0.027945205479452,0.027945205479452,0.0007809345092887,365
rbf,decision_rule,12h_prior,0.53,0.5616438356164384,0.0316438356164383,0.0316438356164383,0.0010013323325201,365
