model,scope,scope_value,rows,dates,mean_predictive_standard_deviation_c,median_predictive_standard_deviation_c,q10_predictive_standard_deviation_c,q90_predictive_standard_deviation_c,mean_central_50_width_c,mean_central_80_width_c,mean_central_90_width_c,aggregation
rbf,rule_by_validation_block,24h_prior|fold_02,91,91,1.5087133911098902,1.5129446535,1.5126989969,1.5129446535,2.0352234366439563,3.8669880167076913,4.963225386881319,equal target-date weight
rbf,rule_by_validation_block,6h_prior|fold_02,91,91,1.427746588778022,1.4474914792,1.3641307063,1.4481442926,1.926000880016484,3.659461752101101,4.696868309838461,equal target-date weight
rbf,rule_by_validation_block,event_day_open|fold_02,91,91,1.3722028750373627,1.3946145711,1.3032622312,1.3963698687,1.851073548801099,3.5170974855032964,4.514145751847253,equal target-date weight
rbf,rule_by_validation_block,12h_prior|fold_03,91,91,1.4506091306868134,1.4797868493,1.3769827063,1.4804569035,1.9568419803824173,3.71806080486044,4.772079379818682,equal target-date weight
rbf,rule_by_validation_block,24h_prior|fold_03,91,91,1.5365407056263738,1.551096602,1.5149423265,1.5510966056,2.07276191342088,3.9383122936549446,5.054769105258242,equal target-date weight
rbf,rule_by_validation_block,6h_prior|fold_03,91,91,1.443291103743956,1.4704710529,1.3782297008,1.4709679016,1.9469701120538456,3.6993039471,4.748005213492308,equal target-date weight
rbf,rule_by_validation_block,event_day_open|fold_03,91,91,1.3800239631648352,1.4066827121,1.3128780732,1.4069262869,1.8616240363593408,3.53714374097033,4.539874842183517,equal target-date weight
rbf,rule_by_validation_block,12h_prior|fold_04,92,92,1.4759351821804343,1.5107435361,1.36338448061,1.51483267815,1.991006304673913,3.782974086745652,4.8553946751228265,equal target-date weight
rbf,rule_by_validation_block,24h_prior|fold_04,92,92,1.5474916410630433,1.5632046437,1.51628085487,1.5632055454,2.087534500841304,3.966380670569565,5.090794476981523,equal target-date weight
rbf,rule_by_validation_block,6h_prior|fold_04,92,92,1.4719841797641304,1.50379513135,1.3658867221600002,1.5075629782200002,1.9856764833989131,3.7728472600641294,4.842397033803262,equal target-date weight
rbf,rule_by_validation_block,event_day_open|fold_04,92,92,1.3863849188619566,1.4126407014,1.3040403147700002,1.41411420654,1.8702048352021745,3.553447526440217,4.560800524306522,equal target-date weight
matern32,overall,all,1460,365,1.4547470610486302,1.465661602825,1.36525603034,1.5300409643,1.9624239636100689,3.72866674711404,4.785691959323151,equal target-date weight after averaging rules within date
matern32,decision_rule,24h_prior,365,365,1.5147346060734248,1.5184757736,1.44868983246,1.57940461538,2.04334593212411,3.882421011588493,4.983033421329589,equal target-date weight
matern32,decision_rule,12h_prior,365,365,1.4564908283210958,1.4746000569,1.34728630056,1.54440376758,1.96477626991863,3.733136202479726,4.7914284431753424,equal target-date weight
matern32,decision_rule,6h_prior,365,365,1.45657513901863,1.4725525474,1.34876241448,1.5403803718,1.9648900033175345,3.733352299487671,4.791705800692055,equal target-date weight
matern32,decision_rule,event_day_open,365,365,1.39118767078137,1.4154292299,1.29450870008,1.45594032504,1.87668364908,3.565757474900274,4.576600172095616,equal target-date weight
matern32,validation_block,fold_01,364,91,1.4140735795032966,1.440022477225,1.308223467725,1.461050395175,1.9075562707958795,3.624416419207417,4.651888112034891,equal target-date weight after averaging rules within date
matern32,validation_block,fold_02,364,91,1.446710788065934,1.466016705125,1.38858089115,1.47241212315,1.9515831960925825,3.708068950670054,4.759254973797803,equal target-date weight after averaging rules within date
matern32,validation_block,fold_03,364,91,1.464545882086264,1.492317801025,1.39526128885,1.4958720936,1.975642372321429,3.753782135997527,4.817927211971978,equal target-date weight after averaging rules within date
matern32,validation_block,fold_04,368,92,1.4932350496097826,1.5243105409125,1.3880651798725,1.5394132851725,2.0143434711910326,3.827315431108695,4.912306174486141,equal target-date weight after averaging rules within date
matern32,rule_by_validation_block,12h_prior|fold_01,91,91,1.416972587634066,1.4515990458,1.2810057583,1.4772625701,1.911466973337363,3.6318468760307696,4.661425000108791,equal target-date weight
matern32,rule_by_validation_block,24h_prior|fold_01,91,91,1.444428004965934,1.4490070672,1.4278356399,1.4490072182,1.9485037684868127,3.702217942148352,4.751745285658241,equal target-date weight
matern32,rule_by_validation_block,6h_prior|fold_01,91,91,1.4280670919758238,1.4637211717,1.2838280038,1.4939156204,1.9264332322648356,3.660283234856044,4.697922671545055,equal target-date weight
matern32,rule_by_validation_block,event_day_open|fold_01,91,91,1.3668266334373629,1.3973786716,1.2419714484,1.4241559557,1.8438211090945051,3.5033176237945054,4.496459490827473,equal target-date weight
matern32,rule_by_validation_block,12h_prior|fold_02,91,91,1.4460349842494509,1.4703192077,1.3674948812,1.4779675503,1.9506715506032968,3.706336795802197,4.757031777093406,equal target-date weight
matern32,rule_by_validation_block,24h_prior|fold_02,91,91,1.5123628722494502,1.5184757699,1.5120009138,1.5184757736,2.0401465118065936,3.876342013184616,4.975231111350549,equal target-date weight
matern32,rule_by_validation_block,6h_prior|fold_02,91,91,1.4431816254813188,1.4660048827,1.368738539,1.4726760693,1.9468224281153848,3.699023343008791,4.747645062056044,equal target-date weight
matern32,rule_by_validation_block,event_day_open|fold_02,91,91,1.3852636702835164,1.4093100038,1.3048312462,1.4205290994,1.8686922938450543,3.5505736506846164,4.557111944691208,equal target-date weight
matern32,rule_by_validation_block,12h_prior|fold_03,91,91,1.462466702041758,1.4936061747,1.3832922535,1.4985765919,1.972837601075824,3.748452983135165,4.811087318315384,equal target-date weight
matern32,rule_by_validation_block,24h_prior|fold_03,91,91,1.542163972735165,1.5584392011,1.519361198,1.5584630666,2.080347585464835,3.952725307168133,5.073268007814285,equal target-date weight
matern32,rule_by_validation_block,6h_prior|fold_03,91,91,1.4566888579296702,1.4869071956,1.3849786614,1.4915393688,1.965043407798901,3.7336437727769223,4.792079902614286,equal target-date weight
matern32,rule_by_validation_block,event_day_open|fold_03,91,91,1.3968639956384616,1.4298419273,1.3153519544,1.4349107414,1.8843408949461544,3.5803064809098903,4.595273619143956,equal target-date weight
matern32,rule_by_validation_block,12h_prior|fold_04,92,92,1.5000107979347823,1.5375062288,1.36781639172,1.55712640789,2.023483816780435,3.844682372858696,4.934596402901088,equal target-date weight
matern32,rule_by_validation_block,24h_prior|fold_04,92,92,1.5594917377315216,1.57907604105,1.51654613388,1.57955911393,2.103722385231522,3.997138155893478,5.130271282026087,equal target-date weight
matern32,rule_by_validation_block,6h_prior|fold_04,92,92,1.4979087650173917,1.53313901175,1.36955588063,1.55417568839,2.020648217463044,3.8392946457021737,4.927681329967391,equal target-date weight
matern32,rule_by_validation_block,event_day_open|fold_04,92,92,1.4155288977554348,1.4477043085,1.30006860961,1.4667911983100002,1.9095194652891303,3.6281465499804346,4.65667568305,equal target-date weight
