model,scope,scope_value,series,lag_days,autocorrelation,dates
rbf,decision_rule,12h_prior,standardised_residual,6,0.2421031239977358,365
rbf,decision_rule,12h_prior,standardised_residual,7,0.1509476565266875,365
rbf,decision_rule,12h_prior,standardised_residual,8,0.149954395624536,365
rbf,decision_rule,12h_prior,standardised_residual,9,0.1526781972790448,365
rbf,decision_rule,12h_prior,standardised_residual,10,0.1455421919309721,365
rbf,decision_rule,12h_prior,standardised_residual,11,0.13157111536176,365
rbf,decision_rule,12h_prior,standardised_residual,12,0.1969636085926521,365
rbf,decision_rule,12h_prior,standardised_residual,13,0.2399753454923805,365
rbf,decision_rule,12h_prior,standardised_residual,14,0.1802516857588641,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,1,0.1901159562029301,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,2,0.1259114679613119,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,3,0.1087786893579209,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,4,-0.0204035105462829,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,5,0.0089969837498851,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,6,0.0151242455076719,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,7,0.077660908961283,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,8,-0.0731459933536441,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,9,0.0346479219267916,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,10,0.0274750953498707,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,11,-0.0349616876572168,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,12,0.0095297692028391,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,13,0.0178939150180127,365
rbf,decision_rule,12h_prior,absolute_standardised_residual,14,0.0967082805736684,365
rbf,decision_rule,12h_prior,squared_standardised_residual,1,0.1865663306253766,365
rbf,decision_rule,12h_prior,squared_standardised_residual,2,0.1294367912316343,365
rbf,decision_rule,12h_prior,squared_standardised_residual,3,0.0651699595598099,365
rbf,decision_rule,12h_prior,squared_standardised_residual,4,0.0162632816511467,365
rbf,decision_rule,12h_prior,squared_standardised_residual,5,0.0313988328752967,365
rbf,decision_rule,12h_prior,squared_standardised_residual,6,-0.0138173239641926,365
rbf,decision_rule,12h_prior,squared_standardised_residual,7,0.0380499508170832,365
rbf,decision_rule,12h_prior,squared_standardised_residual,8,-0.0762172831888683,365
rbf,decision_rule,12h_prior,squared_standardised_residual,9,0.0050264952120468,365
rbf,decision_rule,12h_prior,squared_standardised_residual,10,0.0001220537719724,365
rbf,decision_rule,12h_prior,squared_standardised_residual,11,-0.0635394404961789,365
rbf,decision_rule,12h_prior,squared_standardised_residual,12,-0.0083284840786432,365
rbf,decision_rule,12h_prior,squared_standardised_residual,13,0.0311340399806376,365
rbf,decision_rule,12h_prior,squared_standardised_residual,14,0.144242288497872,365
rbf,decision_rule,6h_prior,standardised_residual,1,0.4839348301522818,365
rbf,decision_rule,6h_prior,standardised_residual,2,0.3351058033911789,365
rbf,decision_rule,6h_prior,standardised_residual,3,0.2905081036648836,365
rbf,decision_rule,6h_prior,standardised_residual,4,0.2596620534450873,365
rbf,decision_rule,6h_prior,standardised_residual,5,0.2132454414339833,365
rbf,decision_rule,6h_prior,standardised_residual,6,0.2223706963680948,365
rbf,decision_rule,6h_prior,standardised_residual,7,0.1393556502567179,365
rbf,decision_rule,6h_prior,standardised_residual,8,0.1588860182869526,365
rbf,decision_rule,6h_prior,standardised_residual,9,0.125390140619948,365
rbf,decision_rule,6h_prior,standardised_residual,10,0.1358654645771555,365
rbf,decision_rule,6h_prior,standardised_residual,11,0.1327396592084722,365
rbf,decision_rule,6h_prior,standardised_residual,12,0.1725393059409022,365
rbf,decision_rule,6h_prior,standardised_residual,13,0.2433201270216846,365
rbf,decision_rule,6h_prior,standardised_residual,14,0.1533665051205925,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,1,0.2015574313888953,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,2,0.1266834330169579,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,3,0.1134009897019278,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,4,0.0125877216790726,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,5,-0.0070300466721846,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,6,0.0010442036467286,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,7,0.0797496131959218,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,8,-0.0705088485271702,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,9,0.0312510692574518,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,10,0.0236950471722206,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,11,-0.0470267031699613,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,12,-0.0035602728553505,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,13,0.0190699900506718,365
rbf,decision_rule,6h_prior,absolute_standardised_residual,14,0.107333912321342,365
rbf,decision_rule,6h_prior,squared_standardised_residual,1,0.1784218045402883,365
rbf,decision_rule,6h_prior,squared_standardised_residual,2,0.1244360837171115,365
rbf,decision_rule,6h_prior,squared_standardised_residual,3,0.0730168026073825,365
rbf,decision_rule,6h_prior,squared_standardised_residual,4,0.0432538224320445,365
rbf,decision_rule,6h_prior,squared_standardised_residual,5,0.035197974908287,365
rbf,decision_rule,6h_prior,squared_standardised_residual,6,-0.0119548515021601,365
rbf,decision_rule,6h_prior,squared_standardised_residual,7,0.045772987466072,365
rbf,decision_rule,6h_prior,squared_standardised_residual,8,-0.0745409175675043,365
rbf,decision_rule,6h_prior,squared_standardised_residual,9,0.004785130394408,365
rbf,decision_rule,6h_prior,squared_standardised_residual,10,-0.00288191761206,365
