sample_period,decision_rule,frozen_threshold,transaction_cost_per_share,analytical_break_even_cost,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown
weather_plus_market_training,event_day_open,0.12,0.025,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,1.0499999999999998,3.865,0.061349206349206355,0.3088802961964265,0.038915259458272115,0.09202380952380951,-0.059500000000000004,4.135000000000001,0.9347037484885126,0.873
weather_plus_market_training,event_day_open,0.12,0.0275,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,1.1550000000000002,3.7599999999999993,0.05968253968253967,0.30871435149544374,0.03889435239112024,0.08952380952380953,-0.062,4.24,0.8867924528301885,0.9080000000000001
weather_plus_market_training,event_day_open,0.12,0.03,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,1.26,3.6550000000000002,0.05801587301587302,0.3085528914801446,0.03887401034125537,0.08702380952380953,-0.0645,4.345,0.8411967779056387,0.9429999999999998
out_of_sample_validation,event_day_open,0.12,0.0,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.0,0.18349999999999989,0.006116666666666663,0.17998882548327982,0.03286131327201768,0.01146875,-0.04525,0.8165,0.22473974280465386,0.6664999999999999
out_of_sample_validation,event_day_open,0.12,0.0025,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.04000000000000001,0.14350000000000002,0.004783333333333334,0.17995227735829505,0.032854640527854785,0.008968750000000004,-0.04775,0.8565,0.1675423234092236,0.6990000000000001
out_of_sample_validation,event_day_open,0.12,0.005,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.08000000000000002,0.10349999999999998,0.0034499999999999995,0.17992466574882834,0.03284959936073681,0.006468749999999995,-0.050249999999999996,0.8965000000000002,0.11544896820970436,0.7314999999999998
out_of_sample_validation,event_day_open,0.12,0.0075,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.12000000000000002,0.0635,0.002116666666666667,0.17990599476955457,0.032846190521897155,0.00396875,-0.05275,0.9365000000000001,0.06780565936999465,0.764
out_of_sample_validation,event_day_open,0.12,0.01,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.16000000000000003,0.023499999999999917,0.0007833333333333305,0.17989626720425023,0.03284441451958156,0.0014687499999999978,-0.05525,0.9765,0.024065540194572365,0.7964999999999999
out_of_sample_validation,event_day_open,0.12,0.0125,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.20000000000000004,-0.016500000000000015,-0.0005500000000000005,0.17989548450371848,0.03284427161866922,-0.0010312499999999974,-0.057749999999999996,1.0165000000000002,-0.01623216920806691,0.829
out_of_sample_validation,event_day_open,0.12,0.015,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.24000000000000005,-0.05650000000000015,-0.0018833333333333382,0.1799036467847075,0.03284576184047535,-0.0035312500000000066,-0.06025,1.0565,-0.05347846663511609,0.8614999999999999
out_of_sample_validation,event_day_open,0.12,0.0175,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.2800000000000001,-0.09650000000000009,-0.0032166666666666693,0.1799207528298239,0.03284888496273533,-0.006031250000000002,-0.06275,1.0965000000000003,-0.08800729594163252,0.894
out_of_sample_validation,event_day_open,0.12,0.02,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.32000000000000006,-0.13650000000000012,-0.004550000000000004,0.17994680008843988,0.03285364051977038,-0.008531250000000004,-0.06525,1.1365000000000003,-0.12010558732952054,0.9265
out_of_sample_validation,event_day_open,0.12,0.0225,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.36000000000000004,-0.17650000000000002,-0.005883333333333334,0.17998178467859455,0.03286002780283464,-0.011031250000000006,-0.06775,1.1764999999999999,-0.1500212494687633,0.9590000000000001
out_of_sample_validation,event_day_open,0.12,0.025,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.4000000000000001,-0.21650000000000022,-0.007216666666666674,0.18002570138988364,0.0328680458606428,-0.013531250000000009,-0.07025,1.2165,-0.17796958487464057,0.9915
out_of_sample_validation,event_day_open,0.12,0.0275,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.44000000000000006,-0.2565,-0.00855,0.18007854368733586,0.0328776935000778,-0.016031250000000007,-0.07275,1.2564999999999997,-0.20413847990449666,1.024
out_of_sample_validation,event_day_open,0.12,0.03,0.011468749999999993,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.4800000000000001,-0.2965,-0.009883333333333333,0.18014030371626588,0.032888969287076845,-0.018531250000000003,-0.07525,1.2964999999999998,-0.22869263401465487,1.0565
