sample_period,strategy_id,decision_rule,threshold,calendar_dates,available_rule_dates,trade_count,total_net_pnl_calendar,mean_date_net_pnl_calendar,standard_error_calendar,is_phase11_frozen_primary,ex_post_rank_by_june_mean_pnl,diagnostic_only_not_used_for_selection
out_of_sample_validation,24h_prior|threshold=0.070,24h_prior,0.07,30,27,24,-1.0915,-0.03638333333333333,0.017182968768778357,False,91,True
out_of_sample_validation,24h_prior|threshold=0.050,24h_prior,0.05,30,27,25,-1.1429999999999998,-0.038099999999999995,0.01714333421613127,False,92,True
out_of_sample_validation,24h_prior|threshold=0.060,24h_prior,0.06,30,27,25,-1.1429999999999998,-0.038099999999999995,0.01714333421613127,False,92,True
out_of_sample_validation,24h_prior|threshold=0.090,24h_prior,0.09,30,27,18,-1.1469999999999998,-0.03823333333333333,0.008263954875939903,False,94,True
out_of_sample_validation,6h_prior|threshold=0.080,6h_prior,0.08,30,29,19,-1.1684999999999999,-0.03895,0.006163218203235192,False,95,True
out_of_sample_validation,24h_prior|threshold=0.030,24h_prior,0.03,30,27,26,-1.1709999999999998,-0.03903333333333333,0.01709715196645291,False,96,True
out_of_sample_validation,24h_prior|threshold=0.040,24h_prior,0.04,30,27,26,-1.1709999999999998,-0.03903333333333333,0.01709715196645291,False,96,True
out_of_sample_validation,24h_prior|threshold=0.000,24h_prior,0.0,30,27,27,-1.2345,-0.04115,0.01706150385496846,False,98,True
out_of_sample_validation,24h_prior|threshold=0.010,24h_prior,0.01,30,27,27,-1.2345,-0.04115,0.01706150385496846,False,98,True
out_of_sample_validation,24h_prior|threshold=0.020,24h_prior,0.02,30,27,27,-1.2345,-0.04115,0.01706150385496846,False,98,True
out_of_sample_validation,6h_prior|threshold=0.070,6h_prior,0.07,30,29,20,-1.2685000000000002,-0.04228333333333334,0.006335798824402099,False,101,True
out_of_sample_validation,24h_prior|threshold=0.080,24h_prior,0.08,30,27,21,-1.3410000000000002,-0.044700000000000004,0.008177330593303899,False,102,True
out_of_sample_validation,6h_prior|threshold=0.060,6h_prior,0.06,30,29,23,-1.4055,-0.046849999999999996,0.005930398505731432,False,103,True
out_of_sample_validation,6h_prior|threshold=0.050,6h_prior,0.05,30,29,24,-1.4374999999999998,-0.047916666666666656,0.005732448641981034,False,104,True
