sample_period,decision_rule,threshold,offset_from_frozen,frozen_threshold,is_frozen_threshold,transaction_cost_per_share,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown
out_of_sample_validation,24h_prior,0.16,0.03,0.13,False,0.01,27,5,0.18518518518518517,0,5,0.0,-0.0835,0.05,-0.1335,-0.004944444444444445,0.011041297768390112,0.0021248987462609485,-0.0267,-0.0305,0.1335,-1.0,0.1335
out_of_sample_validation,24h_prior,0.18,0.04999999999999999,0.13,False,0.01,27,1,0.037037037037037035,0,1,0.0,-0.0135,0.01,-0.0235,-0.0008703703703703704,0.004522577108652067,0.0008703703703703701,-0.0235,-0.0235,0.0235,-1.0,0.0235
weather_plus_market_training,6h_prior,0.07,-0.04999999999999999,0.12,False,0.01,58,54,0.9310344827586207,9,45,0.16666666666666666,4.260999999999999,0.54,3.7209999999999996,0.0641551724137931,0.3284367172736303,0.04312585376535761,0.06890740740740742,-0.0475,5.279,0.704868346277704,0.9299999999999999
weather_plus_market_training,6h_prior,0.09,-0.03,0.12,False,0.01,58,51,0.8793103448275862,8,43,0.1568627450980392,3.831,0.51,3.3209999999999997,0.05725862068965517,0.3087281243245282,0.040537988728526736,0.06511764705882353,-0.0455,4.678999999999999,0.7097670442402223,0.9299999999999999
weather_plus_market_training,6h_prior,0.1,-0.01999999999999999,0.12,False,0.01,58,47,0.8103448275862069,6,41,0.1276595744680851,2.1350000000000007,0.4700000000000001,1.6649999999999998,0.028706896551724134,0.2636217724296906,0.03461523456190022,0.035425531914893615,-0.0455,4.335,0.3840830449826989,0.795
weather_plus_market_training,6h_prior,0.11,-0.009999999999999995,0.12,False,0.01,58,42,0.7241379310344828,5,37,0.11904761904761904,1.5595,0.42000000000000004,1.1394999999999997,0.019646551724137925,0.2335788872455046,0.030670410475550552,0.02713095238095238,-0.04525,3.8605,0.2951690195570521,0.7349999999999999
weather_plus_market_training,6h_prior,0.12,0.0,0.12,True,0.01,58,34,0.5862068965517241,4,30,0.11764705882352941,1.5704999999999998,0.33999999999999997,1.2305,0.02121551724137931,0.23031428016892005,0.03024174656563563,0.036191176470588234,-0.0475,2.7695000000000003,0.4443040259974724,0.6509999999999998
weather_plus_market_training,6h_prior,0.13,0.010000000000000009,0.12,False,0.01,58,29,0.5,3,26,0.10344827586206896,0.8689999999999999,0.29000000000000004,0.5789999999999997,0.00998275862068965,0.19098771351860183,0.025077915382162218,0.019965517241379308,-0.0495,2.4210000000000003,0.23915737298636913,0.8280000000000001
weather_plus_market_training,6h_prior,0.14,0.020000000000000018,0.12,False,0.01,58,22,0.3793103448275862,3,19,0.13636363636363635,1.268,0.22000000000000003,1.0479999999999998,0.018068965517241378,0.18857185908164448,0.024760698153737014,0.04763636363636363,-0.044750000000000005,1.952,0.5368852459016392,0.5490000000000002
weather_plus_market_training,6h_prior,0.15,0.03,0.12,False,0.01,58,21,0.3620689655172414,3,18,0.14285714285714285,1.393,0.21000000000000002,1.1829999999999998,0.02039655172413793,0.18747934994171336,0.024617244675706015,0.056333333333333326,-0.044500000000000005,1.8170000000000002,0.6510731975784259,0.5435000000000001
weather_plus_market_training,6h_prior,0.17,0.05000000000000002,0.12,False,0.01,58,18,0.3103448275862069,2,16,0.1111111111111111,0.623,0.18000000000000002,0.4429999999999999,0.007637931034482757,0.14575182563640846,0.019138152307109055,0.024611111111111108,-0.043250000000000004,1.557,0.28452151573538853,0.454
out_of_sample_validation,6h_prior,0.07,-0.04999999999999999,0.12,False,0.01,29,20,0.6896551724137931,0,20,0.0,-1.0684999999999998,0.20000000000000007,-1.2685000000000002,-0.04374137931034484,0.034368959388642074,0.006382155536467252,-0.063425,-0.0625,1.2685000000000002,-1.0,1.2685000000000002
out_of_sample_validation,6h_prior,0.09,-0.03,0.12,False,0.01,29,15,0.5172413793103449,0,15,0.0,-0.7665000000000001,0.15000000000000002,-0.9164999999999999,-0.03160344827586206,0.034366298719599245,0.006381661462629567,-0.06110000000000001,-0.060000000000000005,0.9164999999999999,-1.0,0.9165
out_of_sample_validation,6h_prior,0.1,-0.01999999999999999,0.12,False,0.01,29,14,0.4827586206896552,0,14,0.0,-0.7459999999999999,0.14,-0.8859999999999999,-0.03055172413793103,0.034864365974133595,0.006474150229895239,-0.06328571428571429,-0.0625,0.8859999999999999,-1.0,0.886
out_of_sample_validation,6h_prior,0.11,-0.009999999999999995,0.12,False,0.01,29,10,0.3448275862068966,0,10,0.0,-0.5835,0.09999999999999999,-0.6835,-0.02356896551724138,0.03475005758934874,0.006452923695726142,-0.06835,-0.065,0.6835,-1.0,0.6834999999999999
out_of_sample_validation,6h_prior,0.12,0.0,0.12,True,0.01,29,8,0.27586206896551724,0,8,0.0,-0.4485,0.07999999999999999,-0.5285000000000001,-0.018224137931034487,0.03171569750108447,0.005889457172984959,-0.0660625,-0.059500000000000004,0.5285000000000001,-1.0,0.5285
out_of_sample_validation,6h_prior,0.13,0.010000000000000009,0.12,False,0.01,29,7,0.2413793103448276,0,7,0.0,-0.42400000000000004,0.07,-0.49399999999999994,-0.017034482758620687,0.03173043014275625,0.005892192955862442,-0.07057142857142856,-0.060000000000000005,0.49399999999999994,-1.0,0.49399999999999994
out_of_sample_validation,6h_prior,0.14,0.020000000000000018,0.12,False,0.01,29,7,0.2413793103448276,0,7,0.0,-0.42400000000000004,0.07,-0.49399999999999994,-0.017034482758620687,0.03173043014275625,0.005892192955862442,-0.07057142857142856,-0.060000000000000005,0.49399999999999994,-1.0,0.49399999999999994
out_of_sample_validation,6h_prior,0.15,0.03,0.12,False,0.01,29,7,0.2413793103448276,0,7,0.0,-0.42400000000000004,0.07,-0.49399999999999994,-0.017034482758620687,0.03173043014275625,0.005892192955862442,-0.07057142857142856,-0.060000000000000005,0.49399999999999994,-1.0,0.49399999999999994
out_of_sample_validation,6h_prior,0.17,0.05000000000000002,0.12,False,0.01,29,3,0.10344827586206896,0,3,0.0,-0.16999999999999998,0.03,-0.2,-0.006896551724137932,0.021104070067146163,0.003918927428030904,-0.06666666666666667,-0.060000000000000005,0.2,-1.0,0.19999999999999998
weather_plus_market_training,event_day_open,0.07,-0.04999999999999999,0.12,False,0.01,63,60,0.9523809523809523,11,49,0.18333333333333332,6.0009999999999994,0.6000000000000001,5.401000000000001,0.08573015873015874,0.3464485115750319,0.0436484097007627,0.09001666666666666,-0.044500000000000005,5.599,0.9646365422396858,0.8109999999999999
weather_plus_market_training,event_day_open,0.09,-0.03,0.12,False,0.01,63,56,0.8888888888888888,11,45,0.19642857142857142,6.291999999999999,0.56,5.731999999999999,0.09098412698412697,0.3443932013895432,0.04338946495705312,0.10235714285714285,-0.0405,5.268,1.088078967350038,0.7750000000000012
weather_plus_market_training,event_day_open,0.1,-0.01999999999999999,0.12,False,0.01,63,51,0.8095238095238095,10,41,0.19607843137254902,5.886999999999999,0.51,5.376999999999999,0.08534920634920633,0.3302671772158629,0.04160975319621289,0.1054313725490196,-0.038,4.623,1.1630975556997618,0.7450000000000001
weather_plus_market_training,event_day_open,0.11,-0.009999999999999995,0.12,False,0.01,63,48,0.7619047619047619,10,38,0.20833333333333334,5.948499999999999,0.4800000000000001,5.4685,0.0868015873015873,0.329813321339396,0.04155257273048924,0.11392708333333333,-0.043750000000000004,4.5315,1.2067747986317994,0.6825000000000003
weather_plus_market_training,event_day_open,0.12,0.0,0.12,True,0.01,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.42000000000000004,4.494999999999999,0.07134920634920634,0.3099697258229895,0.039052514689833624,0.10702380952380952,-0.044500000000000005,3.5050000000000003,1.2824536376604847,0.6630000000000003
weather_plus_market_training,event_day_open,0.13,0.010000000000000009,0.12,False,0.01,63,37,0.5873015873015873,6,31,0.16216216216216217,3.177,0.37000000000000005,2.807,0.04455555555555556,0.2674219830625178,0.03369200296643567,0.07586486486486488,-0.044500000000000005,3.193,0.8791105543376135,0.8635000000000002
weather_plus_market_training,event_day_open,0.14,0.020000000000000018,0.12,False,0.01,63,28,0.4444444444444444,4,24,0.14285714285714285,2.081,0.28,1.8010000000000002,0.02858730158730159,0.20953551819330432,0.026398993903549203,0.06432142857142857,-0.043750000000000004,2.1990000000000003,0.8190086402910414,1.0605
weather_plus_market_training,event_day_open,0.15,0.03,0.12,False,0.01,63,25,0.3968253968253968,4,21,0.16,2.1775,0.25,1.9275000000000002,0.0305952380952381,0.20897628467748128,0.026328537103183485,0.0771,-0.043000000000000003,2.0725000000000002,0.9300361881785284,1.0485
weather_plus_market_training,event_day_open,0.17,0.05000000000000002,0.12,False,0.01,63,18,0.2857142857142857,2,16,0.1111111111111111,0.6145000000000002,0.18,0.43450000000000005,0.006896825396825398,0.1431559086566383,0.018035949191187787,0.02413888888888889,-0.05,1.5655000000000001,0.27754710954966466,0.8214999999999999
out_of_sample_validation,event_day_open,0.07,-0.04999999999999999,0.12,False,0.01,30,26,0.8666666666666667,1,25,0.038461538461538464,-0.37350000000000005,0.26000000000000006,-0.6335000000000001,-0.02111666666666667,0.1835059748784544,0.03350345395930194,-0.02436538461538462,-0.058,1.6335000000000002,-0.3878175696357514,1.2534999999999998
out_of_sample_validation,event_day_open,0.09,-0.03,0.12,False,0.01,30,22,0.7333333333333333,1,21,0.045454545454545456,-0.1325,0.22000000000000006,-0.3525000000000001,-0.011750000000000003,0.18238306362311094,0.033298439351092585,-0.016022727272727282,-0.05525,1.3525000000000003,-0.26062846580406657,1.0474999999999999
out_of_sample_validation,event_day_open,0.1,-0.01999999999999999,0.12,False,0.01,30,18,0.6,1,17,0.05555555555555555,0.0034999999999999615,0.18000000000000005,-0.1765000000000001,-0.005883333333333337,0.18182478698164214,0.033196512447805686,-0.00980555555555556,-0.0595,1.1765,-0.15002124946876336,0.8714999999999999
out_of_sample_validation,event_day_open,0.11,-0.009999999999999995,0.12,False,0.01,30,18,0.6,1,17,0.05555555555555555,0.0034999999999999615,0.18000000000000005,-0.1765000000000001,-0.005883333333333337,0.18182478698164214,0.033196512447805686,-0.00980555555555556,-0.0595,1.1765,-0.15002124946876336,0.8714999999999999
out_of_sample_validation,event_day_open,0.12,0.0,0.12,True,0.01,30,16,0.5333333333333333,1,15,0.0625,0.18349999999999989,0.16000000000000003,0.023499999999999917,0.0007833333333333305,0.17989626720425023,0.03284441451958156,0.0014687499999999978,-0.05525,0.9765,0.024065540194572365,0.7964999999999999
out_of_sample_validation,event_day_open,0.13,0.010000000000000009,0.12,False,0.01,30,14,0.4666666666666667,1,13,0.07142857142857142,0.27149999999999996,0.14,0.13149999999999984,0.004383333333333328,0.1792450972413401,0.032725527693762996,0.009392857142857144,-0.05525,0.8684999999999999,0.15141047783534814,0.7284999999999999
out_of_sample_validation,event_day_open,0.14,0.020000000000000018,0.12,False,0.01,30,13,0.43333333333333335,1,12,0.07692307692307693,0.3244999999999999,0.13,0.1944999999999999,0.00648333333333333,0.17879691250002117,0.032643700729512996,0.014961538461538467,-0.0545,0.8055,0.2414649286157665,0.6655
out_of_sample_validation,event_day_open,0.15,0.03,0.12,False,0.01,30,9,0.3,0,9,0.0,-0.44,0.09,-0.5299999999999999,-0.017666666666666664,0.03115211105187745,0.005687571312339755,-0.05888888888888889,-0.0545,0.5299999999999999,-1.0,0.53
out_of_sample_validation,event_day_open,0.17,0.05000000000000002,0.12,False,0.01,30,7,0.23333333333333334,0,7,0.0,-0.327,0.06999999999999999,-0.397,-0.013233333333333335,0.026551100156871645,0.0048475454941658514,-0.05671428571428571,-0.0545,0.397,-1.0,0.39699999999999996
