scope_type,scope_value,contrast,model,benchmark,primary,dates,metric,point_estimate,bootstrap_method,block_parameter_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,circular_moving_block,3.0,0.6547945205479452,0.7671232876712328,10000,20260902,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,circular_moving_block,5.0,-1.0206148827720871,-0.6466448108664965,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,circular_moving_block,5.0,0.6466448108664965,1.0206148827720871,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,circular_moving_block,5.0,-1.348116708230729,-0.5983801725782493,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,circular_moving_block,5.0,0.6356164383561644,0.7698630136986301,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,circular_moving_block,5.0,-0.06587537408278266,-0.005506935199928563,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,circular_moving_block,5.0,0.0055069351999285625,0.06587537408278266,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,circular_moving_block,5.0,-0.009137031763705838,-1.9934656063758105e-05,10000,20261002,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,circular_moving_block,5.0,0.5013698630136987,0.6273972602739726,10000,20261002,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,circular_moving_block,5.0,-0.08331078317886881,-0.015016728609844448,10000,20261002,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,circular_moving_block,5.0,0.015016728609844446,0.08331078317886881,10000,20261002,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,circular_moving_block,5.0,-0.03726721185207821,0.0014382784212838562,10000,20261002,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,circular_moving_block,5.0,0.4821917808219178,0.6356164383561644,10000,20261002,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,circular_moving_block,5.0,-0.02345179953273461,-0.00508917140786816,10000,20261002,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,circular_moving_block,5.0,0.0050891714078681585,0.02345179953273461,10000,20261002,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,circular_moving_block,5.0,-0.018367582075,0.0009251421250000003,10000,20261002,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,circular_moving_block,5.0,0.4904109589041096,0.6410958904109589,10000,20261002,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,circular_moving_block,5.0,-1.0651499957230661,-0.6717846399209144,10000,20261002,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,circular_moving_block,5.0,0.6717846399209144,1.0651499957230661,10000,20261002,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,circular_moving_block,5.0,-1.3358173862249991,-0.5654607425249989,10000,20261002,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,circular_moving_block,5.0,0.6356164383561644,0.7698630136986301,10000,20261002,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,circular_moving_block,5.0,-1.0794564953196086,-0.6876682097399112,10000,20261002,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,circular_moving_block,5.0,0.6876682097399112,1.0794564953196086,10000,20261002,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,circular_moving_block,5.0,-1.3230218739000024,-0.5651791570249989,10000,20261002,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,circular_moving_block,5.0,0.6465753424657534,0.7753424657534247,10000,20261002,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,circular_moving_block,7.0,-1.0413222373212139,-0.6288085887202604,10000,20261102,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,circular_moving_block,7.0,0.6288085887202604,1.0413222373212139,10000,20261102,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,circular_moving_block,7.0,-1.383156025149542,-0.5693407888992587,10000,20261102,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,circular_moving_block,7.0,0.6328767123287671,0.7726027397260274,10000,20261102,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,circular_moving_block,7.0,-0.06708313237078442,-0.00447239856242936,10000,20261102,settlement_date
