group_type,group_value,contrast,dates,mean_loss_difference_c,mean_improvement_c,median_loss_difference_c,model_better_fraction,ordinary_date_bootstrap_lower_95_c,ordinary_date_bootstrap_upper_95_c,bootstrap_replications,seed,confirmatory_status
deterministic_forecast_quartile,Q4,matern_minus_static,91,-0.06629700199486084,0.06629700199486084,-0.03211244653747669,0.6043956043956044,-0.12209358445248623,-0.012594655255363098,10000,20350813,descriptive_subgroup
static_correction_quartile,Q1,matern_minus_static,92,0.03703751278848637,-0.03703751278848637,0.030007447256982595,0.29347826086956524,0.013164998587449312,0.06258487995578045,10000,20350814,descriptive_subgroup
static_correction_quartile,Q2,matern_minus_static,91,-0.06636776743911266,0.06636776743911266,-0.05136482171644685,0.7032967032967034,-0.09833621656593296,-0.0361964497719068,10000,20350815,descriptive_subgroup
static_correction_quartile,Q3,matern_minus_static,91,-0.12380150673340354,0.12380150673340354,-0.09716187528865172,0.7582417582417582,-0.16180734080460102,-0.08626583566094691,10000,20350816,descriptive_subgroup
static_correction_quartile,Q4,matern_minus_static,91,-0.04146547663823829,0.04146547663823829,0.0011389802943184701,0.4835164835164835,-0.10665314116535242,0.0208821486436661,10000,20350817,descriptive_subgroup
static_spread_quartile,Q1,matern_minus_static,92,0.03703751278848637,-0.03703751278848637,0.030007447256982595,0.29347826086956524,0.012942817112608954,0.06274438191868564,10000,20350818,descriptive_subgroup
static_spread_quartile,Q2,matern_minus_static,91,-0.07688025578230247,0.07688025578230247,-0.05136482171644685,0.7032967032967034,-0.11719914852781509,-0.04009522202968507,10000,20350819,descriptive_subgroup
static_spread_quartile,Q3,matern_minus_static,91,-0.030952988295048497,0.030952988295048497,0.0011389802943184701,0.4835164835164835,-0.09079452146945954,0.02452766658900257,10000,20350820,descriptive_subgroup
static_spread_quartile,Q4,matern_minus_static,91,-0.12380150673340354,0.12380150673340354,-0.09716187528865172,0.7582417582417582,-0.16248938994851128,-0.08709196068207942,10000,20350821,descriptive_subgroup
raw_absolute_error_quartile,Q1,matern_minus_static,92,-0.0426530359211132,0.0426530359211132,-0.04046728685425566,0.6847826086956522,-0.08864279078728347,0.004570768072416698,10000,20350822,descriptive_subgroup
raw_absolute_error_quartile,Q2,matern_minus_static,91,-0.013886309909087988,0.013886309909087988,0.0018378841611083052,0.45054945054945056,-0.050124759907768116,0.02135079632474485,10000,20350823,descriptive_subgroup
raw_absolute_error_quartile,Q3,matern_minus_static,91,0.010209322337643581,-0.010209322337643581,0.010417672822857549,0.3956043956043956,-0.01491377100723121,0.03517256309654006,10000,20350824,descriptive_subgroup
raw_absolute_error_quartile,Q4,matern_minus_static,91,-0.1473914942142204,0.1473914942142204,-0.056057915556959825,0.7032967032967034,-0.20455023833401284,-0.0958204049573096,10000,20350825,descriptive_subgroup
decision_rule,12h_prior,matern_minus_static,365,-0.054588579113460156,0.054588579113460156,-0.020078807089723427,0.5616438356164384,-0.080013135495704,-0.029555707657834003,10000,20360802,predeclared_rule_diagnostic
decision_rule,24h_prior,matern_minus_static,365,-0.031093406118305935,0.031093406118305935,-0.000399305423130214,0.5863013698630137,-0.047533051146269906,-0.015401569454380797,10000,20360803,predeclared_rule_diagnostic
decision_rule,6h_prior,matern_minus_static,365,-0.047461376737158584,0.047461376737158584,-0.019707147481110687,0.5561643835616439,-0.073577735425127,-0.022163349214666776,10000,20360804,predeclared_rule_diagnostic
decision_rule,event_day_open,matern_minus_static,365,-0.06051484238436748,0.06051484238436748,-0.02199563425730866,0.5589041095890411,-0.08720858053421349,-0.034423961495987976,10000,20360805,predeclared_rule_diagnostic
