target_date,contrast_order,contrast,model,benchmark,primary,interpretation,model_date_crps_c,benchmark_date_crps_c,loss_difference_c,improvement_c,validation_block,chronological_index,position_within_block,tail,tail_rank
2025-12-20,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.51229583375,1.2350892242767395,-0.7227933905267395,0.7227933905267395,4,280,7,largest_model_favouring_improvements,6
2025-12-23,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.8111881837,1.4029871495231223,-0.5917989658231223,0.5917989658231223,4,283,10,largest_model_favouring_improvements,7
2025-12-21,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.457265139,1.045277328554673,-0.588012189554673,0.588012189554673,4,281,8,largest_model_favouring_improvements,8
2025-09-26,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.4721643937749999,1.0597531104787146,-0.5875887167037146,0.5875887167037146,3,195,13,largest_model_favouring_improvements,9
2025-06-25,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.491245104525,2.0776545872604704,-0.5864094827354704,0.5864094827354704,2,102,11,largest_model_favouring_improvements,10
2025-09-23,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.8200601971,1.0077217565244836,0.8123384405755165,-0.8123384405755165,3,192,10,largest_benchmark_favouring_deteriorations,1
2025-09-19,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.4345777591250002,0.6773150252662418,0.7572627338587584,-0.7572627338587584,3,188,6,largest_benchmark_favouring_deteriorations,2
2025-09-22,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.363315996675,0.8026521409296088,0.5606638557453911,-0.5606638557453911,3,191,9,largest_benchmark_favouring_deteriorations,3
2025-09-20,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.087983127275,0.5812680226186097,0.5067151046563904,-0.5067151046563904,3,189,7,largest_benchmark_favouring_deteriorations,4
2025-03-18,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,3.000785191125,2.570477575085699,0.4303076160393009,-0.4303076160393009,1,3,3,largest_benchmark_favouring_deteriorations,5
2025-09-21,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.99258061735,0.6038335978105662,0.3887470195394338,-0.3887470195394338,3,190,8,largest_benchmark_favouring_deteriorations,6
2025-03-16,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.9774821059,0.5952590629221077,0.3822230429778922,-0.3822230429778922,1,1,1,largest_benchmark_favouring_deteriorations,7
2025-03-17,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.23075157155,0.8515078483923408,0.3792437231576591,-0.3792437231576591,1,2,2,largest_benchmark_favouring_deteriorations,8
2025-03-28,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,0.9787915044,0.6476789261435751,0.3311125782564248,-0.3311125782564248,1,13,13,largest_benchmark_favouring_deteriorations,9
2025-04-01,3,matern_minus_static,matern,static,True,Selected Matérn conditional refinement beyond static correction,1.490359145,1.1948745966638408,0.2954845483361592,-0.2954845483361592,1,17,17,largest_benchmark_favouring_deteriorations,10
2026-01-27,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.28098332265,1.598068505275,-0.3170851826250001,0.3170851826250001,4,318,45,largest_model_favouring_improvements,1
2026-01-13,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.4108442161,1.7070282922,-0.29618407609999986,0.29618407609999986,4,304,31,largest_model_favouring_improvements,2
2026-02-11,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.18130693815,1.448909106225,-0.2676021680749998,0.2676021680749998,4,333,60,largest_model_favouring_improvements,3
