scope_type,scope_value,contrast,model,benchmark,primary,dates,mean_loss_difference_c,mean_improvement_c,median_loss_difference_c,median_improvement_c,standard_deviation_loss_difference_c,q05_loss_difference_c,q10_loss_difference_c,q25_loss_difference_c,q75_loss_difference_c,q90_loss_difference_c,q95_loss_difference_c,model_better_fraction,benchmark_better_fraction,equal_fraction,gross_model_favouring_improvement_c,gross_benchmark_favouring_deterioration_c,net_total_improvement_c
decision_rule,6h_prior,matern_minus_static,matern,static,True,365,-0.047461376737158584,0.047461376737158584,-0.019707147481110687,0.019707147481110687,0.2522946898862839,-0.4639936388964264,-0.300506637271001,-0.1235796652230936,0.050069061195347486,0.14786968153334362,0.24443762279338788,0.5561643835616439,0.4438356164383562,0.0,37.01376950537516,19.69036699631228,17.323402509062884
decision_rule,event_day_open,matern_minus_static,matern,static,True,365,-0.06051484238436748,0.06051484238436748,-0.02199563425730866,0.02199563425730866,0.25714724706412395,-0.5453184401515832,-0.36496507432168795,-0.14667996085843615,0.06426788225584973,0.18713679321252635,0.26191890081129676,0.5589041095890411,0.4410958904109589,0.0,43.0185868879322,20.930669417638075,22.08791747029413
decision_rule,12h_prior,matern_minus_rbf,matern,rbf,True,365,-0.0131793248030137,0.0131793248030137,-0.003182559900000159,0.003182559900000159,0.06901501122052929,-0.14060186356,-0.09412897546000006,-0.045502054300000094,0.02660572689999996,0.06449302655999999,0.08135717978,0.5287671232876713,0.4712328767123288,0.0,11.2973828792,6.4869293260999985,4.8104535531
decision_rule,24h_prior,matern_minus_rbf,matern,rbf,True,365,-0.01159252850383562,0.01159252850383562,-0.0007050291999999292,0.0007050291999999292,0.039537317419464646,-0.09512250029999994,-0.056975200540000055,-0.012538462600000022,0.001449160599999999,0.009227389280000041,0.024838007040000065,0.5917808219178082,0.40821917808219177,0.0,5.907136580000003,1.675863676100001,4.231272903900002
decision_rule,6h_prior,matern_minus_rbf,matern,rbf,True,365,-0.013693329784109587,0.013693329784109587,-0.00603160430000016,0.00603160430000016,0.07232249833610148,-0.14914270566,-0.09694336298000003,-0.043962078400000104,0.02875557689999997,0.06829466423999998,0.0803346747,0.536986301369863,0.46301369863013697,0.0,11.6906394499,6.692574078700001,4.998065371199999
decision_rule,event_day_open,matern_minus_rbf,matern,rbf,True,365,-0.018420694829863013,0.018420694829863013,-0.0049311713999999895,0.0049311713999999895,0.10398868799579258,-0.20376289994,-0.13336997977999998,-0.0724416256,0.04793036449999999,0.1015944036999999,0.13131299177999992,0.5260273972602739,0.473972602739726,0.0,17.1203223806,10.3967687677,6.7235536129
decision_rule,12h_prior,rbf_minus_raw,rbf,raw,False,365,-0.866917080861096,0.866917080861096,-1.0948392962000035,1.0948392962000035,1.2211443455639452,-2.498954686480004,-2.2321171644999978,-1.9629439248000007,0.31246087280000145,0.7992143267600003,0.8828516690400012,0.6876712328767123,0.31232876712328766,0.0,390.1000239212,73.67528940689999,316.42473451430004
decision_rule,24h_prior,rbf_minus_raw,rbf,raw,False,365,-0.8718007941561643,0.8718007941561643,-1.0301610591000003,1.0301610591000003,1.1937344843445006,-2.3018844526999995,-2.237513554099999,-1.9934524891999972,0.4291079455999993,0.7789815172800011,0.8421377238800017,0.6958904109589041,0.3041095890410959,0.0,392.12057036,73.913280493,318.207289867
decision_rule,6h_prior,rbf_minus_raw,rbf,raw,False,365,-0.8742539713235616,0.8742539713235616,-1.1596127225,1.1596127225,1.224545954648426,-2.4834067322800006,-2.231022819700001,-1.9636334580000008,0.32027171910000074,0.8056187821600007,0.9316357968400013,0.6958904109589041,0.3041095890410959,0.0,394.46847615340005,75.36577662030001,319.1026995331
decision_rule,event_day_open,rbf_minus_raw,rbf,raw,False,365,-0.859522005931233,0.859522005931233,-1.0333767086000019,1.0333767086000019,1.1646570943446357,-2.4172774377000006,-2.2035921752000003,-1.9113909494999999,0.22249839700000074,0.7971619108200019,0.8878866290599984,0.7095890410958904,0.29041095890410956,0.0,381.72431912139996,67.9987869565,313.7255321649
decision_rule,12h_prior,matern_minus_raw,matern,raw,False,365,-0.8800964056641096,0.8800964056641096,-1.076179423300002,1.076179423300002,1.2050414525905309,-2.507505556100001,-2.2722942718400017,-1.9566282168999978,0.2326151985,0.7807024258400004,0.9285288847199998,0.6986301369863014,0.3013698630136986,0.0,389.58540962560005,68.35022155819999,321.23518806740003
decision_rule,24h_prior,matern_minus_raw,matern,raw,False,365,-0.8833933226600001,0.8833933226600001,-1.0296347172000004,1.0296347172000004,1.192425148125946,-2.3447055027399997,-2.2521209797799995,-1.9933272520999985,0.35734197259999934,0.7693077001199994,0.8231154064000005,0.6958904109589041,0.3041095890410959,0.0,394.33955517540005,71.9009924045,322.43856277090003
decision_rule,6h_prior,matern_minus_raw,matern,raw,False,365,-0.8879473011076712,0.8879473011076712,-1.1438171538,1.1438171538,1.2082111774196531,-2.499660955720001,-2.2742609266800002,-1.9627952067000007,0.25837596769999993,0.7852286796199994,0.9554546864800001,0.7041095890410959,0.2958904109589041,0.0,393.85411357709995,69.7533486728,324.1007649043
decision_rule,event_day_open,matern_minus_raw,matern,raw,False,365,-0.8779427007610959,0.8779427007610959,-0.9776845214999981,0.9776845214999981,1.1318464761207083,-2.51810817032,-2.2695554587,-1.8766724142000029,0.10408305499999859,0.7086090876200006,0.8980658779600004,0.7287671232876712,0.27123287671232876,0.0,379.27407430499994,58.824988527200006,320.4490857778
