model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,12h_prior,0.84,0.8328767123287671,-0.007123287671232825,0.007123287671232825,5.0741227247137565e-05,365,365
rbf,decision_rule,12h_prior,0.85,0.8410958904109589,-0.008904109589041087,0.008904109589041087,7.928316757365343e-05,365,365
rbf,decision_rule,12h_prior,0.86,0.8575342465753425,-0.002465753424657491,0.002465753424657491,6.079939951210144e-06,365,365
rbf,decision_rule,12h_prior,0.87,0.8684931506849315,-0.0015068493150685036,0.0015068493150685036,2.2705948583224185e-06,365,365
rbf,decision_rule,12h_prior,0.88,0.8849315068493151,0.004931506849315093,0.004931506849315093,2.4319759804841672e-05,365,365
rbf,decision_rule,12h_prior,0.89,0.8931506849315068,0.003150684931506831,0.003150684931506831,9.926815537624203e-06,365,365
rbf,decision_rule,12h_prior,0.9,0.9041095890410958,0.004109589041095818,0.004109589041095818,1.6888722086694845e-05,365,365
rbf,decision_rule,12h_prior,0.91,0.9068493150684932,-0.003150684931506831,0.003150684931506831,9.926815537624203e-06,365,365
rbf,decision_rule,12h_prior,0.92,0.9095890410958904,-0.01041095890410959,0.01041095890410959,0.00010838806530305877,365,365
rbf,decision_rule,12h_prior,0.93,0.9178082191780822,-0.012191780821917853,0.012191780821917853,0.00014863951960968395,365,365
rbf,decision_rule,12h_prior,0.94,0.9287671232876712,-0.011232876712328754,0.011232876712328754,0.00012617751923437766,365,365
rbf,decision_rule,12h_prior,0.95,0.9397260273972603,-0.010273972602739656,0.010273972602739656,0.00010555451304184506,365,365
rbf,decision_rule,12h_prior,0.96,0.9506849315068493,-0.009315068493150669,0.009315068493150669,8.677050103208828e-05,365,365
rbf,decision_rule,12h_prior,0.97,0.9780821917808219,0.008082191780821923,0.008082191780821923,6.532182398198546e-05,365,365
rbf,decision_rule,12h_prior,0.98,0.989041095890411,0.009041095890411022,0.009041095890411022,8.174141489960706e-05,365,365
rbf,decision_rule,12h_prior,0.99,0.9972602739726028,0.00726027397260276,0.00726027397260276,5.271157815725306e-05,365,365
rbf,decision_rule,6h_prior,0.01,0.019178082191780823,0.009178082191780823,0.009178082191780823,8.423719271908428e-05,365,365
rbf,decision_rule,6h_prior,0.02,0.03287671232876712,0.01287671232876712,0.01287671232876712,0.00016580972039782313,365,365
rbf,decision_rule,6h_prior,0.03,0.049315068493150684,0.019315068493150685,0.019315068493150685,0.0003730718708951023,365,365
